allele,fish_abbrev,locus_name,locus_abbrev,mutation,mutagen,m bkgrd,p bkgrd,reference
t31213,un-named t31213<sup>t31213</sup>,un-named t31213,unm t31213,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31214,un-named t31214<sup>t31214</sup>,un-named t31214,unm t31214,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31215,un-named t31215<sup>t31215</sup>,un-named t31215,unm t31215,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31216,un-named t31216<sup>t31216</sup>,un-named t31216,unm t31216,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31242,un-named t31242<sup>t31242</sup>,un-named t31242,unm t31242,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31301,un-named t31301<sup>t31301</sup>,un-named t31301,unm t31301,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31302,un-named t31302<sup>t31302</sup>,un-named t31302,unm t31302,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31303,un-named t31303<sup>t31303</sup>,un-named t31303,unm t31303,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31310,un-named t31310<sup>t31310</sup>,un-named t31310,unm t31310,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31311,un-named t31311<sup>t31311</sup>,un-named t31311,unm t31311,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31312,un-named t31312<sup>t31312</sup>,un-named t31312,unm t31312,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31352,un-named t31352<sup>t31352</sup>,un-named t31352,unm t31352,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31386,un-named t31386<sup>t31386</sup>,un-named t31386,unm t31386,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31387,un-named t31387<sup>t31387</sup>,un-named t31387,unm t31387,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31388,un-named t31388<sup>t31388</sup>,un-named t31388,unm t31388,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31389,un-named t31389<sup>t31389</sup>,un-named t31389,unm t31389,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31390,un-named t31390<sup>t31390</sup>,un-named t31390,unm t31390,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31391,un-named t31391<sup>t31391</sup>,un-named t31391,unm t31391,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31392,un-named t31392<sup>t31392</sup>,un-named t31392,unm t31392,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31421,un-named t31421<sup>t31421</sup>,un-named t31421,unm t31421,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31422,un-named t31422<sup>t31422</sup>,un-named t31422,unm t31422,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31423,un-named t31423<sup>t31423</sup>,un-named t31423,unm t31423,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31453,un-named t31453<sup>t31453</sup>,un-named t31453,unm t31453,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
