ZDB-FISH-060608-1,t30230,;Adult: behavior (abnormal); drug resistance (abnormal); ,,"Assay: Amphetamine<br>Description: <br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-960805-39"">Laure Bally-Cuif</a> / <a href=""ZFIN_jump?record=ZDB-PERS-020116-15"">Jovica Ninkovic</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-10,t30798,;heart development (abnormal); Long-pec: heart tube placement (abnormal); ,,"Assay: heart morphology<br>Description: <br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-980519-6"">Jeroen Bakkers</a> / Manon Verhoeven\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-100,t30802,;Day 5: eye structure (abnormal); visual behavior (abnormal); ,"5/24 fish -- eye cataract (small white)\"";"" otherwise completely normal appearance\"";"" not black\"";"" normal size <b>Details:</b>","Assay: Eye move<br>Description: 5/24 fish -- eye cataract (small white)\"";"" otherwise completely normal appearance\"";"" not black\"";"" normal size<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-060328-1"">Valerie Fleisch</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-101,t30931,;Day 5: lymphatic system decreased (abnormal); wound healing (abnormal); ,5/30 -- Blisters and foci. <b>Details:</b>,"Assay: wound healing<br>Description: 5/30 -- Blisters and foci.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-960805-226"">Matthias Hammerschmidt</a> / <a href=""ZFIN_jump?record=ZDB-PERS-010515-13"">Tom Carney</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-102,t30762,;Day 5: eye small size (abnormal); visual behavior (abnormal); ,6/16 fish -- reduced eye and pupil size <b>Details:</b>,"Assay: Eye move<br>Description: 6/16 fish -- reduced eye and pupil size<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-060328-1"">Valerie Fleisch</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-103,t30355,;Adult: cranial skeleton pattern (abnormal); ,6/20-30 show head shortened in length. Lower jaw malformed. Opercle series fine. <b>Details:</b>,"Assay: Dermal Bone<br>Description: 6/20-30 show head shortened in length. Lower jaw malformed. Opercle series fine.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030612-10"">Matthew Harris</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-104,t30953,;Day 4: granulocyte (absent); immune response (abnormal); ,"6/21 with no neutrophil\"";"" with cardiac edema <b>Details:</b>","Assay: Neutrophils<br>Description: 6/21 with no neutrophil\"";"" with cardiac edema<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-040128-1"">Emi Murayama</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-105,t30925,;Day 5: lymphatic system decreased (abnormal); wound healing (abnormal); ,6/22 delayed. Underconsumed yolk. Tail foci on trunk and fin. <b>Details:</b>,"Assay: wound healing<br>Description: 6/22 delayed. Underconsumed yolk. Tail foci on trunk and fin.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-960805-226"">Matthias Hammerschmidt</a> / <a href=""ZFIN_jump?record=ZDB-PERS-010515-13"">Tom Carney</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-106,t30759,;Day 5: eye large size (abnormal); visual behavior (abnormal); ,6/22 fish mini body size and disproportional big eyes (increased IOP?) <b>Details:</b>,"Assay: Eye move<br>Description: 6/22 fish mini body size and disproportional big eyes (increased IOP?)<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-060328-1"">Valerie Fleisch</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-107,t30914,;Day 5: lymphatic system decreased (abnormal); wound healing (abnormal); ,"6/24 -- very sensitive to wounding\"";"" altered response\"";"" melanophores in stripes explode after piercing. <b>Details:</b>","Assay: wound healing<br>Description: 6/24 -- very sensitive to wounding\"";"" altered response\"";"" melanophores in stripes explode after piercing.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-960805-226"">Matthias Hammerschmidt</a> / <a href=""ZFIN_jump?record=ZDB-PERS-010515-13"">Tom Carney</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-108,t30851,;Day 4: granulocyte pattern (abnormal); immune response (abnormal); ,6/25 with many neutrophils not colonized at tail but skin <b>Details:</b>,"Assay: Neutrophils<br>Description: 6/25 with many neutrophils not colonized at tail but skin<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-040128-1"">Emi Murayama</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
