adult body,Adult,whole organism,ZDB-ANAT-050228-1,shape,abnormal
adult fins,Adult,fins,ZDB-ANAT-010921-533,qualitative,abnormal
adult pigmentation,Adult,pigment cells,ZDB-ANAT-010921-474,qualitative,abnormal
all body pigment,unspecified,pigment cells,ZDB-ANAT-010921-474,qualitative,abnormal
balance or coordination,unspecified,regulation of balance,GO:0050885,qualitative,abnormal
behavior,unspecified,behavior,GO:0007610,qualitative,abnormal
bent body,unspecified,whole organism,ZDB-ANAT-050228-1,placement,bent
blind (vision),unspecified,visual perception,GO:0007601,quantitative,absent
blood,unspecified,blood,ZDB-ANAT-010921-414,qualitative,abnormal
body axes,unspecified,whole organism,ZDB-ANAT-050228-1,shape,abnormal
body degeneration,unspecified,whole organism,ZDB-ANAT-050228-1,structure,degenerate
body length,unspecified,whole organism,ZDB-ANAT-050228-1,length,abnormal
body shape ,unspecified,whole organism,ZDB-ANAT-050228-1,shape,abnormal
body shape and tail,unspecified,whole organism,ZDB-ANAT-050228-1,shape,abnormal
body shape and tail,unspecified,tail,ZDB-ANAT-050228-30,qualitative,abnormal
brain,unspecified,brain,ZDB-ANAT-010921-415,qualitative,abnormal
brain necrosis,unspecified,brain,ZDB-ANAT-010921-415,structure,necrotic
brain cns and pns,unspecified,nervous system,ZDB-ANAT-011113-319,qualitative,abnormal
circulation,unspecified,circulation,GO:0008015,qualitative,abnormal
curly tail,unspecified,tail,ZDB-ANAT-050228-30,shape,curled
developmental arrest,unspecified,development,GO:0007275,process,arrested
developmental patterning,unspecified,pattern specification,GO:0007389,qualitative,abnormal
dorsal root ganglia neurons,unspecified,dorsal root ganglion,ZDB-ANAT-011113-131,qualitative,abnormal
ear,unspecified,inner ear,ZDB-ANAT-011113-147,qualitative,abnormal
early arrest,unspecified,embryonic development (sensu Vertebrata),GO:0043009,process,arrested
early necrosis,unspecified,embryo,ZDB-ANAT-010921-528,structure,necrotic
ectopic fin,unspecified,fins,ZDB-ANAT-010921-533,placement,ectopic
ectopic fins,unspecified,fins,ZDB-ANAT-010921-533,placement,ectopic
endocardial cushion,unspecified,endocardial cushions,ZDB-ANAT-051116-3,qualitative,abnormal
expanded melanophores,unspecified,melanophores ,ZDB-ANAT-040708-2,relative_size,large
eye pigment,unspecified,pigmented epithelium,ZDB-ANAT-010921-575,qualitative,abnormal
eyes,unspecified,eye,ZDB-ANAT-010921-532,qualitative,abnormal
eyes / ears,unspecified,sensory systems,ZDB-ANAT-011113-211,qualitative,abnormal
fin and skin necrosis,unspecified,integument,ZDB-ANAT-011113-292,structure,necrotic
fin necrosis,unspecified,fins,ZDB-ANAT-010921-533,structure,necrotic
fins / skin,unspecified,surface anatomy,ZDB-ANAT-011113-220,qualitative,abnormal
fins and skin,unspecified,surface anatomy,ZDB-ANAT-011113-220,qualitative,abnormal
flat brain,unspecified,brain,ZDB-ANAT-010921-415,shape,flat
floor plate,unspecified,floor plate,ZDB-ANAT-010921-433,qualitative,abnormal
forebrain,unspecified,forebrain,ZDB-ANAT-010921-534,qualitative,abnormal
frilly or bubbly fins,unspecified,fins,ZDB-ANAT-010921-533,structure,malformed
gastrulation,unspecified,gastrulation (sensu Vertebrata),GO:0048276,qualitative,abnormal
gill arches,unspecified,pharyngeal arches 3-7 skeletal system,ZDB-ANAT-010921-516,qualitative,abnormal
gills and jaw,unspecified,pharyngeal arches 3-7 skeletal system,ZDB-ANAT-010921-516,qualitative,abnormal
gut,unspecified,gut,ZDB-ANAT-010921-537,qualitative,abnormal
hatching gland / hatching,unspecified,hatching gland,ZDB-ANAT-010921-437,qualitative,abnormal
heart,unspecified,heart,ZDB-ANAT-010921-539,qualitative,abnormal
hindbrain,unspecified,hindbrain,ZDB-ANAT-010921-440,qualitative,abnormal
hyoid,unspecified,hyoid arch,ZDB-ANAT-050711-86,qualitative,abnormal
hyoid and mandibular,unspecified,pharyngeal arch skeletal system,ZDB-ANAT-050711-3,qualitative,abnormal
hyomandibulae,unspecified,pharyngeal arch skeletal system,ZDB-ANAT-050711-3,qualitative,abnormal
immotile,unspecified,musculoskeletal movement,GO:0050881,quantitative,absent
interrupted notochord,unspecified,notochord,ZDB-ANAT-010921-564,occurence,interrupted
iridophore intensity,unspecified,iridophores,ZDB-ANAT-040708-1,color_intensity,abnormal
iridophore pattern / number,unspecified,iridophores,ZDB-ANAT-040708-1,pattern,irregular
iridophore pattern/number,unspecified,iridophores,ZDB-ANAT-040708-1,pattern,irregular
jaw,unspecified,pharyngeal arch 1 skeletal system,ZDB-ANAT-050711-4,qualitative,abnormal
jaw / arches,unspecified,pharyngeal arches 3-7 skeletal system,ZDB-ANAT-010921-516,qualitative,abnormal
jaw and gill arches,unspecified,pharyngeal arches 3-7 skeletal system,ZDB-ANAT-010921-516,qualitative,abnormal
jaw and melanophores,unspecified,pharyngeal arch 1 skeletal system,ZDB-ANAT-050711-4,qualitative,abnormal
jaw and melanophores,unspecified,melanophores ,ZDB-ANAT-040708-2,qualitative,abnormal
jaws / arches,unspecified,pharyngeal arches 3-7 skeletal system,ZDB-ANAT-010921-516,qualitative,abnormal
kidney,unspecified,pronephros,ZDB-ANAT-010921-586,qualitative,abnormal
kinked notochord,unspecified,notochord,ZDB-ANAT-010921-564,placement,bent
larval arrest,unspecified,larval development,GO:0002164,process,arrested
lens,unspecified,lens,ZDB-ANAT-010921-447,qualitative,abnormal
liver,unspecified,liver,ZDB-ANAT-010921-549,qualitative,abnormal
mandibular,unspecified,ventral mandibular arch,ZDB-ANAT-050711-81,qualitative,abnormal
melanophore and eye pigment,unspecified,melanophores ,ZDB-ANAT-040708-2,qualitative,abnormal
melanophore and eye pigment,unspecified,pigmented epithelium,ZDB-ANAT-010921-575,qualitative,abnormal
melanophore intensity,unspecified,melanophores ,ZDB-ANAT-040708-2,color_intensity,abnormal
melanophore pattern / number,unspecified,melanophores ,ZDB-ANAT-040708-2,pattern,irregular
