ZDB-FISH-000215-8,Necrotic death in head. There are several other phenotypes that cosegregate but are unmapped.
ZDB-FISH-000821-1,Mendelian recessive.
ZDB-FISH-000822-1,Necrotic} short axis} dead head.
ZDB-FISH-000822-2,Deadhead} small eyes.
ZDB-FISH-000822-3,Neural degeneration. There are several other phenotypes that cosegregate but are unmapped.
ZDB-FISH-001023-1,Short axis} dead head} bulbous tail. There are several other phenotypes that cosegregate but are unmapped.
ZDB-FISH-001115-1,Small eyes} localized brain death. There are several other phenotypes that cosegregate but are unmapped.
ZDB-FISH-001129-1,Small eyes} swollen tail with severe cell death. There are several other phenotypes that cosegregate but are unmapped.
ZDB-FISH-001129-2,Small head and eyes.
ZDB-FISH-001129-3,Necrotic} bulb tail. There are several other phenotypes that cosegregate but are unmapped.
ZDB-FISH-001129-4,Bumpy midbrain} no cell death. There are several phenotypes that cosegregate but are unmapped.
ZDB-FISH-001129-5,Localized midbrain death} swollen tail} cloudy brain. There are several other phenotypes that cosegregate but are unmapped.
ZDB-FISH-001219-1,Recessive.
ZDB-FISH-001220-1,The ventral tail fin is missing. Mendelian recessive.
ZDB-FISH-001221-1,Mendelian recessive.
ZDB-FISH-001221-3,day 5: slightly smaller eyes (very few photoreceptors). Mendelian recessive.
ZDB-FISH-001229-1,Phenotypic class: hatching gland; Visible at: d3; Viability: adult viable
ZDB-FISH-010125-3,F2: severe CNS death. There are various other phenotypes that cosegregate but are unmapped.
ZDB-FISH-010411-4,Phenotypic class: curly tail; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-010411-9,Phenotypic class: heart; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-010427-1,Adults have breaks in their stripes (both heterozygotes and homozygotes)
ZDB-FISH-010427-2,Adults have breaks in their stripes (both heterozygotes and homozygotes)
ZDB-FISH-010801-1,Mendelian recessive.
ZDB-FISH-010911-1,Mendelian recessive.
ZDB-FISH-011018-1,day 1: U-shaped somites} mildly cyclopic; day 2: smaller eyes} too close together} pc edema denting yolk} which is grey and bloated} body thin and curled ventrally with U-shaped somites. Phenotype characteristic of a Hh signaling deficiency. Mendelian recessive.
ZDB-FISH-011018-2,day 1: U-shaped somites} mildly cyclopic; day 2: smaller eyes} too close together} pc edema denting yolk} which is grey and bloated} body thin and curled ventrally with U-shaped somites. Phenotype characteristic of a Hh signaling deficiency. Mendelian recessive.
ZDB-FISH-020301-1,opaque material accumulates in yolk; mutants appear retarded at 3 dpf and die by 4 dpf
ZDB-FISH-020313-1,Lacks swim bladder. Spine becomes kinked posterior to skull. Natural mutation found in wild-caught fish. Recessive lethal.
ZDB-FISH-020313-2,Lacks swim bladder. Spine of most individuals becomes kinked just posterior to skull. Natural mutant found in wild-caught zebrafish. Recessive lethal.
ZDB-FISH-020313-3,Develops edema around eyes at about day 5. Natural mutant found in wild-caught fish. Recessive lethal.
ZDB-FISH-020313-4,Lacks swim bladder. Natural mutant found in wild-caught fish. Recessive lethal.
ZDB-FISH-020313-5,Swim bladder overfills by day 5 causing fish to float at surface. Bladder resumes normal size about day 9. Natural mutant found in wild-caught fish.
ZDB-FISH-020313-6,Lacks swim bladder. A transient chain of bubbles in gut around day 4-5. Spine becomes kinked just posterior to skull. Possible jaw abnormality. Natural mutant found in wild-caught fish. Recessive lethal.
ZDB-FISH-020313-7,Extensive ventral edema develops about day 6-7. Moves only intermittently. Recessive lethal.
ZDB-FISH-020313-8,Blocky or squared off head; eye and body edema; no swim bladder. Natural mutant found in wild-caught fish. Recessive lethal.
ZDB-FISH-020313-9,Lacks swim bladder. Transient chain of bubbles appear during normal time of bladder inflation (day 4-5). Natural mutant found in wild-caught fish. Recessive lethal.
ZDB-FISH-020314-1,Dark granular yolks} heart} eye or body edema. Natural mutant from wild-caught fish (family 1). Recessive lethal.
ZDB-FISH-020314-10,Lacks swim bladder. Transient bubbles in gut appear during usual time of bladder inflation. Spine becomes kinked a few segments posterior to skull. Natural mutant in wild-caught fish (family 11). Recessive lethal.
ZDB-FISH-020314-11,Eyes small and low on head; head knobby anteriorly; jaws and gill arches poorly defined or absent; s-shaped spine with poor differentiation of spinal column} somites and muscles; pectoral fins absent; swim bladder absent; some grainy yolk still present day 5; poor circulation; head and heart edema. Natural mutant from wild-caught fish (family 8). Recessive lethal.
ZDB-FISH-020314-12,Swim bladder absent; spine becomes kinked a few segments posterior to skull; pigmentation reduced; possible jaw abnormality starting day 7. Natural mutant in wild-caught fish (family 10). Recessive lethal.
ZDB-FISH-020314-13,Spine curved} almost circular; moves by spinning in circles; develops severe head edema; pectoral fins absent. Natural mutant in wild-caught fish (family 8). Recessive lethal.
ZDB-FISH-020314-14,Severe ventral edema starting about day 5. Moves only intermittently. Natural mutant found in wild-caught fish (family 8). Recessive lethal.
ZDB-FISH-020314-15,Spine curved} almost circular; moves by spinning in circles. Natural mutant in wild-caught fish (family 13).
ZDB-FISH-020314-16,Jaw appears to be frozen open; eyes and head slightly reduced; lower jaw curved and projects anterior to upper jaw; pigmentation reduced; swim bladder absent; some develop edema before death. Natural mutant found in wild-caught fish (family 14). Recessive lethal.
ZDB-FISH-020314-2,At 1.5 hours} cells dividing unevenly} yolk poking through cluster of cells at 5 hrs} dead by 24 hours. Natural mutant from wild-caught fish (family 14). Recessive lethal.
ZDB-FISH-020314-3,Lacks swim bladder. A transient chain of small bubbles appears in gut during the time that the bladder would normally inflate. Spine becomes kinked posterior to skull. Natural mutant in wild-caught fish (family 14). Mendelian recessive.
ZDB-FISH-020314-4,Head stubby} snout doesn't project anterior to eyes} pronounced lower jaw} upper jaw not clear} lenses do not protrude from eyes} pectoral fins bent} lacks swim bladder} edema around otic capsule. Natural mutant in wild-caught fish (family 13). Recessive lethal.
ZDB-FISH-020314-5,Small head} small eyes with large lenses and extensive eye edema} jaw small or absent} ventral edema} stubby tail. Natural mutant in wild-caught fish (family 14). Recessive lethal.
ZDB-FISH-020314-6,Lacks swim bladder. Spine generally becomes kinked a few segments posterior to skull. Natural mutant in wild-caught fish (family 1). Recessive lethal.
ZDB-FISH-020314-7,Eyes small and low on head; head knobby anteriorly; jaws and gill arches poorly defined or absent; s-shaped spine with poor differentiation of spinal column} somites and muscles; pectoral fins absent; swim bladder absent; some grainy yolk still present day 5; poor circulation; head and heart edema. Natural mutant from wild-caught fish. Mendelian recessive.
ZDB-FISH-020314-8,Red spot on yolk; heart edema starting day 3; head flat anteriorly with dorsal knob; s-shaped spine. Natural mutant in wild-caught fish (family 3). Mendelian recessive.
ZDB-FISH-020314-9,Small eyes with lens protruding from eye; lacks swim bladder; jaw jutting by day 9. Natural mutant from wild-caught fish (family 5). Recessive lethal.
ZDB-FISH-020315-1,Spine curved in candy cane shape; lacks swim bladder} small eyes} heart edema; widespread edema. Natural mutant found in wild-caught fish (family 14). Recessive lethal.
ZDB-FISH-020315-2,Eyes small; head knobby anteriorly; lacks jaws; gut poorly differentiated; swim bladder absent; heart and eye edema; head and yolk grainy on day 1. Natural mutant in wild-caught fish (family 11). Recessive lethal.
ZDB-FISH-020422-1,day 2: no/less body pigment; day 5: less body pigment} small head and eyes} underdeveloped liver/gut. Mendelian recessive.
ZDB-FISH-020422-2,cns necrosis} inflated hindbrain ventricle 36 hpf
ZDB-FISH-020422-3,most mutants fail to inflate swim bladder; escapers are viable} but are smaller as adults
ZDB-FISH-020422-4,cns necrosis} edema} slow circulation
