"Allele","ZFIN ID","Background"
"sa13513","ZDB-GENE-040704-16","TL"
"sa13514","ZDB-GENE-090313-98","TL"
"sa13515","ZDB-GENE-050522-114","TL"
"sa13516","ZDB-GENE-030131-223","TL"
"sa13517","ZDB-GENE-090826-2","TL"
"sa13519","ZDB-GENE-050208-786","TL"
"sa13521","ZDB-GENE-091117-41","TL"
"sa13522","ZDB-GENE-091230-6","TL"
"sa13523","ZDB-GENE-040426-1578","TL"
"sa13524","ZDB-GENE-091113-41","TL"
"sa13526","ZDB-GENE-010302-3","TL"
"sa13527","ZDB-GENE-040113-1","TL"
"sa13528","ZDB-GENE-060503-110","TL"
"sa13529","ZDB-GENE-050208-620","TL"
"sa13530","ZDB-GENE-060126-1","TL"
"sa13532","ZDB-GENE-070424-99","TL"
"sa13533","ZDB-GENE-040426-2142","TL"
"sa13535","ZDB-GENE-080522-3","TL"
"sa13536","ZDB-GENE-000406-6","TL"
"sa13537","ZDB-GENE-081104-48","TL"
"sa13538","ZDB-GENE-030131-7279","TL"
"sa13539","ZDB-GENE-070209-143","TL"
"sa13540","ZDB-GENE-030131-624","TL"
"sa13541","ZDB-GENE-070705-219","TL"
"sa13542","ZDB-GENE-060526-202","TL"
"sa13543","ZDB-GENE-040426-708","TL"
"sa13545","ZDB-GENE-070912-210","TL"
"sa13548","ZDB-GENE-030131-9008","TL"
"sa13549","ZDB-GENE-041114-114","TL"
"sa13551","ZDB-GENE-081119-4","TL"
"sa13552","ZDB-GENE-070928-17","TL"
"sa13553","ZDB-GENE-030131-9049","TL"
"sa13555","ZDB-GENE-040924-3","TL"
"sa13556","ZDB-GENE-050102-2","TL"
"sa13557","ZDB-GENE-091202-7","TL"
"sa13558","ZDB-GENE-040718-69","TL"
"sa13559","ZDB-GENE-050417-395","TL"
"sa13560","ZDB-GENE-070705-127","TL"
"sa13561","ZDB-GENE-041210-171","TL"
"sa13563","ZDB-GENE-030131-9003","TL"
"sa13564","ZDB-GENE-030219-193","TL"
"sa13565","ZDB-GENE-020108-2","TL"
"sa13566","ZDB-GENE-030131-5736,ZDB-GENE-030131-7683","TL"
"sa13567","ZDB-GENE-060810-140","TL"
"sa13568","ZDB-GENE-040426-1096","TL"
"sa13569","ZDB-GENE-040724-203","TL"
"sa13570","ZDB-GENE-050417-356","TL"
"sa13572","ZDB-GENE-040715-1","TL"
"sa13573","ZDB-GENE-100726-2","TL"
"sa13574","ZDB-GENE-040426-2913","TL"
"sa13575","ZDB-GENE-040930-5","TL"
"sa13576","ZDB-GENE-020107-3","TL"
"sa13578","ZDB-GENE-050419-214","TL"
"sa13579","ZDB-GENE-030131-3208","TL"
"sa13580","ZDB-GENE-080807-4","TL"
"sa13581","ZDB-GENE-081104-83","TL"
"sa13582","ZDB-GENE-080220-45","TL"
"sa13583","ZDB-GENE-030131-5941","TL"
"sa13585","ZDB-GENE-060825-166","TL"
"sa13586","ZDB-GENE-081022-200","TL"
"sa13587","ZDB-GENE-030131-8076","TL"
"sa13588","ZDB-GENE-030131-7590","TL"
"sa13589","ZDB-GENE-030616-3","TL"
"sa13590","ZDB-GENE-021119-2","TL"
"sa13591","ZDB-GENE-080425-5","TL"
"sa13592","ZDB-GENE-041118-7","TL"
"sa13593","ZDB-GENE-070718-6","TL"
"sa13594","ZDB-GENE-040724-145","TL"
"sa13595","ZDB-GENE-030826-6","TL"
"sa13596","ZDB-GENE-041010-219","TL"
"sa13597","ZDB-GENE-040724-43","TL"
"sa13598","ZDB-GENE-031116-52","TL"
"sa13599","ZDB-GENE-050518-2","TL"
"sa13601","ZDB-GENE-050809-39","TL"
"sa13602","ZDB-GENE-030131-9885","TL"
"sa13603","ZDB-GENE-091118-20","TL"
"sa13604","ZDB-GENE-030131-2426","TL"
"sa13605","ZDB-GENE-090313-262","TL"
"sa13609","ZDB-GENE-030131-3973","TL"
"sa13610","ZDB-GENE-040426-935","TL"
"sa13611","ZDB-GENE-050208-275","TL"
"sa13613","ZDB-GENE-050823-4","TL"
"sa13614","ZDB-GENE-090313-50","TL"
"sa13615","ZDB-GENE-081104-411","TL"
"sa13617","ZDB-GENE-040426-793","TL"
"sa13618","ZDB-GENE-991209-3","TL"
"sa13619","ZDB-GENE-080519-3","TL"
"sa13620","ZDB-GENE-990415-85","TL"
"sa13622","ZDB-GENE-070912-489","TL"
"sa13623","ZDB-GENE-030131-1107","TL"
"sa13624","ZDB-GENE-061110-112","TL"
"sa13625","ZDB-GENE-040629-3","TL"
