Line|Allele|Vector|"ZFIN ZDB ID"|"Gene Abbr."|"Full Gene Name"
GBT0038|Gt(GBT-RP2)mn0038|RP2|||
GBT0151|Gt(GBT-RP2)mn0151|RP2|||
GBT0157|mn0157Gt|RP2|ZDB-GENE-060616-238|mgat5|mannoside acetylglucosaminyltransferase 5
GBT0161|Gt(GBT-RP2)mn0161|RP2|||
GBT0165|Gt(GBT-RP2)mn0165|RP2|||
GBT0177|Gt(GBT-RP2)mn0177|RP2|||
GBT0180|Gt(GBT-RP2)mn0180|RP2|||
GBT0183|Gt(GBT-RP2)mn0183|RP2|||
GBT0187|Gt(GBT-RP2)mn0187|RP2|||
GBT0190|Gt(GBT-RP2)mn0190|RP2|||
GBT0192|Gt(GBT-RP2)mn0192|RP2|||
GBT0202|Gt(GBT-RP2)mn0202|RP2|||
GBT0205|Gt(GBT-RP2)mn0205|RP2|||
GBT0230|Gt(GBT-RP2)mn0230|RP2|||
GBT0235|Gt(GBT-RP2)mn0235|RP2|||
GBT0238|Gt(GBT-RP2)mn0238|RP2|||
GBT0241|Gt(GBT-RP2)mn0241|RP2|||
GBT0243|mn0243Gt|RP2|ZDB-GENE-030131-9805|ppp1r13ba|protein phosphatase 1, regulatory subunit 13Ba
GBT0245|Gt(GBT-RP2)mn0245|RP2|||
GBT0249|Gt(GBT-RP2)mn0249|RP2|||
GBT0251|Gt(GBT-RP2)mn0251|RP2|||
GBT0254|Gt(GBT-RP2)mn0254|RP2|||
GBT0257|Gt(GBT-RP2)mn0257|RP2|||
GBT0260|Gt(GBT-RP2)mn0260|RP2|||
GBT0266|Gt(GBT-RP2)mn0266|RP2|||
GBT0268|Gt(GBT-RP2)mn0268|RP2|||
GBT0270|mn0270Gt|RP2|ZDB-GENE-060130-4|zfpm2a|zinc finger protein, multitype 2a
GBT0280|Gt(GBT-RP2)mn0280|RP2|||
GBT0285|Gt(GBT-RP2)mn0285|RP2|||
GBT0289|Gt(GBT-RP2)mn0289|RP2|||
GBT0292|Gt(GBT-RP2)mn0292|RP2|||
GBT0300|Gt(GBT-RP2)mn0300|RP2|||
GBT0301|Gt(GBT-RP2)mn0301|RP2|||
GBT0309|Gt(GBT-RP2)mn0309|RP2|||
GBT0310|Gt(GBT-RP2)mn0310|RP2|||
GBT0311|Gt(GBT-RP2)mn0311|RP2|||
GBT0314|Gt(GBT-RP2)mn0314|RP2|||
GBT0317|Gt(GBT-RP2)mn0317|RP2|||
GBT0319|Gt(GBT-RP2)mn0319|RP2|||
GBT0320|Gt(GBT-RP2)mn0320|RP2|||
GBT0321|Gt(GBT-RP2)mn0321|RP2|||
GBT0322|Gt(GBT-RP2)mn0322|RP2|||
GBT0325|mn0325Gt|RP2||LOC557764|multiple epidermal growth factor-like domains protein 6-like
GBT0326|Gt(GBT-RP2)mn0326|RP2|||
GBT0336|Gt(GBT-RP2)mn0336|RP2|||
GBT0337|Gt(GBT-RP2)mn0337|RP2|||
GBT0339|Gt(GBT-RP2)mn0339|RP2|||
GBT0341|Gt(GBT-RP2)mn0341|RP2|||
GBT0342|Gt(GBT-RP2)mn0342|RP2|||
