sanger_preinput_feature_abbrev|sanger_preinput_gene_zdb_id|sanger_preinput_test
sa19406|ZDB-GENE-011212-4|-011212-4
sa19407|ZDB-GENE-030131-6545|-030131-6545
sa19431|ZDB-GENE-040426-1081|-040426-1081
sa19444|ZDB-GENE-090312-144|-090312-144
sa19482|ZDB-GENE-001030-2|-001030-2
sa19490|ZDB-GENE-030616-623|-030616-623
sa19518|ZDB-GENE-090312-178|-090312-178
sa19532|ZDB-GENE-010906-2|-010906-2
sa19538|ZDB-GENE-040718-453|-040718-453
sa19603|ZDB-GENE-040718-37|-040718-37
sa19640|ZDB-GENE-040426-2303|-040426-2303
sa19653|ZDB-GENE-060421-7958|-060421-7958
sa19659|ZDB-GENE-060825-140|-060825-140
sa19664|ZDB-GENE-110411-165|-110411-165
sa19668|ZDB-GENE-050417-359|-050417-359
sa19683|ZDB-GENE-070705-18|-070705-18
sa19685|ZDB-GENE-041212-77|-041212-77
sa19717|ZDB-GENE-061110-49|-061110-49
sa19729|ZDB-GENE-070912-273|-070912-273
sa19756|ZDB-GENE-070912-696|-070912-696
sa19765|ZDB-GENE-040426-2405|-040426-2405
sa19788|ZDB-GENE-070912-532|-070912-532
sa19810|ZDB-GENE-990415-262|-990415-262
sa19827|ZDB-GENE-030131-6320|-030131-6320
sa19828|ZDB-GENE-030616-583|-030616-583
sa19839|ZDB-GENE-070912-223|-070912-223
sa19848|ZDB-GENE-040827-2|-040827-2
sa19882|ZDB-GENE-050706-185|-050706-185
sa19910|ZDB-GENE-040718-293|-040718-293
sa19922|ZDB-GENE-070410-8|-070410-8
sa19935|ZDB-GENE-061009-2|-061009-2
sa19968|ZDB-GENE-030131-5857|-030131-5857
sa19975|ZDB-GENE-080403-11|-080403-11
sa20049|ZDB-GENE-090302-2|-090302-2
sa20054|ZDB-GENE-080521-4|-080521-4
sa20132|ZDB-GENE-061201-42|-061201-42
sa20136|ZDB-GENE-040801-90|-040801-90
sa20137|ZDB-GENE-090930-1|-090930-1
sa20139|ZDB-GENE-100812-4|-100812-4
sa20151|ZDB-GENE-110401-3|-110401-3
sa20168|ZDB-GENE-050720-4|-050720-4
sa20194|ZDB-GENE-041210-84|-041210-84
sa20215|ZDB-GENE-040718-139|-040718-139
sa20222|ZDB-GENE-041210-297|-041210-297
sa20245|ZDB-GENE-050419-232|-050419-232
sa20265|ZDB-GENE-041210-204|-041210-204
sa20306|ZDB-GENE-110913-76|-110913-76
sa20314|ZDB-GENE-070112-2172|-070112-2172
sa20330|ZDB-GENE-131127-77|-131127-77
sa20336|ZDB-GENE-080721-15|-080721-15
sa20429|ZDB-GENE-060526-254|-060526-254
sa20436|ZDB-GENE-060531-163|-060531-163
sa20441|ZDB-GENE-050913-32|-050913-32
sa20442|ZDB-GENE-060531-44|-060531-44
sa20453|ZDB-GENE-030131-5843|-030131-5843
sa20466|ZDB-GENE-040426-1333|-040426-1333
sa20471|ZDB-GENE-060131-1|-060131-1
sa20476|ZDB-GENE-030131-5576|-030131-5576
sa20491|ZDB-GENE-060526-68|-060526-68
sa20492|ZDB-GENE-060526-68|-060526-68
sa20510|ZDB-GENE-060526-329|-060526-329
sa20531|ZDB-GENE-080215-11|-080215-11
sa20550|ZDB-GENE-070705-36|-070705-36
sa20551|ZDB-GENE-060526-165|-060526-165
sa20571|ZDB-GENE-030131-5809|-030131-5809
sa20610|ZDB-GENE-040426-1322|-040426-1322
sa20627|ZDB-GENE-030616-162|-030616-162
sa20635|ZDB-GENE-050809-9|-050809-9
sa20644|ZDB-GENE-120215-232|-120215-232
sa20658|ZDB-GENE-110815-2|-110815-2
sa20704|ZDB-GENE-100913-3|-100913-3
sa20716|ZDB-GENE-001127-3|-001127-3
sa20735|ZDB-GENE-030131-6960|-030131-6960
sa20761|ZDB-GENE-030131-8563|-030131-8563
