expid,cdtid,zecoid,aoTermId,chebiTermId,ccTermId,extra
ZDB-EXP-050512-4,ZECO:0000166,,none,none,,,
ZDB-EXP-050512-5,ZECO:0000166,,none,none,,,
ZDB-EXP-050512-6,ZECO:0000166,,none,none,,,
ZDB-EXP-050512-8,ZECO:0000166,,none,none,,,
ZDB-EXP-050512-9,ZECO:0000166,,none,none,,,
ZDB-EXP-050513-2,ZECO:0000102,,none,none,,,
ZDB-EXP-050513-3,ZECO:0000102,,none,none,,,
ZDB-EXP-050513-4,ZECO:0000102,,none,none,,,
ZDB-EXP-050513-5,ZECO:0000102,CHEBI:2766,none,none,,,
ZDB-EXP-050513-6,ZECO:0000102,,none,none,,,
ZDB-EXP-050515-1,ZECO:0000102,CHEBI:81570,none,none,,,
ZDB-EXP-050518-2,ZECO:0000102,,none,none,,,
ZDB-EXP-050526-1,ZECO:0000102,,none,none,,,
ZDB-EXP-050527-1,ZECO:0000102,CHEBI:63449,none,none,,,
ZDB-EXP-050601-1,ZECO:0000102,CHEBI:68508,none,none,,,
ZDB-EXP-050601-2,ZECO:0000102,CHEBI:68508,none,none,,,
ZDB-EXP-050604-1,ZECO:0000102,CHEBI:41879,none,none,,,
ZDB-EXP-050604-2,ZECO:0000102,CHEBI:28077,none,none,,,
ZDB-EXP-050604-3,ZECO:0000102,CHEBI:41879,none,none,,,
ZDB-EXP-050604-4,ZECO:0000102,CHEBI:28077,none,none,,,
ZDB-EXP-050604-5,ZECO:0000102,CHEBI:28119,none,none,,,
ZDB-EXP-050604-6,ZECO:0000102,CHEBI:28119,none,none,,,
ZDB-EXP-050606-2,ZECO:0000102,CHEBI:16469,none,none,,,
ZDB-EXP-050606-3,ZECO:0000102,CHEBI:16469,none,none,,,
ZDB-EXP-050606-3,ZECO:0000102,CHEBI:31638,none,none,,,
ZDB-EXP-050606-5,ZECO:0000102,CHEBI:16469,none,none,,,
ZDB-EXP-050606-6,ZECO:0000102,CHEBI:16469,none,none,,,
ZDB-EXP-050606-6,ZECO:0000102,CHEBI:31638,none,none,,,
