genox_zdb_id,genox_exp_zdb_id,genox_is_standard,genox_is_std_or_generic_control,genox_fish_zdb_id
ZDB-GENOX-041102-1,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-11860
ZDB-GENOX-041102-10,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-6969
ZDB-GENOX-041102-100,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-14311
ZDB-GENOX-041102-1000,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-12443
ZDB-GENOX-041102-1001,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-11591
ZDB-GENOX-041102-1002,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-23384
ZDB-GENOX-041102-1003,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-6086
ZDB-GENOX-041102-1004,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-3396
ZDB-GENOX-041102-1005,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-22925
ZDB-GENOX-041102-1006,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-4309
ZDB-GENOX-041102-1007,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-14317
ZDB-GENOX-041102-1008,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-16031
ZDB-GENOX-041102-1009,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-29715
ZDB-GENOX-041102-101,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-13663
ZDB-GENOX-041102-1010,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-16080
ZDB-GENOX-041102-1011,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-15166
ZDB-GENOX-041102-1013,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-16948
ZDB-GENOX-041102-1015,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-6050
ZDB-GENOX-041102-1016,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-7003
ZDB-GENOX-041102-1017,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-19678
ZDB-GENOX-041102-1018,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-3360
ZDB-GENOX-041102-1019,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-6979
ZDB-GENOX-041102-102,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-6972
ZDB-GENOX-041102-1020,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-26985
ZDB-GENOX-041102-1021,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-6046
ZDB-GENOX-041102-1022,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-14337
ZDB-GENOX-041102-1023,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-29670
ZDB-GENOX-041102-1024,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-3389
ZDB-GENOX-041102-1026,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-6062
ZDB-GENOX-041102-1027,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-6996
ZDB-GENOX-041102-1028,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-19704
ZDB-GENOX-041102-1029,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-5188
ZDB-GENOX-041102-103,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-3385
ZDB-GENOX-041102-1031,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-29677
ZDB-GENOX-041102-1032,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-1846
ZDB-GENOX-041102-1033,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-6083
ZDB-GENOX-041102-1034,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-12475
ZDB-GENOX-041102-1035,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-7932
ZDB-GENOX-041102-1037,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-28783
ZDB-GENOX-041102-1038,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-4297
ZDB-GENOX-041102-1039,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-10655
ZDB-GENOX-041102-104,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-15199
ZDB-GENOX-041102-1040,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-28801
ZDB-GENOX-041102-1041,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-1845
ZDB-GENOX-041102-1042,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-29673
ZDB-GENOX-041102-1043,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-19708
ZDB-GENOX-041102-1044,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-29699
ZDB-GENOX-041102-1045,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-10938
ZDB-GENOX-041102-1046,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-8793
ZDB-GENOX-041102-1048,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-28795
ZDB-GENOX-041102-1049,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-24296
ZDB-GENOX-041102-105,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-3
ZDB-GENOX-041102-1050,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-21571
ZDB-GENOX-041102-1051,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-29683
ZDB-GENOX-041102-1052,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-6051
ZDB-GENOX-041102-1053,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-5186
ZDB-GENOX-041102-1054,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-19719
ZDB-GENOX-041102-1055,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-9690
ZDB-GENOX-041102-1056,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-11546
ZDB-GENOX-041102-1057,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-25193
ZDB-GENOX-041102-1058,ZDB-EXP-041102-1,t,t,ZDB-FISH-150901-19089
