ept_pk_id,ept_relational_term,ept_quality_term_zdb_id,ept_tag,ept_xpatres_id
1,expressed_in,ZDB-TERM-070117-463,abnormal,308604
2,expressed_in,ZDB-TERM-070117-463,abnormal,308605
3,expressed_in,ZDB-TERM-070117-463,abnormal,308608
4,expressed_in,ZDB-TERM-070117-463,abnormal,308609
5,expressed_in,ZDB-TERM-070117-629,abnormal,308606
6,expressed_in,ZDB-TERM-070117-629,abnormal,308607
11,expressed_in,ZDB-TERM-070117-471,abnormal,308646
12,expressed_in,ZDB-TERM-081207-1946,abnormal,308658
13,expressed_in,ZDB-TERM-070326-1660,abnormal,308606
14,expressed_in,ZDB-TERM-070326-1660,abnormal,308607
15,expressed_in,ZDB-TERM-081207-1946,abnormal,308691
16,expressed_in,ZDB-TERM-081207-1946,abnormal,308692
17,expressed_in,ZDB-TERM-081207-1946,abnormal,308693
18,expressed_in,ZDB-TERM-081207-1946,abnormal,308694
21,expressed_in,ZDB-TERM-081207-1946,abnormal,308704
22,expressed_in,ZDB-TERM-081207-1946,abnormal,308705
23,expressed_in,ZDB-TERM-081207-1946,abnormal,308727
24,expressed_in,ZDB-TERM-070326-1661,abnormal,308727
25,expressed_in,ZDB-TERM-081207-1946,abnormal,308728
26,expressed_in,ZDB-TERM-070326-1661,abnormal,308728
27,expressed_in,ZDB-TERM-081207-1946,abnormal,308734
28,expressed_in,ZDB-TERM-070326-1661,abnormal,308734
29,expressed_in,ZDB-TERM-081207-1946,abnormal,308736
30,expressed_in,ZDB-TERM-070326-1661,abnormal,308736
31,expressed_in,ZDB-TERM-070117-463,abnormal,308737
32,expressed_in,ZDB-TERM-070117-463,abnormal,308738
33,expressed_in,ZDB-TERM-070117-463,abnormal,308739
34,expressed_in,ZDB-TERM-070117-463,abnormal,308740
35,expressed_in,ZDB-TERM-070117-463,abnormal,308741
36,expressed_in,ZDB-TERM-081207-1946,abnormal,308744
37,expressed_in,ZDB-TERM-081207-1946,abnormal,308745
