u_uberon_id,u_zfa_id
UBERON:0001009,ZFA:0000010
UBERON:0005409,ZFA:0009228
UBERON:0005409,ZFA:0009217
UBERON:0005409,ZFA:0005162
UBERON:0005409,ZFA:0000112
UBERON:0005409,ZFA:0005167
UBERON:0005409,ZFA:0000695
UBERON:0005409,ZFA:0000547
UBERON:0005409,ZFA:0001371
UBERON:0005409,ZFA:0000056
UBERON:0005409,ZFA:0005346
UBERON:0005409,ZFA:0005167
UBERON:0005409,ZFA:0001100
UBERON:0005409,ZFA:0000233
UBERON:0005409,ZFA:0001027
UBERON:0005409,ZFA:0005463
UBERON:0005409,ZFA:0000816
UBERON:0005409,ZFA:0001272
UBERON:0005409,ZFA:0001290
UBERON:0005409,ZFA:0000451
UBERON:0005409,ZFA:0001273
UBERON:0001008,ZFA:0000163
UBERON:0000949,ZFA:0001158
UBERON:0002330,ZFA:0001249
UBERON:0002193,ZFA:0005023
UBERON:0002193,ZFA:0000385
UBERON:0002193,ZFA:0005830
UBERON:0002193,ZFA:0009250
UBERON:0002416,ZFA:0000368
UBERON:0002204,ZFA:0000548 
UBERON:0002204,ZFA:0000434 
UBERON:0002423,ZFA:0000036
UBERON:0001016,ZFA:0000396
UBERON:0000990,ZFA:0000632
UBERON:0001004,ZFA:0000272
UBERON:0001032,ZFA:0000282 
UBERON:0002105,ZFA:0001138 
UBERON:0005726,ZFA:0001149 
UBERON:0005726,ZFA:0001101
UBERON:0007037,ZFA:0000034
UBERON:0007037,ZFA:0001138 
UBERON:0002104,ZFA:0001127 
UBERON:0002104,ZFA:0000556
UBERON:0002104,ZFA:0000435
UBERON:0002104,ZFA:0001678
UBERON:0002104,ZFA:0000137
UBERON:0000924,ZFA:0000016  
UBERON:0000925,ZFA:0000017 
UBERON:0000926,ZFA:0000041
UBERON:0003104,ZFA:0000393 
UBERON:0001013,ZFA:0005345 
UBERON:0000026,ZFA:0000108 
UBERON:0016887,ZFA:0000020
UBERON:0016887,ZFA:0009176
UBERON:0002539,ZFA:0001306
