expid,cdtid,zecoid,aotermid,chebiTermId,otherTermId,cctermid
ZDB-EXP-041102-1,ZDB-CDT-050127-4,ZECO:0000103,none,none,,
ZDB-EXP-041102-1,ZDB-CDT-050127-2,ZECO:0000103,none,none,,
ZDB-EXP-041129-3,ZDB-CDT-050127-16,ZECO:0000102,none,none,CHEBI:4021,
ZDB-EXP-041201-1,ZDB-CDT-050127-16,ZECO:0000102,none,none,CHEBI:4021,
ZDB-EXP-041201-2,ZDB-CDT-050127-16,ZECO:0000102,none,none,CHEBI:4021,
ZDB-EXP-041201-3,ZDB-CDT-050127-16,ZECO:0000102,none,none,CHEBI:4021,
ZDB-EXP-041201-4,ZDB-CDT-050127-16,ZECO:0000102,none,none,CHEBI:4021,
ZDB-EXP-041207-1,ZDB-CDT-050127-25,ZECO:0000102,none,none,CHEBI:63449,
ZDB-EXP-050203-1,ZDB-CDT-050127-32,ZECO:0000102,none,none,,
ZDB-EXP-050207-1,ZDB-CDT-050127-25,ZECO:0000102,none,none,CHEBI:63449,
ZDB-EXP-050221-2,ZDB-CDT-050127-32,ZECO:0000189,none,none,,
ZDB-EXP-050221-6,ZDB-CDT-050127-32,ZECO:0000189,none,none,,
ZDB-EXP-050221-7,ZDB-CDT-050127-32,ZECO:0000189,none,none,,
ZDB-EXP-050228-5,ZDB-CDT-050127-16,ZECO:0000102,none,none,CHEBI:4021,
ZDB-EXP-050302-2,ZDB-CDT-050127-32,ZECO:0000102,none,none,CHEBI:84491,
ZDB-EXP-050311-2,ZDB-CDT-050127-32,ZECO:0000102,none,none,CHEBI:31991,
ZDB-EXP-050314-2,ZDB-CDT-050127-25,ZECO:0000102,none,none,CHEBI:63449,
ZDB-EXP-050321-2,ZDB-CDT-050127-12,ZECO:0000102,none,none,CHEBI:35456,
ZDB-EXP-050321-3,ZDB-CDT-050127-12,ZECO:0000102,none,none,CHEBI:35456,
ZDB-EXP-050321-4,ZDB-CDT-050127-12,ZECO:0000102,none,none,CHEBI:35456,
ZDB-EXP-050323-2,ZDB-CDT-050127-24,ZECO:0000102,none,none,CHEBI:101713,
ZDB-EXP-050324-1,ZDB-CDT-050127-24,ZECO:0000102,none,none,CHEBI:101713,
ZDB-EXP-050324-2,ZDB-CDT-050127-24,ZECO:0000102,none,none,CHEBI:101713,
ZDB-EXP-050420-1,ZDB-CDT-050127-27,ZECO:0000146,none,none,,
ZDB-EXP-050420-2,ZDB-CDT-050127-27,ZECO:0000146,none,none,,
ZDB-EXP-050420-3,ZDB-CDT-050127-27,ZECO:0000146,none,none,,
ZDB-EXP-050420-4,ZDB-CDT-050127-27,ZECO:0000146,none,none,,
ZDB-EXP-050428-1,ZDB-CDT-050127-30,ZECO:0000216,none,none,,
ZDB-EXP-050504-3,ZDB-CDT-050127-25,ZECO:0000102,none,none,CHEBI:63449,
ZDB-EXP-050504-4,ZDB-CDT-050127-25,ZECO:0000102,none,none,CHEBI:63449,
ZDB-EXP-050505-2,ZDB-CDT-050127-32,ZECO:0000102,none,none,,
ZDB-EXP-050510-3,ZDB-CDT-050127-25,ZECO:0000102,none,none,CHEBI:63449,
ZDB-EXP-050510-4,ZDB-CDT-050127-25,ZECO:0000102,none,none,CHEBI:63449,
ZDB-EXP-050512-1,ZDB-CDT-050127-1,ZECO:0000166,none,none,,
ZDB-EXP-050512-4,ZDB-CDT-050127-1,ZECO:0000166,none,none,,
ZDB-EXP-050512-5,ZDB-CDT-050127-1,ZECO:0000166,none,none,,
ZDB-EXP-050512-6,ZDB-CDT-050127-1,ZECO:0000166,none,none,,
ZDB-EXP-050512-8,ZDB-CDT-050127-1,ZECO:0000166,none,none,,
ZDB-EXP-050512-9,ZDB-CDT-050127-1,ZECO:0000166,none,none,,
ZDB-EXP-050513-2,ZDB-CDT-050127-32,ZECO:0000102,none,none,,
ZDB-EXP-050513-3,ZDB-CDT-050127-32,ZECO:0000102,none,none,,
ZDB-EXP-050513-4,ZDB-CDT-050127-32,ZECO:0000102,none,none,,
ZDB-EXP-050513-5,ZDB-CDT-050127-24,ZECO:0000102,none,none,CHEBI:2766,
ZDB-EXP-050513-6,ZDB-CDT-050127-32,ZECO:0000102,none,none,,
ZDB-EXP-050515-1,ZDB-CDT-050127-20,ZECO:0000102,none,none,CHEBI:81570,
ZDB-EXP-050518-2,ZDB-CDT-050127-32,ZECO:0000102,none,none,,
ZDB-EXP-050526-1,ZDB-CDT-050127-32,ZECO:0000102,none,none,,
ZDB-EXP-050527-1,ZDB-CDT-050127-25,ZECO:0000102,none,none,CHEBI:63449,
ZDB-EXP-050601-1,ZDB-CDT-050127-32,ZECO:0000102,none,none,CHEBI:68508,
ZDB-EXP-050601-2,ZDB-CDT-050127-32,ZECO:0000102,none,none,CHEBI:68508,
ZDB-EXP-050604-1,ZDB-CDT-050127-24,ZECO:0000102,none,none,CHEBI:41879,
ZDB-EXP-050604-2,ZDB-CDT-050127-24,ZECO:0000102,none,none,CHEBI:28077,
ZDB-EXP-050604-3,ZDB-CDT-050127-24,ZECO:0000102,none,none,CHEBI:41879,
ZDB-EXP-050604-4,ZDB-CDT-050127-24,ZECO:0000102,none,none,CHEBI:28077,
ZDB-EXP-050604-5,ZDB-CDT-050127-17,ZECO:0000102,none,none,CHEBI:28119,
ZDB-EXP-050604-6,ZDB-CDT-050127-17,ZECO:0000102,none,none,CHEBI:28119,
ZDB-EXP-050606-2,ZDB-CDT-050127-13,ZECO:0000102,none,none,CHEBI:16469,
ZDB-EXP-050606-3,ZDB-CDT-050127-13,ZECO:0000102,none,none,CHEBI:16469,
ZDB-EXP-050606-3,ZDB-CDT-050127-24,ZECO:0000102,none,none,CHEBI:31638,
ZDB-EXP-050606-5,ZDB-CDT-050127-13,ZECO:0000102,none,none,CHEBI:16469,
ZDB-EXP-050606-6,ZDB-CDT-050127-13,ZECO:0000102,none,none,CHEBI:16469,
ZDB-EXP-050606-6,ZDB-CDT-050127-24,ZECO:0000102,none,none,CHEBI:31638,
ZDB-EXP-050606-7,ZDB-CDT-050127-24,ZECO:0000102,none,none,CHEBI:23888,
ZDB-EXP-050616-1,ZDB-CDT-050127-20,ZECO:0000102,none,none,CHEBI:37845,
ZDB-EXP-050616-2,ZDB-CDT-050127-32,ZECO:0000102,none,none,,
ZDB-EXP-050616-3,ZDB-CDT-050127-32,ZECO:0000102,none,none,,
ZDB-EXP-050617-1,ZDB-CDT-050127-17,ZECO:0000102,none,none,CHEBI:28119,
ZDB-EXP-050621-1,ZDB-CDT-050127-2,ZECO:0000166,none,none,,
ZDB-EXP-050621-2,ZDB-CDT-050127-16,ZECO:0000102,none,none,CHEBI:4021,
ZDB-EXP-050621-2,ZDB-CDT-050127-2,ZECO:0000162,none,none,,
ZDB-EXP-050629-2,ZDB-CDT-050127-32,ZECO:0000102,none,none,,
ZDB-EXP-050629-2,ZDB-CDT-050127-2,ZECO:0000162,none,none,,
ZDB-EXP-050708-8,ZDB-CDT-050127-27,ZECO:0000146,none,none,,
ZDB-EXP-050708-9,ZDB-CDT-050127-27,ZECO:0000146,none,none,,
ZDB-EXP-050714-4,ZDB-CDT-050127-32,ZECO:0000102,none,none,CHEBI:52289,
ZDB-EXP-050714-5,ZDB-CDT-050127-24,ZECO:0000102,none,none,CHEBI:7772,
ZDB-EXP-050714-6,ZDB-CDT-050127-32,ZECO:0000102,none,none,,
ZDB-EXP-050714-7,ZDB-CDT-050127-25,ZECO:0000102,none,none,CHEBI:63449,
ZDB-EXP-050715-1,ZDB-CDT-050127-27,ZECO:0000146,none,none,,
ZDB-EXP-050715-1,ZDB-CDT-050127-25,ZECO:0000102,none,none,CHEBI:63449,
ZDB-EXP-050715-3,ZDB-CDT-050127-25,ZECO:0000102,none,none,CHEBI:63449,
ZDB-EXP-050721-2,ZDB-CDT-050127-32,ZECO:0000102,none,none,CHEBI:18243,
ZDB-EXP-050721-3,ZDB-CDT-050127-32,ZECO:0000102,none,none,CHEBI:75401,
ZDB-EXP-050721-4,ZDB-CDT-050127-32,ZECO:0000102,none,none,CHEBI:131802,
ZDB-EXP-050725-1,ZDB-CDT-050127-24,ZECO:0000102,none,none,CHEBI:49662,
ZDB-EXP-050726-1,ZDB-CDT-050127-1,ZECO:0000166,none,none,,
ZDB-EXP-050726-2,ZDB-CDT-050127-1,ZECO:0000166,none,none,,
ZDB-EXP-050727-2,ZDB-CDT-050127-16,ZECO:0000102,none,none,CHEBI:4021,
ZDB-EXP-050728-2,ZDB-CDT-050127-21,ZECO:0000102,none,none,CHEBI:16170 ,
ZDB-EXP-050728-4,ZDB-CDT-050127-16,ZECO:0000102,none,none,CHEBI:4021,
ZDB-EXP-050728-7,ZDB-CDT-050127-32,ZECO:0000102,none,none,CHEBI:65207,
ZDB-EXP-050728-8,ZDB-CDT-050127-32,ZECO:0000102,none,none,,
ZDB-EXP-050802-2,ZDB-CDT-050127-24,ZECO:0000102,none,none,CHEBI:45980 ,
ZDB-EXP-050802-3,ZDB-CDT-050127-24,ZECO:0000102,none,none,CHEBI:8107 ,
ZDB-EXP-050802-4,ZDB-CDT-050127-24,ZECO:0000102,none,none,CHEBI:5855 ,
ZDB-EXP-050802-5,ZDB-CDT-050127-24,ZECO:0000102,none,none,CHEBI:28748 ,
ZDB-EXP-050804-2,ZDB-CDT-050127-24,ZECO:0000102,none,none,CHEBI:7565,
ZDB-EXP-050805-1,ZDB-CDT-050127-21,ZECO:0000102,none,none,CHEBI:78291,
ZDB-EXP-050811-1,ZDB-CDT-050127-17,ZECO:0000102,none,none,CHEBI:28119,
ZDB-EXP-050815-1,ZDB-CDT-050127-13,ZECO:0000102,none,none,CHEBI:16469,
ZDB-EXP-050815-2,ZDB-CDT-050127-32,ZECO:0000102,none,none,CHEBI:17963,
ZDB-EXP-050815-3,ZDB-CDT-050127-32,ZECO:0000102,none,none,CHEBI:17963,
ZDB-EXP-050815-3,ZDB-CDT-050127-24,ZECO:0000102,none,none,CHEBI:50217,
ZDB-EXP-050815-4,ZDB-CDT-050127-32,ZECO:0000102,none,none,CHEBI:641,
ZDB-EXP-050816-1,ZDB-CDT-050127-24,ZECO:0000102,none,none,CHEBI:50673,
ZDB-EXP-050816-2,ZDB-CDT-050127-20,ZECO:0000102,none,none,CHEBI:60311,
ZDB-EXP-050816-3,ZDB-CDT-050127-20,ZECO:0000102,none,none,CHEBI:60311,
ZDB-EXP-050816-3,ZDB-CDT-050127-24,ZECO:0000102,none,none,CHEBI:50673,
ZDB-EXP-050817-1,ZDB-CDT-050127-11,ZECO:0000102,none,none,CHEBI:16236,
ZDB-EXP-050819-3,ZDB-CDT-050127-25,ZECO:0000102,none,none,CHEBI:63449,
ZDB-EXP-050826-1,ZDB-CDT-050127-25,ZECO:0000102,none,none,CHEBI:63449,
ZDB-EXP-050830-3,ZDB-CDT-050127-24,ZECO:0000102,none,none,CHEBI:3764,
ZDB-EXP-050830-4,ZDB-CDT-050127-32,ZECO:0000102,none,none,CHEBI:16581,
ZDB-EXP-050831-2,ZDB-CDT-050127-1,ZECO:0000166,none,none,,
ZDB-EXP-050831-3,ZDB-CDT-050127-1,ZECO:0000166,none,none,,
ZDB-EXP-050831-6,ZDB-CDT-050127-32,ZECO:0000102,none,none,,
ZDB-EXP-050901-5,ZDB-CDT-050127-1,ZECO:0000166,none,none,,
ZDB-EXP-050901-5,ZDB-CDT-050127-25,ZECO:0000102,none,none,CHEBI:63449,
ZDB-EXP-050920-2,ZDB-CDT-050127-24,ZECO:0000102,none,none,CHEBI:86193,
ZDB-EXP-050922-3,ZDB-CDT-070911-1,ZECO:0000102,none,none,CHEBI:472552,
ZDB-EXP-050923-1,ZDB-CDT-050127-24,ZECO:0000102,none,none,CHEBI:4031,
ZDB-EXP-050923-2,ZDB-CDT-050127-32,ZECO:0000102,none,none,CHEBI:17051,
ZDB-EXP-050926-1,ZDB-CDT-050127-16,ZECO:0000102,none,none,CHEBI:4021,
ZDB-EXP-050926-2,ZDB-CDT-050127-32,ZECO:0000102,none,none,,
ZDB-EXP-050927-4,ZDB-CDT-050127-15,ZECO:0000102,none,none,CHEBI:15367,
ZDB-EXP-050929-1,ZDB-CDT-050127-13,ZECO:0000102,none,none,CHEBI:16469,
ZDB-EXP-051013-3,ZDB-CDT-050127-15,ZECO:0000102,none,none,CHEBI:15367,
ZDB-EXP-051014-1,ZDB-CDT-051014-1,ZECO:0000102,none,none,CHEBI:9513,
ZDB-EXP-051014-2,ZDB-CDT-050127-32,ZECO:0000102,none,none,CHEBI:17761 ,
ZDB-EXP-051014-3,ZDB-CDT-051014-1,ZECO:0000102,none,none,CHEBI:9513,
ZDB-EXP-051014-4,ZDB-CDT-050127-2,ZECO:0000162,none,none,,
ZDB-EXP-051017-1,ZDB-CDT-050127-32,ZECO:0000102,none,none,CHEBI:37550,
ZDB-EXP-051017-1,ZDB-CDT-051014-1,ZECO:0000102,none,none,CHEBI:9513,
ZDB-EXP-051017-2,ZDB-CDT-050127-2,ZECO:0000162,none,none,,
ZDB-EXP-051018-1,ZDB-CDT-050127-17,ZECO:0000102,none,none,CHEBI:28119,
ZDB-EXP-051018-6,ZDB-CDT-050127-32,ZECO:0000102,none,none,CHEBI:78886,
ZDB-EXP-051019-1,ZDB-CDT-050127-16,ZECO:0000102,none,none,CHEBI:4021,
ZDB-EXP-051027-2,ZDB-CDT-050127-32,ZECO:0000102,none,none,CHEBI:42471,
