expid|DBname|DBname|ZECOtermname|zecoid|otherid|CC
ZDB-EXP-041102-1|salinity|stable|standard|ZECO:0000103||
ZDB-EXP-041102-1|temperature|stable|standard|ZECO:0000103||
ZDB-EXP-041111-1|fgf8 and fgf3 knock-down|fgf8 and fgf3 knock-down|standard conditions|ZECO:0000103||
ZDB-EXP-041129-2|twhh-MO-2 treated|twhh-MO-2 treated|standard conditions|ZECO:0000103||
ZDB-EXP-041129-3|chemical|cyclopamine (CAS: 4449-51-8)|chemical treatment|ZECO:0000102|CHEBI:4021|
ZDB-EXP-041201-1|chemical|cyclopamine (CAS: 4449-51-8)|chemical treatment|ZECO:0000102|CHEBI:4021|
ZDB-EXP-041201-2|chemical|cyclopamine (CAS: 4449-51-8)|chemical treatment|ZECO:0000102|CHEBI:4021|
ZDB-EXP-041201-3|chemical|cyclopamine (CAS: 4449-51-8)|chemical treatment|ZECO:0000102|CHEBI:4021|
ZDB-EXP-041201-4|chemical|cyclopamine (CAS: 4449-51-8)|chemical treatment|ZECO:0000102|CHEBI:4021|
ZDB-EXP-041202-1|her3 MO|her3 MO|standard conditions|ZECO:0000103||
ZDB-EXP-041206-1|MO[dlD-V]|MO[dlD-V]|standard conditions|ZECO:0000103||
ZDB-EXP-041207-1|chemical|SU5402|chemical treatment|ZECO:0000102|CHEBI:63449|
ZDB-EXP-041207-4|fgf8MO mix|fgf8MO mix|standard conditions|ZECO:0000103||
ZDB-EXP-041213-1|cap1-MO|cap1-MO|standard conditions|ZECO:0000103||
ZDB-EXP-041213-2|quo-MO|quo-MO|standard conditions|ZECO:0000103||
ZDB-EXP-041223-3|fgf3 MOs|fgf3 MOs|standard conditions|ZECO:0000103||
ZDB-EXP-050106-1|dpr2 morpholinos|dpr2 morpholinos|standard conditions|ZECO:0000103||
ZDB-EXP-050107-1|morpholino|morpholino|standard conditions|ZECO:0000103||
ZDB-EXP-050119-2|clock MOs|clock MOs|standard conditions|ZECO:0000103||
ZDB-EXP-050119-3|bmal MOs|bmal MOs|standard conditions|ZECO:0000103||
ZDB-EXP-050119-5|lfty MO|lfty MO|standard conditions|ZECO:0000103||
ZDB-EXP-050120-1|all MO|all MO|standard conditions|ZECO:0000103||
ZDB-EXP-050120-2|little lfty MO|little lfty MO|standard conditions|ZECO:0000103||
ZDB-EXP-050120-3|8ng MO1|8ng MO1|standard conditions|ZECO:0000103||
ZDB-EXP-050120-4|16ng MO1|16ng MO1|standard conditions|ZECO:0000103||
ZDB-EXP-050120-5|25ng MO5|25ng MO5|standard conditions|ZECO:0000103||
ZDB-EXP-050124-2|b-arrestin MO|b-arrestin MO|standard conditions|ZECO:0000103||
ZDB-EXP-050124-3|arrestin 3 MO|arrestin 3 MO|standard conditions|ZECO:0000103||
ZDB-EXP-050128-3|MO-1|MO-1|standard conditions|ZECO:0000103||
ZDB-EXP-050128-4|yes mo|yes mo|standard conditions|ZECO:0000103||
ZDB-EXP-050201-2|mitfa-MO|mitfa-MO|standard conditions|ZECO:0000103||
ZDB-EXP-050201-3|mitfa-MO-PTU|mitfa-MO-PTU|standard conditions|ZECO:0000103||
ZDB-EXP-050202-1|ehh+twhh MOs|ehh+twhh MOs|standard conditions|ZECO:0000103||
ZDB-EXP-050202-2|nkx6.1 MO|nkx6.1 MO|standard conditions|ZECO:0000103||
ZDB-EXP-050203-1|chemical|other|chemical treatment|ZECO:0000102||
ZDB-EXP-050204-1|shh, twhh, ehh MOs|shh, twhh, ehh MOs|standard conditions|ZECO:0000103||
ZDB-EXP-050204-2|olig2 MO|olig2 MO|standard conditions|ZECO:0000103||
ZDB-EXP-050207-1|chemical|SU5402|chemical treatment|ZECO:0000102|CHEBI:63449|
ZDB-EXP-050208-1|tal1 MOs|tal1 MOs|standard conditions|ZECO:0000103||
ZDB-EXP-050208-2|p53 MO|p53 MO|standard conditions|ZECO:0000103||
ZDB-EXP-050208-5|perp MO|perp MO|standard conditions|ZECO:0000103||
ZDB-EXP-050209-10|dlx3b MO|dlx3b MO|standard conditions|ZECO:0000103||
ZDB-EXP-050209-11|dlx3b + pax8 MOs|dlx3b + pax8 MOs|standard conditions|ZECO:0000103||
ZDB-EXP-050209-12|dlx3b/dlx4b-ATG-MO|dlx3b/dlx4b-ATG-MO|standard conditions|ZECO:0000103||
ZDB-EXP-050209-15|gli3 MO|gli3 MO|standard conditions|ZECO:0000103||
ZDB-EXP-050209-16|dlx3b/dlx4b-E212-MO|dlx3b/dlx4b-E212-MO|standard conditions|ZECO:0000103||
ZDB-EXP-050209-3|pax8 MOs|pax8 MOs|standard conditions|ZECO:0000103||
ZDB-EXP-050209-4|fgf3 MOs|fgf3 MOs|standard conditions|ZECO:0000103||
ZDB-EXP-050209-5|fgf3 + pax8 MOs|fgf3 + pax8 MOs|standard conditions|ZECO:0000103||
ZDB-EXP-050209-6|pax8 + pax2b MOs|pax8 + pax2b MOs|standard conditions|ZECO:0000103||
ZDB-EXP-050209-9|foxi1 MO|foxi1 MO|standard conditions|ZECO:0000103||
ZDB-EXP-050210-1|gli2 MO|gli2 MO|standard conditions|ZECO:0000103||
ZDB-EXP-050210-2|gli1 MO|gli1 MO|standard conditions|ZECO:0000103||
ZDB-EXP-050210-3|gli2 gli3 MOs|gli2 gli3 MOs|standard conditions|ZECO:0000103||
ZDB-EXP-050210-4|gli3 gli1 MOs|gli3 gli1 MOs|standard conditions|ZECO:0000103||
ZDB-EXP-050214-1|MO(T)-gata1|MO(T)-gata1|standard conditions|ZECO:0000103||
ZDB-EXP-050214-2|MO(S)-gata2|MO(S)-gata2|standard conditions|ZECO:0000103||
ZDB-EXP-050214-3|MO(T)-gata1 + MO(S)-gata2|MO(T)-gata1 + MO(S)-gata2|standard conditions|ZECO:0000103||
ZDB-EXP-050216-1|foxi1 + pax8 MOs|foxi1 + pax8 MOs|standard conditions|ZECO:0000103||
ZDB-EXP-050218-1|tsgb MO1 3ng|tsgb MO1 3ng|standard conditions|ZECO:0000103||
ZDB-EXP-050218-3|tsgb MO1 10ng|tsgb MO1 10ng|standard conditions|ZECO:0000103||
ZDB-EXP-050218-4|tsgb MO3 20ng|tsgb MO3 20ng|standard conditions|ZECO:0000103||
ZDB-EXP-050221-2|chemical|other|hypoxia|ZECO:0000189||
ZDB-EXP-050221-4|pax8 KD|pax8 KD|standard conditions|ZECO:0000103||
ZDB-EXP-050221-5|MO1|MO1|standard conditions|ZECO:0000103||
ZDB-EXP-050221-6|chemical|other|hypoxia|ZECO:0000189||
ZDB-EXP-050221-7|chemical|other|hypoxia|ZECO:0000189||
ZDB-EXP-050223-1|prdm1 MO low|prdm1 MO low|standard conditions|ZECO:0000103||
ZDB-EXP-050223-2|prdm1 MO high|prdm1 MO high|standard conditions|ZECO:0000103||
ZDB-EXP-050224-1|GADD45b1-MO+GADD45b2-MO|GADD45b1-MO+GADD45b2-MO|standard conditions|ZECO:0000103||
ZDB-EXP-050224-2|spi1 MO|spi1 MO|standard conditions|ZECO:0000103||
