expid,DBname,DBname,ZECOtermname,zecoid,otherid,CC
ZDB-EXP-041102-1,salinity,stable,standard,ZECO:0000103,,
ZDB-EXP-041102-1,temperature,stable,standard,ZECO:0000103,,
ZDB-EXP-041129-3,chemical,cyclopamine (CAS: 4449-51-8),chemical treatment,ZECO:0000102,CHEBI:4021,
ZDB-EXP-041201-1,chemical,cyclopamine (CAS: 4449-51-8),chemical treatment,ZECO:0000102,CHEBI:4021,
ZDB-EXP-041201-2,chemical,cyclopamine (CAS: 4449-51-8),chemical treatment,ZECO:0000102,CHEBI:4021,
ZDB-EXP-041201-3,chemical,cyclopamine (CAS: 4449-51-8),chemical treatment,ZECO:0000102,CHEBI:4021,
ZDB-EXP-041201-4,chemical,cyclopamine (CAS: 4449-51-8),chemical treatment,ZECO:0000102,CHEBI:4021,
ZDB-EXP-041207-1,chemical,SU5402,chemical treatment,ZECO:0000102,CHEBI:63449,
ZDB-EXP-050203-1,chemical,other,chemical treatment,ZECO:0000102,,
ZDB-EXP-050207-1,chemical,SU5402,chemical treatment,ZECO:0000102,CHEBI:63449,
ZDB-EXP-050221-2,chemical,other,hypoxia,ZECO:0000189,,
ZDB-EXP-050221-6,chemical,other,hypoxia,ZECO:0000189,,
ZDB-EXP-050221-7,chemical,other,hypoxia,ZECO:0000189,,
ZDB-EXP-050228-5,chemical,cyclopamine (CAS: 4449-51-8),chemical treatment,ZECO:0000102,CHEBI:4021,
ZDB-EXP-050302-2,chemical,other,chemical treatment,ZECO:0000102,CHEBI:84491,
ZDB-EXP-050311-2,chemical,other,chemical treatment,ZECO:0000102,CHEBI:31991,
ZDB-EXP-050314-2,chemical,SU5402,chemical treatment,ZECO:0000102,CHEBI:63449,
ZDB-EXP-050321-2,chemical,Cadmium chloride (CAS: 10108-64-2),chemical treatment,ZECO:0000102,CHEBI:35456,
ZDB-EXP-050321-3,chemical,Cadmium chloride (CAS: 10108-64-2),chemical treatment,ZECO:0000102,CHEBI:35456,
ZDB-EXP-050321-4,chemical,Cadmium chloride (CAS: 10108-64-2),chemical treatment,ZECO:0000102,CHEBI:35456,
ZDB-EXP-050323-2,chemical,Pharmaceutical drug,chemical treatment,ZECO:0000102,CHEBI:101713,
ZDB-EXP-050324-1,chemical,Pharmaceutical drug,chemical treatment,ZECO:0000102,CHEBI:101713,
ZDB-EXP-050324-2,chemical,Pharmaceutical drug,chemical treatment,ZECO:0000102,CHEBI:101713,
ZDB-EXP-050420-1,physical,light,lighting conditions,ZECO:0000146,,
ZDB-EXP-050420-2,physical,light,lighting conditions,ZECO:0000146,,
ZDB-EXP-050420-3,physical,light,lighting conditions,ZECO:0000146,,
ZDB-EXP-050420-4,physical,light,lighting conditions,ZECO:0000146,,
ZDB-EXP-050428-1,physical,radiation,gama ray,ZECO:0000216,,
ZDB-EXP-050504-3,chemical,SU5402,chemical treatment,ZECO:0000102,CHEBI:63449,
ZDB-EXP-050504-4,chemical,SU5402,chemical treatment,ZECO:0000102,CHEBI:63449,
ZDB-EXP-050505-2,chemical,other,chemical treatment,ZECO:0000102,,
ZDB-EXP-050510-3,chemical,SU5402,chemical treatment,ZECO:0000102,CHEBI:63449,
ZDB-EXP-050510-4,chemical,SU5402,chemical treatment,ZECO:0000102,CHEBI:63449,
ZDB-EXP-050512-1,temperature,heat shock,heat shock,ZECO:0000166,,
ZDB-EXP-050512-4,temperature,heat shock,heat shock,ZECO:0000166,,
ZDB-EXP-050512-5,temperature,heat shock,heat shock,ZECO:0000166,,
ZDB-EXP-050512-6,temperature,heat shock,heat shock,ZECO:0000166,,
ZDB-EXP-050512-8,temperature,heat shock,heat shock,ZECO:0000166,,
ZDB-EXP-050512-9,temperature,heat shock,heat shock,ZECO:0000166,,
ZDB-EXP-050513-2,chemical,other,chemical treatment,ZECO:0000102,,
ZDB-EXP-050513-3,chemical,other,chemical treatment,ZECO:0000102,,
ZDB-EXP-050513-4,chemical,other,chemical treatment,ZECO:0000102,,
ZDB-EXP-050513-5,chemical,Pharmaceutical drug,chemical treatment,ZECO:0000102,CHEBI:2766,
ZDB-EXP-050513-6,chemical,other,chemical treatment,ZECO:0000102,,
ZDB-EXP-050515-1,chemical,Hormonesierra growth factorssierra and endocrine disruptors,chemical treatment,ZECO:0000102,CHEBI:81570,
ZDB-EXP-050518-2,chemical,other,chemical treatment,ZECO:0000102,,
ZDB-EXP-050526-1,chemical,other,chemical treatment,ZECO:0000102,,
ZDB-EXP-050527-1,chemical,SU5402,chemical treatment,ZECO:0000102,CHEBI:63449,
ZDB-EXP-050601-1,chemical,other,chemical treatment,ZECO:0000102,CHEBI:68508,
ZDB-EXP-050601-2,chemical,other,chemical treatment,ZECO:0000102,CHEBI:68508,
ZDB-EXP-050604-1,chemical,Pharmaceutical drug,chemical treatment,ZECO:0000102,CHEBI:41879,
ZDB-EXP-050604-2,chemical,Pharmaceutical drug,chemical treatment,ZECO:0000102,CHEBI:28077,
ZDB-EXP-050604-3,chemical,Pharmaceutical drug,chemical treatment,ZECO:0000102,CHEBI:41879,
ZDB-EXP-050604-4,chemical,Pharmaceutical drug,chemical treatment,ZECO:0000102,CHEBI:28077,
ZDB-EXP-050604-5,chemical,TCDD (2sierra3sierra7sierra8-tetrachlorodibenzo-p-dioxin) (CAS: 1746-01-6),chemical treatment,ZECO:0000102,CHEBI:28119,
ZDB-EXP-050604-6,chemical,TCDD (2sierra3sierra7sierra8-tetrachlorodibenzo-p-dioxin) (CAS: 1746-01-6),chemical treatment,ZECO:0000102,CHEBI:28119,
ZDB-EXP-050606-2,chemical,17beta-estradiol (CAS: 50-28-2),chemical treatment,ZECO:0000102,CHEBI:16469,
ZDB-EXP-050606-3,chemical,17beta-estradiol (CAS: 50-28-2),chemical treatment,ZECO:0000102,CHEBI:16469,
ZDB-EXP-050606-3,chemical,Pharmaceutical drug,chemical treatment,ZECO:0000102,CHEBI:31638,
ZDB-EXP-050606-5,chemical,17beta-estradiol (CAS: 50-28-2),chemical treatment,ZECO:0000102,CHEBI:16469,
ZDB-EXP-050606-6,chemical,17beta-estradiol (CAS: 50-28-2),chemical treatment,ZECO:0000102,CHEBI:16469,
ZDB-EXP-050606-6,chemical,Pharmaceutical drug,chemical treatment,ZECO:0000102,CHEBI:31638,
ZDB-EXP-050606-7,chemical,Pharmaceutical drug,chemical treatment,ZECO:0000102,CHEBI:23888,
ZDB-EXP-050616-1,chemical,Hormonesierra growth factorssierra and endocrine disruptors,chemical treatment,ZECO:0000102,CHEBI:37845,
ZDB-EXP-050616-2,chemical,other,chemical treatment,ZECO:0000102,,
ZDB-EXP-050616-3,chemical,other,chemical treatment,ZECO:0000102,,
ZDB-EXP-050617-1,chemical,TCDD (2sierra3sierra7sierra8-tetrachlorodibenzo-p-dioxin) (CAS: 1746-01-6),chemical treatment,ZECO:0000102,CHEBI:28119,
