expId,expcondId,zecoId,chebiId
ZDB-EXP-160705-2,ZDB-EXPCOND-160705-2,ZECO:0000111,CHEBI:9288
ZDB-EXP-160706-1,ZDB-EXPCOND-160706-1,ZECO:0000111,CHEBI:132471
ZDB-EXP-160708-2,ZDB-EXPCOND-160708-2,ZECO:0000111,CHEBI:44616
ZDB-EXP-160711-2,ZDB-EXPCOND-160711-2,ZECO:0000111,CHEBI:26536
ZDB-EXP-160711-4,ZDB-EXPCOND-160711-5,ZECO:0000111,CHEBI:50102
ZDB-EXP-160714-1,ZDB-EXPCOND-160714-1,ZECO:0000111,CHEBI:10125
ZDB-EXP-160714-4,ZDB-EXPCOND-160714-5,ZECO:0000111,CHEBI:64210
ZDB-EXP-160715-1,ZDB-EXPCOND-160715-1,ZECO:0000238,CHEBI:101381
ZDB-EXP-160715-6,ZDB-EXPCOND-160715-7,ZECO:0000111,CHEBI:9168
ZDB-EXP-160719-2,ZDB-EXPCOND-160719-2,ZECO:0000237,CHEBI:132754
ZDB-EXP-160719-5,ZDB-EXPCOND-160719-5,ZECO:0000237,CHEBI:31206
ZDB-EXP-160722-4,ZDB-EXPCOND-160722-4,ZECO:0000111,CHEBI:15551
ZDB-EXP-160725-1,ZDB-EXPCOND-160725-1,ZECO:0000238,CHEBI:39462
ZDB-EXP-160726-1,ZDB-EXPCOND-160726-1,ZECO:0000238,CHEBI:6402
ZDB-EXP-160801-2,ZDB-EXPCOND-160801-2,ZECO:0000238,CHEBI:132889
ZDB-EXP-160802-2,ZDB-EXPCOND-160802-2,ZECO:0000238,CHEBI:73240 
ZDB-EXP-160802-8,ZDB-EXPCOND-160802-5,ZECO:0000111,CHEBI:87897 
ZDB-EXP-160802-4,ZDB-EXPCOND-160802-8,ZECO:0000111,CHEBI:15430
ZDB-EXP-160803-2,ZDB-EXPCOND-160803-2,ZECO:0000238,CHEBI:100922
ZDB-EXP-160804-3,ZDB-EXPCOND-160804-3,ZECO:0000238,CHEBI:34910 
ZDB-EXP-160808-4,ZDB-EXPCOND-160808-3,ZECO:0000111,CHEBI:45616 
ZDB-EXP-160812-1,ZDB-EXPCOND-160812-1,ZECO:0000111,CHEBI:28869
ZDB-EXP-160812-3,ZDB-EXPCOND-160812-3,ZECO:0000111,CHEBI:15551
ZDB-EXP-160816-2,ZDB-EXPCOND-160816-2,ZECO:0000111,CHEBI:65259 
ZDB-EXP-160818-1,ZDB-EXPCOND-160818-1,ZECO:0000111,CHEBI:16796
ZDB-EXP-160825-2,ZDB-EXPCOND-160825-2,ZECO:0000111,CHEBI:17898
ZDB-EXP-160825-6,ZDB-EXPCOND-160825-7,ZECO:0000111,CHEBI:133151
ZDB-EXP-160826-1,ZDB-EXPCOND-160826-1,ZECO:0000111,CHEBI:15603 
ZDB-EXP-160829-2,ZDB-EXPCOND-160829-2,ZECO:0000111,CHEBI:47344
ZDB-EXP-160830-6,ZDB-EXPCOND-160830-4,ZECO:0000238,CHEBI:41879
ZDB-EXP-160705-3,ZDB-EXPCOND-160705-3,ZECO:0000111,CHEBI:34910
ZDB-EXP-160707-1,ZDB-EXPCOND-160707-1,ZECO:0000111,CHEBI:100922
ZDB-EXP-160708-3,ZDB-EXPCOND-160708-3,ZECO:0000111,CHEBI:6909
ZDB-EXP-160711-3,ZDB-EXPCOND-160711-3,ZECO:0000111,CHEBI:16236 
ZDB-EXP-160713-1,ZDB-EXPCOND-160713-1,ZECO:0000111,CHEBI:34910
ZDB-EXP-160714-2,ZDB-EXPCOND-160714-2,ZECO:0000111,CHEBI:2972
ZDB-EXP-160714-5,ZDB-EXPCOND-160714-6,ZECO:0000111,CHEBI:132571
ZDB-EXP-160719-3,ZDB-EXPCOND-160719-3,ZECO:0000237,CHEBI:75142
ZDB-EXP-160720-1,ZDB-EXPCOND-160720-1,ZECO:0000111,CHEBI:22584
ZDB-EXP-160722-1,ZDB-EXPCOND-160722-1,ZECO:0000111,CHEBI:73458
ZDB-EXP-160722-2,ZDB-EXPCOND-160722-2,ZECO:0000111,CHEBI:15551
ZDB-EXP-160725-2,ZDB-EXPCOND-160725-2,ZECO:0000238,CHEBI:34910
ZDB-EXP-160801-3,ZDB-EXPCOND-160801-3,ZECO:0000238,CHEBI:641
ZDB-EXP-160802-1,ZDB-EXPCOND-160802-1,ZECO:0000238,CHEBI:78298
ZDB-EXP-160802-5,ZDB-EXPCOND-160802-6,ZECO:0000111,CHEBI:17549
ZDB-EXP-160803-3,ZDB-EXPCOND-160803-3,ZECO:0000111,CHEBI:4021
ZDB-EXP-160808-1,ZDB-EXPCOND-160808-1,ZECO:0000238,CHEBI:62434 
ZDB-EXP-160808-3,ZDB-EXPCOND-160808-4,ZECO:0000111,CHEBI:16346 
ZDB-EXP-160809-1,ZDB-EXPCOND-160809-2,ZECO:0000111,CHEBI:63041
ZDB-EXP-160815-2,ZDB-EXPCOND-160815-2,ZECO:0000111,CHEBI:65259
ZDB-EXP-160822-1,ZDB-EXPCOND-160822-2,ZECO:0000111,CHEBI:133152
ZDB-EXP-160825-3,ZDB-EXPCOND-160825-3,ZECO:0000111,CHEBI:15367
ZDB-EXP-160825-4,ZDB-EXPCOND-160825-4,ZECO:0000111,CHEBI:86195
ZDB-EXP-160829-1,ZDB-EXPCOND-160829-1,ZECO:0000111,CHEBI:78291 
ZDB-EXP-160705-1,ZDB-EXPCOND-160705-1,ZECO:0000111,CHEBI:37699
ZDB-EXP-160708-1,ZDB-EXPCOND-160708-1,ZECO:0000111,CHEBI:17574
ZDB-EXP-160711-1,ZDB-EXPCOND-160711-1,ZECO:0000111,CHEBI:16236 
ZDB-EXP-160711-3,ZDB-EXPCOND-160711-4,ZECO:0000111,CHEBI:26536
ZDB-EXP-160712-1,ZDB-EXPCOND-160712-1,ZECO:0000111,CHEBI:15765 
ZDB-EXP-160713-2,ZDB-EXPCOND-160713-2,ZECO:0000111, CHEBI:132086
ZDB-EXP-160714-3,ZDB-EXPCOND-160714-3,ZECO:0000111,CHEBI:34725
ZDB-EXP-160715-2,ZDB-EXPCOND-160715-3,ZECO:0000238,CHEBI:101381 
ZDB-EXP-160719-4,ZDB-EXPCOND-160719-4,ZECO:0000237,CHEBI:3638 
ZDB-EXP-160720-2,ZDB-EXPCOND-160720-2,ZECO:0000111,CHEBI:132774
ZDB-EXP-160722-3,ZDB-EXPCOND-160722-6,ZECO:0000111,CHEBI:73458
ZDB-EXP-160802-3,ZDB-EXPCOND-160802-4,ZECO:0000238,CHEBI:78298 
ZDB-EXP-160802-6,ZDB-EXPCOND-160802-7,ZECO:0000111,CHEBI:31460
ZDB-EXP-160803-1,ZDB-EXPCOND-160803-1,ZECO:0000238,CHEBI:91108
ZDB-EXP-160804-1,ZDB-EXPCOND-160804-1,ZECO:0000237,CHEBI:132925
ZDB-EXP-160808-2,ZDB-EXPCOND-160808-2,ZECO:0000111,CHEBI:63041
ZDB-EXP-160808-5,ZDB-EXPCOND-160808-5,ZECO:0000111,CHEBI:4757
ZDB-EXP-160810-2,ZDB-EXPCOND-160810-3,ZECO:0000111,CHEBI:132974 
ZDB-EXP-160810-3,ZDB-EXPCOND-160810-6,ZECO:0000111,CHEBI:132974 
ZDB-EXP-160817-1,ZDB-EXPCOND-160817-1,ZECO:0000111,CHEBI:22689
ZDB-EXP-160825-1,ZDB-EXPCOND-160825-1,ZECO:0000111,CHEBI:17336
ZDB-EXP-160826-2,ZDB-EXPCOND-160826-2,ZECO:0000111,CHEBI:41879 
ZDB-EXP-160826-3,ZDB-EXPCOND-160826-3,ZECO:0000237,CHEBI:32497 
ZDB-EXP-160830-2,ZDB-EXPCOND-160830-3,ZECO:0000111,CHEBI:47344
ZDB-EXP-160830-4,ZDB-EXPCOND-160830-5,ZECO:0000238,CHEBI:17026
ZDB-EXP-160830-5,ZDB-EXPCOND-160830-6,ZECO:0000238,CHEBI:50692 
