expId,expcondId,zecoId,chebiId
ZDB-EXP-160712-2,ZDB-EXPCOND-160712-2,ZECO:0000111,CHEBI:15765 
ZDB-EXP-160712-2,,ZECO:0000111,CHEBI:50217 
ZDB-EXP-160720-3,ZDB-EXPCOND-160720-3,ZECO:0000111,CHEBI:22584 
ZDB-EXP-160720-3,,ZECO:0000111,CHEBI:132774
ZDB-EXP-160825-5,ZDB-EXPCOND-160825-6,ZECO:0000111,CHEBI:64294
ZDB-EXP-160825-5,,ZECO:0000111,CHEBI:133151
ZDB-EXP-160802-7,ZDB-EXPCOND-160802-9,ZECO:0000111,CHEBI:17549
ZDB-EXP-160802-7,,ZECO:0000111,CHEBI:31460
ZDB-EXP-160826-4,ZDB-EXPCOND-160826-4,ZECO:0000237,CHEBI:32497
ZDB-EXP-160826-4,,ZECO:0000237,CHEBI:68233
ZDB-EXP-160705-4,ZDB-EXPCOND-160705-4,ZECO:0000111,CHEBI:34910
ZDB-EXP-160705-4,,ZECO:0000111,CHEBI:49662
ZDB-EXP-160725-3,ZDB-EXPCOND-160725-3,ZECO:0000238,CHEBI:34910
ZDB-EXP-160725-3,,ZECO:0000238,CHEBI:39462
ZDB-EXP-160802-9,ZDB-EXPCOND-160802-11,ZECO:0000111,CHEBI:17549
ZDB-EXP-160802-9,,ZECO:0000111,CHEBI:31460 
ZDB-EXP-160802-9,,ZECO:0000111,CHEBI:87897
,,,
