id,country
ZDB-LAB-060202-1,AE
ZDB-LAB-100930-1,AR
ZDB-LAB-010328-1,AT
ZDB-LAB-091117-1,AT
ZDB-LAB-151112-3,AT
ZDB-LAB-981215-1,AT
ZDB-LAB-081119-1,AT
ZDB-LAB-140723-1,AT
ZDB-LAB-080721-1,AT
ZDB-LAB-080606-1,AU
ZDB-LAB-100729-1,AU
ZDB-LAB-120124-1,AU
ZDB-LAB-140319-1,AU
ZDB-LAB-150427-1,AU
ZDB-LAB-150714-1,AU
ZDB-LAB-011003-2,AU
ZDB-LAB-101214-2,AU
ZDB-LAB-120209-2,AU
ZDB-LAB-120309-1,AU
ZDB-LAB-150618-1,AU
ZDB-LAB-150630-1,AU
ZDB-LAB-160721-1,AU
ZDB-LAB-170302-3,AU
ZDB-LAB-970418-14,AU
ZDB-LAB-990210-2,AU
ZDB-LAB-990719-1,AU
ZDB-LAB-031030-1,AU
ZDB-LAB-070322-1,AU
ZDB-LAB-100302-2,AU
ZDB-LAB-100820-1,AU
ZDB-LAB-120209-3,AU
ZDB-LAB-130530-1,AU
ZDB-LAB-140313-1,AU
ZDB-LAB-970909-21,AU
ZDB-LAB-001207-1,BE
ZDB-LAB-121116-1,BE
ZDB-LAB-130212-1,BE
ZDB-LAB-970819-3,BE
ZDB-LAB-151106-1,BE
ZDB-LAB-010522-1,BE
ZDB-LAB-030310-2,BE
ZDB-LAB-150226-1,BE
ZDB-LAB-160204-2,BE
ZDB-LAB-170202-1,BE
ZDB-LAB-030807-1,BR
ZDB-LAB-140902-2,BR
ZDB-LAB-080324-1,BR
ZDB-LAB-001110-1,CA
ZDB-LAB-040113-2,CA
ZDB-LAB-040116-2,CA
ZDB-LAB-060914-1,CA
ZDB-LAB-080527-1,CA
ZDB-LAB-140722-2,CA
ZDB-LAB-160406-1,CA
ZDB-LAB-970505-16,CA
ZDB-LAB-970507-2,CA
ZDB-LAB-010308-2,CA
ZDB-LAB-010516-1,CA
ZDB-LAB-010814-1,CA
ZDB-LAB-070316-1,CA
ZDB-LAB-110418-1,CA
ZDB-LAB-120706-1,CA
ZDB-LAB-130823-2,CA
ZDB-LAB-131204-1,CA
ZDB-LAB-970409-1,CA
ZDB-LAB-970417-45,CA
ZDB-LAB-020808-1,CA
ZDB-LAB-040116-1,CA
ZDB-LAB-051026-1,CA
ZDB-LAB-060530-1,CA
ZDB-LAB-080130-1,CA
ZDB-LAB-110824-1,CA
ZDB-LAB-970410-15,CA
ZDB-LAB-970417-1,CA
ZDB-LAB-970505-46,CA
ZDB-LAB-970512-32,CA
ZDB-LAB-971021-2,CA
ZDB-LAB-020725-1,CH
ZDB-LAB-040212-2,CH
ZDB-LAB-160602-1,CH
ZDB-LAB-160902-1,CH
ZDB-LAB-000629-1,CH
ZDB-LAB-070723-1,CH
ZDB-LAB-120302-2,CH
ZDB-LAB-130529-1,CH
ZDB-LAB-131023-1,CH
ZDB-LAB-150225-2,CH
ZDB-LAB-970923-2,CH
ZDB-LAB-120515-2,CH
ZDB-LAB-140610-1,CH
ZDB-LAB-161208-2,CH
ZDB-LAB-970909-125,CH
ZDB-LAB-121210-1,CZ
ZDB-LAB-030320-1,CL
ZDB-LAB-110411-1,CL
ZDB-LAB-001120-1,CL
ZDB-LAB-140417-1,CL
ZDB-LAB-011010-5,CN
ZDB-LAB-040830-1,CN
ZDB-LAB-090114-1,CN
ZDB-LAB-110330-2,CN
ZDB-LAB-110721-1,CN
ZDB-LAB-120608-1,CN
ZDB-LAB-130513-1,CN
ZDB-LAB-131003-1,CN
ZDB-LAB-150205-1,CN
ZDB-LAB-150413-1,CN
ZDB-LAB-151014-1,CN
ZDB-LAB-151217-1,CN
ZDB-LAB-160805-1,CN
ZDB-LAB-170208-11,CN
ZDB-LAB-170208-14,CN
ZDB-LAB-170208-17,CN
ZDB-LAB-170209-1,CN
ZDB-LAB-170209-13,CN
ZDB-LAB-170209-6,CN
ZDB-LAB-170209-9,CN
ZDB-LAB-170210-3,CN
ZDB-LAB-170214-5,CN
ZDB-LAB-170216-10,CN
ZDB-LAB-170216-16,CN
ZDB-LAB-170216-4,CN
ZDB-LAB-170216-7,CN
ZDB-LAB-170217-3,CN
ZDB-LAB-170217-6,CN
ZDB-LAB-170220-4,CN
ZDB-LAB-170221-5,CN
ZDB-LAB-170302-2,CN
ZDB-LAB-170308-1,CN
ZDB-LAB-170308-4,CN
ZDB-LAB-011010-6,CN
ZDB-LAB-060807-1,CN
ZDB-LAB-110302-2,CN
ZDB-LAB-110609-1,CN
ZDB-LAB-110815-1,CN
ZDB-LAB-110907-1,CN
ZDB-LAB-110923-2,CN
ZDB-LAB-120411-1,CN
ZDB-LAB-130326-1,CN
ZDB-LAB-140305-1,CN
ZDB-LAB-140410-1,CN
ZDB-LAB-150417-1,CN
ZDB-LAB-151209-1,CN
ZDB-LAB-160616-1,CN
ZDB-LAB-170207-2,CN
ZDB-LAB-170208-15,CN
ZDB-LAB-170208-18,CN
ZDB-LAB-170208-20,CN
ZDB-LAB-170208-5,CN
ZDB-LAB-170208-8,CN
ZDB-LAB-170209-10,CN
ZDB-LAB-170209-14,CN
ZDB-LAB-170209-4,CN
ZDB-LAB-170209-7,CN
ZDB-LAB-170210-1,CN
ZDB-LAB-170214-10,CN
ZDB-LAB-170214-17,CN
ZDB-LAB-170214-6,CN
ZDB-LAB-170216-14,CN
ZDB-LAB-170216-2,CN
ZDB-LAB-170216-5,CN
ZDB-LAB-170216-9,CN
ZDB-LAB-170217-4,CN
ZDB-LAB-170220-1,CN
ZDB-LAB-170220-5,CN
ZDB-LAB-170221-6,CN
ZDB-LAB-170222-4,CN
ZDB-LAB-170309-1,CN
ZDB-LAB-001206-1,CN
ZDB-LAB-040318-2,CN
ZDB-LAB-050404-1,CN
ZDB-LAB-101011-1,CN
ZDB-LAB-111031-1,CN
ZDB-LAB-130226-1,CN
ZDB-LAB-130430-1,CN
ZDB-LAB-131028-1,CN
ZDB-LAB-131112-1,CN
ZDB-LAB-150625-1,CN
ZDB-LAB-160503-1,CN
ZDB-LAB-161004-2,CN
ZDB-LAB-170208-13,CN
ZDB-LAB-170208-16,CN
ZDB-LAB-170208-19,CN
ZDB-LAB-170208-3,CN
ZDB-LAB-170208-6,CN
ZDB-LAB-170208-9,CN
ZDB-LAB-170209-12,CN
ZDB-LAB-170209-2,CN
ZDB-LAB-170210-2,CN
ZDB-LAB-170210-5,CN
ZDB-LAB-170213-3,CN
ZDB-LAB-170214-15,CN
ZDB-LAB-170214-18,CN
ZDB-LAB-170214-20,CN
ZDB-LAB-170216-1,CN
ZDB-LAB-170216-12,CN
ZDB-LAB-170216-15,CN
ZDB-LAB-170216-3,CN
ZDB-LAB-170216-6,CN
ZDB-LAB-170217-5,CN
ZDB-LAB-170221-4,CN
ZDB-LAB-170222-2,CN
ZDB-LAB-170303-1,CN
ZDB-LAB-170308-3,CN
ZDB-LAB-050429-4,DE
ZDB-LAB-050503-1,DE
ZDB-LAB-060202-2,DE
ZDB-LAB-061115-1,DE
ZDB-LAB-070910-1,DE
ZDB-LAB-080707-1,DE
ZDB-LAB-081210-1,DE
ZDB-LAB-090422-1,DE
ZDB-LAB-091130-1,DE
ZDB-LAB-120601-2,DE
ZDB-LAB-120608-4,DE
ZDB-LAB-120810-1,DE
ZDB-LAB-130205-1,DE
ZDB-LAB-130408-1,DE
ZDB-LAB-130612-3,DE
ZDB-LAB-140417-2,DE
ZDB-LAB-140613-1,DE
ZDB-LAB-140902-1,DE
ZDB-LAB-970409-69,DE
ZDB-LAB-970417-60,DE
ZDB-LAB-970507-39,DE
ZDB-LAB-971209-4,DE
ZDB-LAB-990120-1,DE
ZDB-LAB-001113-1,DE
ZDB-LAB-001129-1,DE
ZDB-LAB-010601-1,DE
ZDB-LAB-030923-2,DE
ZDB-LAB-031017-1,DE
ZDB-LAB-040220-1,DE
ZDB-LAB-060314-2,DE
ZDB-LAB-061020-1,DE
ZDB-LAB-070412-1,DE
ZDB-LAB-070628-1,DE
ZDB-LAB-080129-1,DE
ZDB-LAB-081201-1,DE
ZDB-LAB-090423-1,DE
ZDB-LAB-091130-2,DE
ZDB-LAB-100630-2,DE
ZDB-LAB-100907-1,DE
ZDB-LAB-110523-1,DE
ZDB-LAB-150610-1,DE
ZDB-LAB-160112-1,DE
ZDB-LAB-160122-2,DE
ZDB-LAB-160414-1,DE
ZDB-LAB-161209-2,DE
ZDB-LAB-970411-16,DE
ZDB-LAB-970425-30,DE
ZDB-LAB-970507-55,DE
ZDB-LAB-970512-13,DE
ZDB-LAB-970909-2,DE
ZDB-LAB-970909-56,DE
ZDB-LAB-971020-5,DE
ZDB-LAB-990910-4,DE
ZDB-LAB-010209-1,DE
ZDB-LAB-010827-1,DE
ZDB-LAB-011221-1,DE
ZDB-LAB-050510-1,DE
ZDB-LAB-050818-1,DE
ZDB-LAB-091021-1,DE
ZDB-LAB-110204-1,DE
ZDB-LAB-120126-1,DE
ZDB-LAB-120215-1,DE
ZDB-LAB-120601-1,DE
ZDB-LAB-121109-1,DE
ZDB-LAB-130319-2,DE
ZDB-LAB-130607-1,DE
ZDB-LAB-140708-1,DE
ZDB-LAB-141110-2,DE
ZDB-LAB-150205-3,DE
ZDB-LAB-150420-1,DE
ZDB-LAB-161220-3,DE
ZDB-LAB-970411-4,DE
ZDB-LAB-970424-53,DE
ZDB-LAB-980304-8,DE
ZDB-LAB-980505-1,DE
ZDB-LAB-011015-1,DK
ZDB-LAB-111115-1,DK
ZDB-LAB-080721-2,ES
ZDB-LAB-120927-1,ES
ZDB-LAB-130114-1,ES
ZDB-LAB-140206-1,ES
ZDB-LAB-110119-1,ES
ZDB-LAB-110304-2,ES
ZDB-LAB-110912-2,ES
ZDB-LAB-110915-1,ES
ZDB-LAB-121205-1,ES
ZDB-LAB-141112-1,ES
ZDB-LAB-170217-1,ES
ZDB-LAB-990729-25,ES
ZDB-LAB-970819-15,FI
ZDB-LAB-010213-1,FR
ZDB-LAB-010828-1,FR
ZDB-LAB-021118-1,FR
ZDB-LAB-060905-1,FR
ZDB-LAB-061109-1,FR
ZDB-LAB-100607-1,FR
ZDB-LAB-110328-1,FR
ZDB-LAB-110503-1,FR
ZDB-LAB-110606-1,FR
ZDB-LAB-111117-1,FR
ZDB-LAB-120320-1,FR
ZDB-LAB-121127-1,FR
ZDB-LAB-130307-1,FR
ZDB-LAB-160205-1,FR
ZDB-LAB-161209-1,FR
ZDB-LAB-970417-11,FR
ZDB-LAB-040513-1,FR
ZDB-LAB-050309-1,FR
ZDB-LAB-100302-1,FR
ZDB-LAB-110328-2,FR
ZDB-LAB-120830-1,FR
ZDB-LAB-130612-1,FR
ZDB-LAB-130702-1,FR
ZDB-LAB-140613-2,FR
ZDB-LAB-140703-1,FR
ZDB-LAB-150303-2,FR
ZDB-LAB-970430-1,FR
ZDB-LAB-970909-103,FR
ZDB-LAB-120305-1,FR
ZDB-LAB-120711-1,FR
ZDB-LAB-120806-1,FR
ZDB-LAB-121001-1,FR
ZDB-LAB-130828-1,FR
ZDB-LAB-150610-2,FR
ZDB-LAB-160309-1,FR
ZDB-LAB-970418-21,FR
ZDB-LAB-970507-36,FR
ZDB-LAB-970730-46,FR
ZDB-LAB-970903-4,FR
ZDB-LAB-980220-5,FR
ZDB-LAB-990226-15,FR
ZDB-LAB-000218-19,GB
ZDB-LAB-000222-4,GB
ZDB-LAB-001206-2,GB
ZDB-LAB-020809-1,GB
ZDB-LAB-031030-2,GB
ZDB-LAB-050202-1,GB
ZDB-LAB-050412-2,GB
ZDB-LAB-060707-1,GB
ZDB-LAB-060818-2,GB
ZDB-LAB-070129-3,GB
ZDB-LAB-080214-1,GB
ZDB-LAB-080331-1,GB
ZDB-LAB-091104-1,GB
ZDB-LAB-100915-2,GB
ZDB-LAB-101004-1,GB
ZDB-LAB-101214-1,GB
ZDB-LAB-110607-1,GB
ZDB-LAB-120302-1,GB
ZDB-LAB-120426-1,GB
ZDB-LAB-131112-2,GB
ZDB-LAB-140402-1,GB
ZDB-LAB-141205-1,GB
ZDB-LAB-150625-2,GB
ZDB-LAB-170214-13,GB
ZDB-LAB-170214-21,GB
ZDB-LAB-170221-8,GB
ZDB-LAB-970409-112,GB
ZDB-LAB-970424-39,GB
ZDB-LAB-970905-1,GB
ZDB-LAB-990303-4,GB
ZDB-LAB-000218-3,GB
ZDB-LAB-001117-1,GB
ZDB-LAB-001206-3,GB
ZDB-LAB-010829-1,GB
ZDB-LAB-011022-1,GB
ZDB-LAB-021119-1,GB
ZDB-LAB-040708-1,GB
ZDB-LAB-050503-4,GB
ZDB-LAB-091118-1,GB
ZDB-LAB-101004-2,GB
ZDB-LAB-111103-1,GB
ZDB-LAB-120509-1,GB
ZDB-LAB-140127-1,GB
ZDB-LAB-140513-2,GB
ZDB-LAB-140717-1,GB
ZDB-LAB-160916-1,GB
ZDB-LAB-161007-2,GB
ZDB-LAB-170316-2,GB
ZDB-LAB-970409-78,GB
ZDB-LAB-970505-6,GB
ZDB-LAB-970807-3,GB
ZDB-LAB-981015-6,GB
ZDB-LAB-000201-1,GB
ZDB-LAB-000222-1,GB
ZDB-LAB-001206-5,GB
ZDB-LAB-010302-1,GB
ZDB-LAB-040810-4,GB
ZDB-LAB-060808-1,GB
ZDB-LAB-060818-1,GB
ZDB-LAB-070129-2,GB
ZDB-LAB-070619-1,GB
ZDB-LAB-070711-1,GB
ZDB-LAB-080916-1,GB
ZDB-LAB-081203-1,GB
ZDB-LAB-110602-1,GB
ZDB-LAB-120606-1,GB
ZDB-LAB-120608-3,GB
ZDB-LAB-120820-1,GB
ZDB-LAB-130115-1,GB
ZDB-LAB-140508-1,GB
ZDB-LAB-140626-1,GB
ZDB-LAB-151216-1,GB
ZDB-LAB-161010-1,GB
ZDB-LAB-170214-7,GB
ZDB-LAB-170314-1,GB
ZDB-LAB-170322-1,GB
ZDB-LAB-970417-5,GB
ZDB-LAB-980205-3,GB
ZDB-LAB-050502-1,GR
ZDB-LAB-130530-2,HK
ZDB-LAB-970409-16,HK
ZDB-LAB-970424-45,HK
ZDB-LAB-130102-1,HU
ZDB-LAB-970905-6,HU
ZDB-LAB-970415-22,HU
ZDB-LAB-170214-8,IE
ZDB-LAB-980203-1,IE
ZDB-LAB-040722-1,IE
ZDB-LAB-050228-2,IL
ZDB-LAB-100222-1,IL
ZDB-LAB-141117-1,IL
ZDB-LAB-111129-1,IL
ZDB-LAB-031215-1,IL
ZDB-LAB-970909-82,IL
ZDB-LAB-100625-1,IN
ZDB-LAB-131121-3,IN
ZDB-LAB-140205-2,IN
ZDB-LAB-151008-2,IN
ZDB-LAB-170328-1,IN
ZDB-LAB-120608-2,IN
ZDB-LAB-111121-1,IN
ZDB-LAB-140205-1,IN
ZDB-LAB-150811-1,IR
ZDB-LAB-050531-2,IT
ZDB-LAB-071126-1,IT
ZDB-LAB-110124-1,IT
ZDB-LAB-131024-2,IT
ZDB-LAB-980731-7,IT
ZDB-LAB-990226-9,IT
ZDB-LAB-050428-2,IT
ZDB-LAB-080627-1,IT
ZDB-LAB-090326-1,IT
ZDB-LAB-970908-56,IT
ZDB-LAB-980227-2,IT
ZDB-LAB-080228-1,IT
ZDB-LAB-081121-1,IT
ZDB-LAB-150911-1,IT
ZDB-LAB-001121-1,JP
ZDB-LAB-030714-2,JP
ZDB-LAB-041019-1,JP
ZDB-LAB-050728-1,JP
ZDB-LAB-060313-2,JP
ZDB-LAB-060629-1,JP
ZDB-LAB-070419-3,JP
ZDB-LAB-070718-1,JP
ZDB-LAB-120305-2,JP
ZDB-LAB-131029-1,JP
ZDB-LAB-160802-1,JP
ZDB-LAB-970411-9,JP
ZDB-LAB-970617-1,JP
ZDB-LAB-030930-1,JP
ZDB-LAB-031211-1,JP
ZDB-LAB-050803-1,JP
ZDB-LAB-051230-1,JP
ZDB-LAB-060711-1,JP
ZDB-LAB-060907-1,JP
ZDB-LAB-060921-1,JP
ZDB-LAB-120209-5,JP
ZDB-LAB-120228-1,JP
ZDB-LAB-120801-1,JP
ZDB-LAB-121016-1,JP
ZDB-LAB-121114-2,JP
ZDB-LAB-130924-1,JP
ZDB-LAB-131119-1,JP
ZDB-LAB-150310-1,JP
ZDB-LAB-160210-1,JP
ZDB-LAB-160803-1,JP
ZDB-LAB-170117-1,JP
ZDB-LAB-170331-1,JP
ZDB-LAB-970424-70,JP
ZDB-LAB-980217-6,JP
ZDB-LAB-980622-1,JP
ZDB-LAB-010308-3,JP
ZDB-LAB-020408-3,JP
ZDB-LAB-061108-1,JP
ZDB-LAB-090113-1,JP
ZDB-LAB-090710-2,JP
ZDB-LAB-100512-1,JP
ZDB-LAB-121114-3,JP
ZDB-LAB-131216-1,JP
ZDB-LAB-140328-1,JP
ZDB-LAB-150313-1,JP
ZDB-LAB-160329-2,JP
ZDB-LAB-170118-1,JP
ZDB-LAB-170309-2,JP
ZDB-LAB-970409-25,JP
ZDB-LAB-970424-82,JP
ZDB-LAB-970428-1,JP
ZDB-LAB-980202-37,JP
ZDB-LAB-980302-2,JP
ZDB-LAB-130610-1,KR
ZDB-LAB-130905-1,KR
ZDB-LAB-070611-1,KR
ZDB-LAB-100915-3,KR
ZDB-LAB-101207-1,KR
ZDB-LAB-120124-6,KR
ZDB-LAB-020703-1,KR
ZDB-LAB-090410-1,KR
ZDB-LAB-151008-5,KR
ZDB-LAB-151112-1,KR
ZDB-LAB-080317-1,MX
ZDB-LAB-170213-1,MY
ZDB-LAB-151020-1,MY
ZDB-LAB-031201-2,NL
ZDB-LAB-070815-1,NL
ZDB-LAB-101014-1,NL
ZDB-LAB-140716-1,NL
ZDB-LAB-170207-1,NL
ZDB-LAB-170221-2,NL
ZDB-LAB-070104-2,NL
ZDB-LAB-070501-1,NL
ZDB-LAB-130220-1,NL
ZDB-LAB-141201-1,NL
ZDB-LAB-970424-102,NL
ZDB-LAB-010309-1,NL
ZDB-LAB-031010-1,NL
ZDB-LAB-040713-1,NL
ZDB-LAB-061110-1,NL
ZDB-LAB-101208-1,NL
ZDB-LAB-110408-2,NL
ZDB-LAB-140819-1,NL
ZDB-LAB-160804-1,NL
ZDB-LAB-970409-83,NO
ZDB-LAB-970418-35,NO
ZDB-LAB-090910-1,NO
ZDB-LAB-091111-1,NO
ZDB-LAB-120112-1,NO
ZDB-LAB-001116-1,NZ
ZDB-LAB-100825-1,NZ
ZDB-LAB-110215-1,NZ
ZDB-LAB-980602-3,NZ
ZDB-LAB-970415-4,NZ
ZDB-LAB-130103-3,PL
ZDB-LAB-121116-2,PL
ZDB-LAB-130103-1,PL
ZDB-LAB-141211-1,PL
ZDB-LAB-121116-3,PL
ZDB-LAB-121220-1,PL
ZDB-LAB-130103-2,PL
ZDB-LAB-120328-1,PR
ZDB-LAB-070103-1,PT
ZDB-LAB-070619-2,PT
ZDB-LAB-120124-5,PT
ZDB-LAB-120109-1,PT
ZDB-LAB-970730-73,RU
ZDB-LAB-030128-2,SE
ZDB-LAB-130807-1,SE
ZDB-LAB-040127-1,SE
ZDB-LAB-120613-1,SE
ZDB-LAB-150407-1,SE
ZDB-LAB-151015-1,SE
ZDB-LAB-970908-27,SE
ZDB-LAB-140722-1,SE
ZDB-LAB-160817-1,SE
ZDB-LAB-040720-1,SG
ZDB-LAB-151023-1,SG
ZDB-LAB-151028-2,SG
ZDB-LAB-160308-2,SG
ZDB-LAB-970411-12,SG
ZDB-LAB-991015-4,SG
ZDB-LAB-020529-1,SG
ZDB-LAB-061109-2,SG
ZDB-LAB-110408-1,SG
ZDB-LAB-970507-24,SG
ZDB-LAB-100518-1,SG
ZDB-LAB-110330-1,SG
ZDB-LAB-130711-1,SG
ZDB-LAB-970507-9,SG
ZDB-LAB-970930-4,SG
ZDB-LAB-980210-3,SG
ZDB-LAB-981209-2,SG
ZDB-LAB-140905-1,TH
ZDB-LAB-140513-1,TR
ZDB-LAB-070802-1,TR
ZDB-LAB-000913-1,TW
ZDB-LAB-050808-1,TW
ZDB-LAB-060601-1,TW
ZDB-LAB-110209-1,TW
ZDB-LAB-131203-3,TW
ZDB-LAB-140226-1,TW
ZDB-LAB-140929-2,TW
ZDB-LAB-020109-1,TW
ZDB-LAB-080716-1,TW
ZDB-LAB-090205-1,TW
ZDB-LAB-091105-1,TW
ZDB-LAB-101129-1,TW
ZDB-LAB-161208-1,TW
ZDB-LAB-170309-4,TW
ZDB-LAB-980527-1,TW
ZDB-LAB-031201-1,TW
ZDB-LAB-060313-1,TW
ZDB-LAB-100401-1,TW
ZDB-LAB-100915-1,TW
ZDB-LAB-150122-1,TW
ZDB-LAB-970417-28,TW
ZDB-LAB-000204-2,US
ZDB-LAB-000327-1,US
ZDB-LAB-000330-3,US
ZDB-LAB-000412-2,US
ZDB-LAB-000623-1,US
ZDB-LAB-001018-1,US
ZDB-LAB-010308-1,US
ZDB-LAB-010308-4,US
ZDB-LAB-010515-1,US
ZDB-LAB-010524-1,US
ZDB-LAB-010711-2,US
ZDB-LAB-010907-2,US
ZDB-LAB-011010-2,US
