feature_abb,line_num,other_feature_id,construct_id,pub_id
y467Et,467,ZDB-ALT-070314-1,ZDB-TGCONSTRCT-121114-2,
y441Et,441,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-151013-1,
y426Et,426,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-151013-1,
y387Et,387,ZDB-ALT-070314-1,ZDB-TGCONSTRCT-121114-2,
y575Et,575,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-151013-1,
y468Et,468,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-151013-1,
y532Et,532,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-151013-1,
y274Et,274,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-121114-1,
y375Et,375,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-121114-1,ZDB-PUB-151205-4
y564Et,564,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-121114-1,
y352Et,352,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-121114-1,ZDB-PUB-151205-4
y388Et,388,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-121114-1,
y265Et,265,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-121114-1,
y271Et,271,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-121114-1,ZDB-PUB-150130-7
y353Et,353,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-151013-2,ZDB-PUB-151205-4
y533Et,533,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-121114-1,
y364Et,364,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-121114-1,ZDB-PUB-151205-4
y365Et,365,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-151013-1,ZDB-PUB-151205-4
y576Et,576,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-151013-2,
y511Et,511,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-151013-2,
y393Et,393,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-151013-1,
y433Et,433,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-151013-2,
y394Et,394,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-151013-2,
y469Et,469,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-151013-2,
y306Et,306,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-130214-2,ZDB-PUB-151205-4
y242Et,242,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-130214-2,ZDB-PUB-130110-30
y308Et,308,ZDB-ALT-070314-1,ZDB-TGCONSTRCT-121114-2,ZDB-PUB-151205-4
y470Et,470,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-130214-2,
y444Et,444,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-121114-1,
