allele,geneid
sa45061,ZDB-GENE-070424-102
sa45062,ZDB-GENE-050517-9
sa45063,ZDB-GENE-050517-36
sa45064,ZDB-GENE-040426-1081
sa45065,ZDB-GENE-090313-317
sa45066,ZDB-GENE-000607-1
sa45067,ZDB-GENE-030131-740
sa45068,ZDB-GENE-100414-2
sa45069,ZDB-GENE-080225-11
sa45070,ZDB-GENE-070713-1
sa45071,ZDB-GENE-090313-282
sa45072,ZDB-GENE-101230-1
sa45073,ZDB-GENE-030131-9530
sa45075,ZDB-GENE-040426-1619
sa45076,ZDB-GENE-090312-22
sa45077,ZDB-GENE-090312-103
sa45078,ZDB-GENE-090312-103
sa45079,ZDB-GENE-990415-131
sa45080,ZDB-GENE-050417-343
sa45081,ZDB-GENE-090501-2
sa45082,ZDB-GENE-090313-366
sa45083,ZDB-GENE-020123-1
sa45084,ZDB-GENE-011128-2
sa45085,ZDB-GENE-020122-3
sa45086,ZDB-GENE-090313-154
sa45088,ZDB-GENE-081031-25
sa45089,ZDB-GENE-070705-25
sa45090,ZDB-GENE-040426-2068
sa45091,ZDB-GENE-050522-420
sa45092,ZDB-GENE-050306-24
sa45093,ZDB-GENE-070912-251
sa45094,ZDB-GENE-040426-1203
sa45095,ZDB-GENE-030131-6279
sa45096,ZDB-GENE-030131-6279
sa45097,ZDB-GENE-070912-266
sa45098,ZDB-GENE-070112-2312
sa45099,ZDB-GENE-070912-696
sa45100,ZDB-GENE-050221-2
sa45101,ZDB-GENE-050221-2
sa45102,ZDB-GENE-041114-202
sa45103,ZDB-GENE-040426-1288
sa45104,ZDB-GENE-040718-369
sa45105,ZDB-GENE-070705-13
sa45106,ZDB-GENE-060312-16
sa45107,ZDB-GENE-050327-18
sa45108,ZDB-GENE-070912-171
sa45110,ZDB-GENE-030131-4813
sa45111,ZDB-GENE-030131-938
sa45112,ZDB-GENE-031118-203
sa45113,ZDB-GENE-030829-32
sa45114,ZDB-GENE-070911-2
sa45115,ZDB-GENE-040614-1
sa45116,ZDB-GENE-030925-47
sa45117,ZDB-GENE-030925-47
sa45119,ZDB-GENE-030131-1216
sa45121,ZDB-GENE-030131-4524
sa45122,ZDB-GENE-070209-292
sa45125,ZDB-GENE-030131-9306
sa45126,ZDB-GENE-070720-13
sa45128,ZDB-GENE-131126-18
sa45129,ZDB-GENE-040801-7
sa45130,ZDB-GENE-060503-861
sa45131,ZDB-GENE-060503-768
sa45132,ZDB-GENE-040426-1636
sa45134,ZDB-GENE-080721-19
sa45135,ZDB-GENE-040625-59
sa45136,ZDB-GENE-041114-9
sa45137,ZDB-GENE-070822-4
sa45138,ZDB-GENE-060623-36
sa45139,ZDB-GENE-060810-64
sa45140,ZDB-GENE-061103-196
sa45141,ZDB-GENE-120215-154
sa45143,ZDB-GENE-071115-3
sa45144,ZDB-GENE-041111-240
sa45145,ZDB-GENE-050517-15
sa45146,ZDB-GENE-040122-4
sa45147,ZDB-GENE-121019-1
sa45149,ZDB-GENE-071212-4
sa45150,ZDB-GENE-000329-3
sa45151,ZDB-GENE-060929-96
sa45152,ZDB-GENE-100219-1
sa45153,ZDB-GENE-100219-1
sa45154,ZDB-GENE-131121-48
sa45155,ZDB-GENE-130530-863
sa45156,ZDB-GENE-131127-267
