allele,geneid
sa45074,ZDB-GENE-090311-54
sa45747,ZDB-GENE-091116-94
sa45403,ZDB-GENE-050202-4
sa45431,ZDB-GENE-050522-7
sa45605,ZDB-GENE-131120-86
sa45653,ZDB-GENE-040801-181
sa45675,ZDB-GENE-060503-90
sa45683,ZDB-GENE-990415-52
sa45767,ZDB-GENE-071213-2
sa45785,ZDB-GENE-080305-14
sa45837,ZDB-GENE-040426-1023
sa45342,ZDB-GENE-070810-3
sa45392,ZDB-GENE-090313-385
sa45421,ZDB-GENE-131127-167
sa45477,ZDB-GENE-050320-1
sa45509,ZDB-GENE-030131-9210
sa45554,ZDB-GENE-140605-1
sa45624,ZDB-GENE-111020-15
sa45632,ZDB-GENE-121221-1
sa45784,ZDB-GENE-080612-3
sa45814,ZDB-GENE-111208-1
sa45815,ZDB-GENE-170531-1
sa45868,ZDB-GENE-170112-2
sa45869,ZDB-GENE-140109-1
