construct1,construct2,region,relationship
ZDB-ETCONSTRCT-070716-1,ZDB-ETCONSTRCT-070716-1,ZDB-EREGION-181119-1,promoter of
ZDB-ETCONSTRCT-120217-3,ZDB-ETCONSTRCT-120217-3,ZDB-EREGION-181119-1,promoter of
ZDB-ETCONSTRCT-130611-3,ZDB-ETCONSTRCT-130611-3,ZDB-EREGION-181119-1,promoter of
ZDB-ETCONSTRCT-130724-1,ZDB-ETCONSTRCT-130724-1,ZDB-EREGION-181119-1,promoter of
ZDB-ETCONSTRCT-130724-2,ZDB-ETCONSTRCT-130724-2,ZDB-EREGION-181119-1,promoter of
ZDB-ETCONSTRCT-130724-3,ZDB-ETCONSTRCT-130724-3,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-070117-24,ZDB-TGCONSTRCT-070117-24,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-070314-1,ZDB-TGCONSTRCT-070314-1,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-070314-2,ZDB-TGCONSTRCT-070314-2,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-110316-1,ZDB-TGCONSTRCT-110316-1,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-110413-10,ZDB-TGCONSTRCT-110413-10,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-110413-11,ZDB-TGCONSTRCT-110413-11,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-110413-5,ZDB-TGCONSTRCT-110413-5,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-110413-6,ZDB-TGCONSTRCT-110413-6,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-110413-7,ZDB-TGCONSTRCT-110413-7,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-110413-8,ZDB-TGCONSTRCT-110413-8,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-110413-9,ZDB-TGCONSTRCT-110413-9,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-110502-2,ZDB-TGCONSTRCT-110502-2,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-110609-2,ZDB-TGCONSTRCT-110609-2,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-110609-3,ZDB-TGCONSTRCT-110609-3,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-111028-1,ZDB-TGCONSTRCT-111028-1,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-120221-6,ZDB-TGCONSTRCT-120221-6,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-120515-2,ZDB-TGCONSTRCT-120515-2,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-120618-1,ZDB-TGCONSTRCT-120618-1,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-120711-3,ZDB-TGCONSTRCT-120711-3,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-120821-1,ZDB-TGCONSTRCT-120821-1,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-130110-2,ZDB-TGCONSTRCT-130110-2,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-130306-1,ZDB-TGCONSTRCT-130306-1,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-130611-1,ZDB-TGCONSTRCT-130611-1,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-130611-2,ZDB-TGCONSTRCT-130611-2,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-130611-3,ZDB-TGCONSTRCT-130611-3,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-130611-4,ZDB-TGCONSTRCT-130611-4,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-140417-3,ZDB-TGCONSTRCT-140417-3,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-140417-4,ZDB-TGCONSTRCT-140417-4,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-140521-2,ZDB-TGCONSTRCT-140521-2,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-140910-1,ZDB-TGCONSTRCT-140910-1,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-141013-1,ZDB-TGCONSTRCT-141013-1,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-141013-2,ZDB-TGCONSTRCT-141013-2,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-141013-3,ZDB-TGCONSTRCT-141013-3,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-141013-4,ZDB-TGCONSTRCT-141013-4,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-141113-2,ZDB-TGCONSTRCT-141113-2,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-141113-3,ZDB-TGCONSTRCT-141113-3,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-141113-4,ZDB-TGCONSTRCT-141113-4,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-150721-7,ZDB-TGCONSTRCT-150721-7,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-150721-8,ZDB-TGCONSTRCT-150721-8,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-150721-9,ZDB-TGCONSTRCT-150721-9,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-151021-1,ZDB-TGCONSTRCT-151021-1,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-151021-2,ZDB-TGCONSTRCT-151021-2,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-151021-3,ZDB-TGCONSTRCT-151021-3,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-151028-10,ZDB-TGCONSTRCT-151028-10,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-151117-1,ZDB-TGCONSTRCT-151117-1,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-151117-2,ZDB-TGCONSTRCT-151117-2,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-151117-3,ZDB-TGCONSTRCT-151117-3,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-151204-1,ZDB-TGCONSTRCT-151204-1,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-151204-3,ZDB-TGCONSTRCT-151204-3,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-151204-4,ZDB-TGCONSTRCT-151204-4,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-151204-5,ZDB-TGCONSTRCT-151204-5,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-151204-6,ZDB-TGCONSTRCT-151204-6,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-151204-9,ZDB-TGCONSTRCT-151204-9,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-160325-1,ZDB-TGCONSTRCT-160325-1,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-160607-1,ZDB-TGCONSTRCT-160607-1,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-160607-2,ZDB-TGCONSTRCT-160607-2,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-161220-4,ZDB-TGCONSTRCT-161220-4,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-161220-6,ZDB-TGCONSTRCT-161220-6,ZDB-EREGION-181119-1,promoter of
