construct1,construct2,region,relationship
ZDB-TGCONSTRCT-130611-1,ZDB-TGCONSTRCT-130611-1,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-130611-3,ZDB-TGCONSTRCT-130611-3,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-131010-2,ZDB-TGCONSTRCT-131010-2,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-140521-2,ZDB-TGCONSTRCT-140521-2,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-140910-1,ZDB-TGCONSTRCT-140910-1,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-141013-1,ZDB-TGCONSTRCT-141013-1,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-141013-2,ZDB-TGCONSTRCT-141013-2,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-141013-3,ZDB-TGCONSTRCT-141013-3,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-141013-4,ZDB-TGCONSTRCT-141013-4,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-141113-2,ZDB-TGCONSTRCT-141113-2,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-141113-3,ZDB-TGCONSTRCT-141113-3,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-141113-4,ZDB-TGCONSTRCT-141113-4,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-151021-1,ZDB-TGCONSTRCT-151021-1,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-151021-2,ZDB-TGCONSTRCT-151021-2,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-151021-3,ZDB-TGCONSTRCT-151021-3,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-151028-10,ZDB-TGCONSTRCT-151028-10,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-151117-1,ZDB-TGCONSTRCT-151117-1,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-151117-2,ZDB-TGCONSTRCT-151117-2,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-151117-3,ZDB-TGCONSTRCT-151117-3,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-151204-4,ZDB-TGCONSTRCT-151204-4,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-151204-5,ZDB-TGCONSTRCT-151204-5,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-151204-6,ZDB-TGCONSTRCT-151204-6,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-151204-9,ZDB-TGCONSTRCT-151204-9,ZDB-EREGION-181119-1,promoter of
ZDB-TGCONSTRCT-180119-6,ZDB-TGCONSTRCT-180119-6,ZDB-EREGION-181119-1,promoter of
