alleleid,ensdarg1,ensdarg2
sa31777,ENSDARG00000091492,
sa39950,ENSDARG00000086155,
sa40186,ENSDARG00000087086,
sa38105,ENSDARG00000041023,
sa8717,ENSDARG00000088874,ENSDARG00000105889
sa38417,ENSDARG00000067495,ENSDARG00000067495
sa9029,ENSDARG00000090923,
sa35417,ENSDARG00000091398,ENSDARG00000091398
sa34795,ENSDARG00000089252,
sa43833,ENSDARG00000079876,ENSDARG00000079876
sa34407,ENSDARG00000086708,ENSDARG00000086708
sa41318,ENSDARG00000088860,
sa37953,ENSDARG00000073763,ENSDARG00000073763
sa36268,ENSDARG00000069929,ENSDARG00000069929
sa30812,ENSDARG00000091745,ENSDARG00000011884
sa23934,ENSDARG00000069800,ENSDARG00000069800
sa41066,ENSDARG00000038872,ENSDARG00000101373
sa24072,ENSDARG00000087913,ENSDARG00000058659
sa42736,ENSDARG00000086290,
sa39427,ENSDARG00000090837,ENSDARG00000090837
sa24741,ENSDARG00000088107,
sa30842,ENSDARG00000036852,ENSDARG00000036852
sa39465,ENSDARG00000090549,ENSDARG00000106005
sa36548,ENSDARG00000089365,
sa35734,ENSDARG00000090030,
sa38225,ENSDARG00000089306,ENSDARG00000104672
sa36329,ENSDARG00000079182,ENSDARG00000079182
sa28347,ENSDARG00000090030,ENSDARG00000101049
sa20318,ENSDARG00000091810,ENSDARG00000100849
sa44399,ENSDARG00000043852,ENSDARG00000098418
sa8514,ENSDARG00000093715,
sa35590,ENSDARG00000071165,
sa37190,ENSDARG00000068594,
sa42496,ENSDARG00000087018,ENSDARG00000087018
sa38167,ENSDARG00000089493,
sa43250,ENSDARG00000088572,
sa39516,ENSDARG00000091375,
sa31519,ENSDARG00000073768,ENSDARG00000073768
sa44112,ENSDARG00000069620,ENSDARG00000100399
sa42723,ENSDARG00000090267,ENSDARG00000090267
sa39013,ENSDARG00000068586,ENSDARG00000068586
sa41616,ENSDARG00000079729,ENSDARG00000103641
sa41094,ENSDARG00000075823,ENSDARG00000075823
sa39988,ENSDARG00000089947,
sa43905,ENSDARG00000090569,
sa39754,ENSDARG00000011884,ENSDARG00000011884
sa8984,ENSDARG00000075668,ENSDARG00000098204
sa38305,ENSDARG00000076938,
sa24818,ENSDARG00000043851,
sa19780,ENSDARG00000089229,
sa38180,ENSDARG00000088730,
sa40588,ENSDARG00000077425,ENSDARG00000077425
sa38364,ENSDARG00000038590,
sa31623,ENSDARG00000051804,ENSDARG00000051804
sa40673,ENSDARG00000090342,ENSDARG00000090342
sa34249,ENSDARG00000078718,ENSDARG00000098989
sa41750,ENSDARG00000090394,ENSDARG00000090394
sa23840,ENSDARG00000087622,ENSDARG00000098253
sa20367,ENSDARG00000068742,ENSDARG00000068742
sa24064,ENSDARG00000059047,ENSDARG00000104842
sa35752,ENSDARG00000074990,
sa38783,ENSDARG00000058284,ENSDARG00000102794
sa32776,ENSDARG00000093712,ENSDARG00000093712
sa38228,ENSDARG00000090897,ENSDARG00000100473
sa21710,ENSDARG00000078394,ENSDARG00000078394
sa37924,ENSDARG00000067683,
sa43563,ENSDARG00000087622,ENSDARG00000098253
sa38201,ENSDARG00000039716,
sa32551,ENSDARG00000090282,ENSDARG00000102707
sa25706,ENSDARG00000013525,
sa34880,ENSDARG00000078394,ENSDARG00000078394
sa34257,ENSDARG00000090648,
sa34536,ENSDARG00000078172,ENSDARG00000078172
sa41013,ENSDARG00000052059,ENSDARG00000052059
sa37938,ENSDARG00000086681,
sa18691,ENSDARG00000090659,ENSDARG00000106258
sa34406,ENSDARG00000086708,ENSDARG00000086708
sa34087,ENSDARG00000093132,
sa41775,ENSDARG00000079748,
sa39267,ENSDARG00000068613,
sa45182,,ENSDARG00000104551
sa44048,ENSDARG00000046021,ENSDARG00000046021
sa8797,ENSDARG00000088522,
sa34860,ENSDARG00000058284,
sa32559,ENSDARG00000088618,
sa30706,ENSDARG00000077668,
sa23841,ENSDARG00000057731,ENSDARG00000098909
sa19612,ENSDARG00000042887,ENSDARG00000042887
sa43738,ENSDARG00000059381,
sa43009,ENSDARG00000090987,ENSDARG00000105983
