allele,ensdargid,geneid
sa35620,ENSDARG00000079469,ZDB-GENE-140129-2
sa44574,ENSDARG00000088125,ZDB-GENE-140106-205
sa44696,ENSDARG00000063721,ZDB-GENE-130530-715
sa44800,ENSDARG00000086485,ZDB-GENE-130530-893
sa32618,ENSDARG00000054274,ZDB-GENE-020731-1
sa33063,ENSDARG00000067820,ZDB-GENE-051230-1
sa33525,ENSDARG00000079046,ZDB-GENE-030131-6174
sa35533,ENSDARG00000039266,ZDB-GENE-090312-142
sa35561,ENSDARG00000053484,ZDB-GENE-071218-5
sa37732,ENSDARG00000037060,ZDB-GENE-060223-2
sa44508,ENSDARG00000074275,ZDB-GENE-090312-153
sa44526,ENSDARG00000016771,ZDB-GENE-980526-35
sa44547,ENSDARG00000053155,ZDB-GENE-050522-334
sa44549,ENSDARG00000078489,ZDB-GENE-070912-280
sa44612,ENSDARG00000035682,ZDB-GENE-060526-130
sa44727,ENSDARG00000042492,ZDB-GENE-030131-8276
sa44771,ENSDARG00000071395,ZDB-GENE-050913-146
sa44791,ENSDARG00000054352,ZDB-GENE-080917-56
sa44837,ENSDARG00000005959,ZDB-GENE-050522-370
sa44894,ENSDARG00000092370,ZDB-GENE-070705-417
