zdbid,abregid
ZDB-ATB-081002-10,AB_ 10013760
ZDB-ATB-081002-11,AB_ 10013762
ZDB-ATB-081002-12,AB_ 10013761
ZDB-ATB-081002-13,AB_ 10013764
ZDB-ATB-081002-14,AB_ 10013765
ZDB-ATB-081002-15,AB_ 10013766
ZDB-ATB-081002-16,AB_ 10013767
ZDB-ATB-081002-17,AB_ 10013768
ZDB-ATB-081002-18,AB_ 10013769
ZDB-ATB-081002-19,AB_ 10013770
ZDB-ATB-081002-2,AB_ 10013771
ZDB-ATB-081002-20,AB_ 10013772
ZDB-ATB-081002-21,AB_ 10013773
ZDB-ATB-081002-22,AB_531904
ZDB-ATB-081002-22,AB_ 10013774
ZDB-ATB-081002-23,AB_ 10013780
ZDB-ATB-081002-24,AB_ 10013782
ZDB-ATB-081002-25,AB_ 10013783
ZDB-ATB-081002-26,AB_ 10013784
ZDB-ATB-081002-27,AB_ 10013785
ZDB-ATB-081002-28,AB_ 10013786
ZDB-ATB-081002-29,AB_ 10013788
ZDB-ATB-081002-3,AB_ 10013787
ZDB-ATB-081002-30,AB_ 10013789
ZDB-ATB-081002-31,AB_ 10013790
ZDB-ATB-081002-32,AB_ 10013791
ZDB-ATB-081002-33,AB_ 10013792
ZDB-ATB-081002-34,AB_ 10013793
ZDB-ATB-081002-35,AB_ 10013794
ZDB-ATB-081002-36,AB_ 10013795
ZDB-ATB-081002-37,AB_ 10013796
ZDB-ATB-081002-38,AB_ 10013797
ZDB-ATB-081002-39,AB_ 10013798
ZDB-ATB-081002-4,AB_ 10013799
ZDB-ATB-081002-40,AB_ 10013800
ZDB-ATB-081002-41, AB_ 10013801
ZDB-ATB-081002-42,AB_ 10013802
ZDB-ATB-081002-43,AB_ 10013803
ZDB-ATB-081002-44,AB_ 10013804
ZDB-ATB-081002-45,AB_ 10013805
ZDB-ATB-081002-46,AB_ 10013806
ZDB-ATB-081002-47,AB_ 10013807
ZDB-ATB-081002-48,AB_ 10013808
ZDB-ATB-081002-49,AB_ 10013809
ZDB-ATB-081002-5,AB_ 10013810
ZDB-ATB-081002-50,AB_10013811
ZDB-ATB-081002-51,AB_ 10013812
ZDB-ATB-081002-52,AB_ 10013813
ZDB-ATB-081002-53,AB_ 10013814
ZDB-ATB-081002-54,AB_528376
ZDB-ATB-081002-55,AB_221568
ZDB-ATB-081002-56,AB_221477
ZDB-ATB-081002-6,AB_ 10013815
ZDB-ATB-081002-7,AB_ 10013816
ZDB-ATB-081002-8,AB_ 10013817
ZDB-ATB-081002-9,AB_ 10013818
ZDB-ATB-081003-1,AB_528373
ZDB-ATB-081003-1,AB_670118
ZDB-ATB-081003-2,AB_221448
ZDB-ATB-081003-2,AB_1500232
ZDB-ATB-081003-2,AB_2096358
ZDB-ATB-081003-2,AB_2096358
ZDB-ATB-081003-3,AB_258851
ZDB-ATB-081003-4, 
ZDB-ATB-081003-5,AB_831189
ZDB-ATB-081003-5,AB_309828
ZDB-ATB-081003-6,AB_86406
ZDB-ATB-081003-6,AB_477585
ZDB-ATB-081006-1,AB_2147781
ZDB-ATB-081006-2,AB_528428
ZDB-ATB-081006-3,
ZDB-ATB-081006-4,
ZDB-ATB-081006-5,AB_631994
ZDB-ATB-081006-6, 
ZDB-ATB-081006-7,AB_291612
ZDB-ATB-081006-8,AB_1157913
ZDB-ATB-081006-9,AB_ 10013624
ZDB-ATB-081007-1,
ZDB-ATB-081007-2,AB_10000321
ZDB-ATB-081007-3,
ZDB-ATB-081007-4,AB_518147
ZDB-ATB-081007-5,AB_477582
ZDB-ATB-081008-1,AB_397463
ZDB-ATB-081008-10,
ZDB-ATB-081008-2,AB_476766
ZDB-ATB-081008-3,AB_528320
ZDB-ATB-081008-4,AB_531863
ZDB-ATB-081008-5,AB_528377
ZDB-ATB-081008-6,AB_528165
ZDB-ATB-081008-7,AB_476865
ZDB-ATB-081008-7,AB_305406
ZDB-ATB-081008-8,AB_ 10013660
ZDB-ATB-081008-9,AB_ 10013664
ZDB-ATB-081009-1,AB_10013580
ZDB-ATB-081009-2,AB_221569
ZDB-ATB-081009-3,
ZDB-ATB-081009-5,AB_397879
ZDB-ATB-081009-5,AB_2110656
ZDB-ATB-081010-1,AB_259347
ZDB-ATB-081013-1,AB_10013601
ZDB-ATB-081013-2,AB_476879
ZDB-ATB-081014-1,AB_310485
ZDB-ATB-081015-1,AB_331671
ZDB-ATB-081015-2,AB_528356
ZDB-ATB-081016-1,AB_94650
ZDB-ATB-081017-1,AB_528224
ZDB-ATB-081017-2,AB_628143
ZDB-ATB-081017-3,AB_2079751
ZDB-ATB-081017-4, 
ZDB-ATB-081017-5,AB_630936
ZDB-ATB-081017-6,AB_519166
ZDB-ATB-081017-7,AB_477522
ZDB-ATB-081017-8,AB_572268
ZDB-ATB-081017-9,AB_ 10013819
ZDB-ATB-081019-1, 
ZDB-ATB-081019-2, 
ZDB-ATB-081021-1,AB_477245
ZDB-ATB-081021-2, 
ZDB-ATB-081021-3, 
ZDB-ATB-081021-4, 
ZDB-ATB-081021-5, 
ZDB-ATB-081021-6, 
ZDB-ATB-081021-7, 
ZDB-ATB-081021-8, 
ZDB-ATB-081022-1,AB_2140110
ZDB-ATB-081024-1, 
ZDB-ATB-081028-1,
ZDB-ATB-081028-2,AB_627695
ZDB-ATB-081028-3,AB_2295074
ZDB-ATB-081028-4,AB_2115283
ZDB-ATB-081028-5,AB_785522
ZDB-ATB-081028-5,AB_ 10013665
ZDB-ATB-081028-6,AB_2258865
ZDB-ATB-081029-1, 
ZDB-ATB-081029-2,AB_477593
ZDB-ATB-081029-3,AB_291298
ZDB-ATB-081029-3,AB_291294
ZDB-ATB-081029-4,AB_2213085
ZDB-ATB-081029-6,AB_570599
ZDB-ATB-081030-1,AB_398142
ZDB-ATB-081105-1,AB_1665435
ZDB-ATB-081105-1,AB_ 10013680
ZDB-ATB-081105-2,AB_94936
ZDB-ATB-081105-3, 
ZDB-ATB-081105-4,AB_667741
ZDB-ATB-081105-5,AB_87181
ZDB-ATB-081106-1,AB_627545
ZDB-ATB-081106-2,AB_477652
ZDB-ATB-081106-3,AB_2174013
ZDB-ATB-081106-3,AB_881922
ZDB-ATB-081106-3,AB_477329
ZDB-ATB-081107-1,AB_397274
ZDB-ATB-081107-2,AB_653256
ZDB-ATB-081112-1,AB_10013383
ZDB-ATB-081113-1,AB_2300359
ZDB-ATB-081113-2,AB_305635
ZDB-ATB-081113-3, 
ZDB-ATB-081118-1,AB_309674
ZDB-ATB-081118-2,AB_442043
ZDB-ATB-081119-1,
ZDB-ATB-081120-1,AB_2288840
ZDB-ATB-081120-2,AB_2219400
ZDB-ATB-081120-3,AB_330329
ZDB-ATB-081120-5,AB_330331
ZDB-ATB-081120-6,AB_2269803
ZDB-ATB-081120-7,AB_331676
ZDB-ATB-081121-1, 
ZDB-ATB-081121-2,AB_528315
ZDB-ATB-081121-3,AB_2145209
ZDB-ATB-081121-4,AB_628110
ZDB-ATB-081121-4,AB_303394
ZDB-ATB-081121-4,AB_2160651
ZDB-ATB-081124-1,AB_94851
ZDB-ATB-081124-2,AB_177485
ZDB-ATB-081124-3,AB_528173
ZDB-ATB-081124-4,AB_259852
ZDB-ATB-081125-1, 
ZDB-ATB-081125-2,AB_138792
ZDB-ATB-081125-3,AB_397648
ZDB-ATB-081125-4, 
ZDB-ATB-081125-5, 
ZDB-ATB-081201-1,AB_528480
ZDB-ATB-081202-1,AB_572263
ZDB-ATB-081202-2,AB_409027
ZDB-ATB-081205-1,AB_60612
ZDB-ATB-081208-1,AB_329825
ZDB-ATB-081208-2,AB_329827
ZDB-ATB-081208-3,AB_329855
ZDB-ATB-081209-1,AB_2085584
ZDB-ATB-081209-2,AB_258380
ZDB-ATB-081209-3,AB_477216
ZDB-ATB-081209-4,
ZDB-ATB-081209-5,AB_632569
ZDB-ATB-081209-6,AB_397600
ZDB-ATB-081209-7,AB_331405
ZDB-ATB-081210-1,AB_310177
ZDB-ATB-081210-2,AB_1504875
ZDB-ATB-081211-1,AB_ 10013644
ZDB-ATB-081211-2, 
ZDB-ATB-081211-3, 
ZDB-ATB-081211-4, 
ZDB-ATB-081211-5,AB_ 10013681
ZDB-ATB-081211-6,AB_476746
ZDB-ATB-081212-1,
ZDB-ATB-081216-1, 
ZDB-ATB-081216-2, 
ZDB-ATB-081216-3, 
ZDB-ATB-081216-4, 
ZDB-ATB-081217-1,AB_461064
ZDB-ATB-081224-1,AB_1209226
ZDB-ATB-081224-2,AB_1269042
ZDB-ATB-081226-1, 
ZDB-ATB-081226-2, 
ZDB-ATB-081229-1,AB_162720
ZDB-ATB-081229-10,AB_1209227
ZDB-ATB-081229-11,AB_1209229
ZDB-ATB-081229-12,AB_2118011
ZDB-ATB-081229-13, 
ZDB-ATB-081229-14, 
ZDB-ATB-081229-15, 
ZDB-ATB-081229-16,AB_2141952
ZDB-ATB-081229-17,AB_162726
ZDB-ATB-081229-3, 
ZDB-ATB-081229-4,AB_330023
ZDB-ATB-081229-5,AB_2080793
ZDB-ATB-081229-6,AB_331492
ZDB-ATB-081229-7,AB_1209228
ZDB-ATB-081229-8,AB_1269044
ZDB-ATB-081229-9,AB_1269851
ZDB-ATB-081230-2,AB_305426
ZDB-ATB-081230-2,AB_323427
ZDB-ATB-081230-2,AB_609568
ZDB-ATB-090106-1,AB_331640
ZDB-ATB-090106-2,AB_477584
ZDB-ATB-090108-1,AB_477034
ZDB-ATB-090108-2, 
ZDB-ATB-090108-3,
ZDB-ATB-090108-4,AB_531874
ZDB-ATB-090108-5,AB_476857
ZDB-ATB-090112-1, 
ZDB-ATB-090115-1, 
ZDB-ATB-090115-2,AB_2247573
ZDB-ATB-090120-1, 
ZDB-ATB-090120-2,AB_309832
ZDB-ATB-090121-1,AB_ 10013682
ZDB-ATB-090121-2,AB_528092
ZDB-ATB-090121-3,AB_2107005
ZDB-ATB-090122-1,
ZDB-ATB-090122-2, 
ZDB-ATB-090122-3, 
ZDB-ATB-090126-1,AB_397723
ZDB-ATB-090127-1,AB_628148
ZDB-ATB-090128-1,AB_2117025
ZDB-ATB-090128-2,AB_ 10013642
ZDB-ATB-090128-3, 
ZDB-ATB-090129-1, 
ZDB-ATB-090130-1,AB_2300502
ZDB-ATB-090130-2,AB_397554
ZDB-ATB-090130-3,AB_476811
ZDB-ATB-090203-1,AB_259241
ZDB-ATB-090203-1,AB_528205
ZDB-ATB-090203-2,AB_564136
ZDB-ATB-090204-1, 
ZDB-ATB-090204-2, 
ZDB-ATB-090205-1, 
ZDB-ATB-090205-2,AB_2168668
ZDB-ATB-090205-3,AB_2252825
ZDB-ATB-090205-4,AB_675807
ZDB-ATB-090205-5,AB_2237729
ZDB-ATB-090206-1,AB_2082577
ZDB-ATB-090206-2,AB_632234
ZDB-ATB-090209-1,AB_2201528
ZDB-ATB-090212-1,AB_60396
ZDB-ATB-090212-2,AB_1500097
ZDB-ATB-090212-3,AB_489364
ZDB-ATB-090212-4, 
ZDB-ATB-090213-1, 
ZDB-ATB-090213-2,AB_397471
ZDB-ATB-090216-1,AB_882584
ZDB-ATB-090216-2, 
ZDB-ATB-090218-1,
ZDB-ATB-090218-2,AB_887722
ZDB-ATB-090219-1,AB_10013427
ZDB-ATB-090219-2,AB_2278931
ZDB-ATB-090219-3,AB_2107925
ZDB-ATB-090219-4,AB_640741
ZDB-ATB-090219-5,AB_640758
ZDB-ATB-090219-6,AB_476910
ZDB-ATB-090220-1,AB_677353
ZDB-ATB-090220-1,AB_ 10013820
ZDB-ATB-090220-2,AB_10013421
ZDB-ATB-090223-1,AB_309698
ZDB-ATB-090223-2,
ZDB-ATB-090223-3,AB_477375
ZDB-ATB-090223-3,AB_628141
ZDB-ATB-090303-1, 
ZDB-ATB-090303-2, 
ZDB-ATB-090303-3,AB_531860
ZDB-ATB-090304-1,AB_476695
ZDB-ATB-090304-2,AB_400326
ZDB-ATB-090304-3,AB_477163
ZDB-ATB-090304-4,AB_476976
ZDB-ATB-090304-5,AB_259245
ZDB-ATB-090304-6,AB_477572
ZDB-ATB-090304-7,AB_477617
ZDB-ATB-090304-8, 
ZDB-ATB-090306-1,AB_628091
ZDB-ATB-090306-1,AB_525968
ZDB-ATB-090309-1,AB_10013600
ZDB-ATB-090316-1,AB_400326
ZDB-ATB-090320-1,AB_306085
ZDB-ATB-090320-2,AB_2058842
ZDB-ATB-090320-3,AB_777095
ZDB-ATB-090324-1,AB_291611
ZDB-ATB-090327-1, 
ZDB-ATB-090327-2, 
ZDB-ATB-090327-3,Catlog no. did not retrieve any record
ZDB-ATB-090331-1,
ZDB-ATB-090331-2,AB_10000240
ZDB-ATB-090401-1,AB_439690
ZDB-ATB-090407-1,
ZDB-ATB-090408-1,
ZDB-ATB-090408-2,AB_477552
ZDB-ATB-090408-3,
ZDB-ATB-090409-1, 
ZDB-ATB-090410-1,AB_390204
ZDB-ATB-090410-2, 
ZDB-ATB-090413-1,AB_2205770
ZDB-ATB-090413-1,AB_ 10013684
ZDB-ATB-090415-1,AB_720894
ZDB-ATB-090415-2,AB_59935
ZDB-ATB-090415-3,Catlog no. did not retrieve any record
ZDB-ATB-090416-1,AB_478237
ZDB-ATB-090416-2,AB_478242
ZDB-ATB-090416-3,AB_478256
ZDB-ATB-090417-1,AB_478268
ZDB-ATB-090417-2,AB_565262
ZDB-ATB-090417-2,AB_478284
ZDB-ATB-090422-1,AB_1233342
ZDB-ATB-090422-2,AB_869202
ZDB-ATB-090422-2,AB_ 10013700
ZDB-ATB-090422-3, 
ZDB-ATB-090504-1,AB_397424
ZDB-ATB-090504-2,AB_331768
ZDB-ATB-090505-1,AB_305564
ZDB-ATB-090505-2,AB_796190
ZDB-ATB-090505-3,AB_217868
ZDB-ATB-090506-1, 
ZDB-ATB-090506-2, 
ZDB-ATB-090508-1, 
ZDB-ATB-090508-2, 
ZDB-ATB-090508-3, 
ZDB-ATB-090508-4, 
ZDB-ATB-090508-5, 
ZDB-ATB-090508-6,
ZDB-ATB-090515-1, 
ZDB-ATB-090515-2,AB_2039762
ZDB-ATB-090520-1,AB_881298
ZDB-ATB-090521-1, 
ZDB-ATB-090521-2,AB_2059441
ZDB-ATB-090527-1, 
ZDB-ATB-090527-2, 
ZDB-ATB-090527-3, 
ZDB-ATB-090527-4, 
ZDB-ATB-090527-5,AB_10013483
ZDB-ATB-090615-1,AB_2200566
ZDB-ATB-090616-1, 
ZDB-ATB-090617-1,AB_95397
ZDB-ATB-090617-2,AB_297722
ZDB-ATB-090617-2,AB_2051522
ZDB-ATB-090619-1, 
ZDB-ATB-090619-2, 
ZDB-ATB-090619-3, 
ZDB-ATB-090623-1, 
ZDB-ATB-090623-2,AB_632445
ZDB-ATB-090623-3,AB_331593
ZDB-ATB-090624-1,AB_641123
ZDB-ATB-090624-2,AB_641121
ZDB-ATB-090630-1,AB_ 10013701
ZDB-ATB-090630-2, 
ZDB-ATB-090717-1, 
ZDB-ATB-090717-2, 
ZDB-ATB-090717-3, 
ZDB-ATB-090723-1, 
ZDB-ATB-090728-1, 
ZDB-ATB-090728-2, 
ZDB-ATB-090730-1,AB_2170716
ZDB-ATB-090730-2,AB_2225849
ZDB-ATB-090731-2, 
ZDB-ATB-090731-3, 
ZDB-ATB-090805-1,
ZDB-ATB-090811-1,AB_2166869
ZDB-ATB-090817-1,AB_528406
ZDB-ATB-090817-2,AB_138452
ZDB-ATB-090818-1, 
ZDB-ATB-090819-1, 
ZDB-ATB-090820-1, 
ZDB-ATB-090826-2,AB_631920
ZDB-ATB-090831-1,AB_310604
ZDB-ATB-090902-1,AB_300602
ZDB-ATB-090902-2,AB_890615
ZDB-ATB-090908-1,AB_2068336
ZDB-ATB-090908-2, 
ZDB-ATB-090908-3, 
ZDB-ATB-090909-1,AB_291351
ZDB-ATB-090909-2,AB_297880
ZDB-ATB-090909-3,AB_ 10013720
ZDB-ATB-090909-4,AB_177439
ZDB-ATB-090909-5,AB_331673
ZDB-ATB-090911-1, 
ZDB-ATB-090915-1,AB_477580
ZDB-ATB-090916-1, 
ZDB-ATB-090917-1, 
ZDB-ATB-090922-1,AB_213537
ZDB-ATB-090924-1, 
ZDB-ATB-090924-2, 
ZDB-ATB-090924-3, 
ZDB-ATB-090924-4,AB_1268496
ZDB-ATB-090924-5, 
ZDB-ATB-090924-6,
ZDB-ATB-091009-1,AB_2211772
ZDB-ATB-091019-1,AB_10001955
ZDB-ATB-091019-2, 
ZDB-ATB-091021-1,
ZDB-ATB-091026-1, 
ZDB-ATB-091030-1,AB_572253
ZDB-ATB-091105-1, 
ZDB-ATB-091105-2, 
ZDB-ATB-091105-3, 
ZDB-ATB-091105-4, 
ZDB-ATB-091106-1, 
ZDB-ATB-091110-1,AB_330248
ZDB-ATB-091116-1,AB_2286686
ZDB-ATB-091117-1, 
ZDB-ATB-091117-2, 
ZDB-ATB-091117-3,AB_477261
ZDB-ATB-091117-3,AB_86732
ZDB-ATB-091119-1,AB_2152825
ZDB-ATB-091120-1,AB_ 10013623
ZDB-ATB-091123-1, 
ZDB-ATB-091123-2, 
ZDB-ATB-091123-3, 
ZDB-ATB-091125-1,AB_631542
ZDB-ATB-091210-1,AB_627268
ZDB-ATB-091210-1,AB_394046
ZDB-ATB-091210-1,AB_291322
ZDB-ATB-100105-1, 
ZDB-ATB-100105-2, 
ZDB-ATB-100105-3,AB_2288413
ZDB-ATB-100108-1,AB_477413
ZDB-ATB-100108-1,AB_213111
ZDB-ATB-100108-2,AB_476884
ZDB-ATB-100108-3,AB_331611
ZDB-ATB-100108-4,AB_647994
ZDB-ATB-100111-1, 
ZDB-ATB-100111-10,AB_2271058
ZDB-ATB-100111-11,AB_532378
ZDB-ATB-100111-2, 
ZDB-ATB-100111-3, 
ZDB-ATB-100111-4, 
ZDB-ATB-100111-5, 
ZDB-ATB-100111-6, 
ZDB-ATB-100111-7, 
ZDB-ATB-100111-8, 
ZDB-ATB-100111-9,AB_443110
ZDB-ATB-100113-1,
ZDB-ATB-100113-2, 
ZDB-ATB-100113-3,AB_2293064
ZDB-ATB-100114-1, 
ZDB-ATB-100129-1,AB_ 10013632
ZDB-ATB-100203-1,AB_300798
ZDB-ATB-100209-1, 
ZDB-ATB-100215-1, 
ZDB-ATB-100218-1,AB_310624
ZDB-ATB-100225-1,AB_531788
ZDB-ATB-100303-1, 
ZDB-ATB-100305-1,AB_1587251
ZDB-ATB-100308-1,AB_476831
ZDB-ATB-100308-2,AB_298621
ZDB-ATB-100308-2,AB_ 10013721
ZDB-ATB-100312-1, 
ZDB-ATB-100408-1,AB_331646
ZDB-ATB-100409-1, 
ZDB-ATB-100409-2, 
ZDB-ATB-100409-3, 
ZDB-ATB-100413-1,AB_611759
ZDB-ATB-100422-1, 
ZDB-ATB-100423-1,AB_1860052
ZDB-ATB-100426-1,
ZDB-ATB-100427-1, 
ZDB-ATB-100427-2,AB_476693
ZDB-ATB-100428-1,AB_2074908
ZDB-ATB-100429-1, 
ZDB-ATB-100429-2, 
ZDB-ATB-100429-3, 
ZDB-ATB-100430-1,AB_476828
ZDB-ATB-100430-2,AB_260649
ZDB-ATB-100430-3,AB_477190
ZDB-ATB-100430-4,AB_477248
ZDB-ATB-100430-5,AB_260823
ZDB-ATB-100430-6,AB_261723
ZDB-ATB-100430-7,AB_261813
ZDB-ATB-100430-8,AB_261817
ZDB-ATB-100430-9,AB_397951
ZDB-ATB-100503-1, 
ZDB-ATB-100503-2, 
ZDB-ATB-100503-3, 
ZDB-ATB-100503-4,AB_2295173
ZDB-ATB-100505-1,AB_396359
ZDB-ATB-100505-2,AB_260814
ZDB-ATB-100505-3, 
ZDB-ATB-100510-1, 
ZDB-ATB-100510-2, 
ZDB-ATB-100520-1, 
ZDB-ATB-100524-1,AB_303062
ZDB-ATB-100524-2, 
ZDB-ATB-100608-1,AB_633872
ZDB-ATB-100609-1, 
ZDB-ATB-100616-1, 
ZDB-ATB-100616-2, 
ZDB-ATB-100616-3, 
