cneid,cneabbrev,cnetype,nccrid,nccrabbrev,nccrname,nccrtype
ZDB-CNE-181002-1,nc.hmx2.9741,CNE,ZDB-CNE-181002-1,nccr.hmx2.9741,conserved non-coding element hmx2_9741,NCCR
ZDB-CNE-181002-2,nc.pbx3b.3211,CNE,ZDB-CNE-181002-2,nccr.pbx3b.3211,conserved non-coding element pbx3b_3211,NCCR
ZDB-CNE-181002-3,nc.pax2a.135,CNE,ZDB-CNE-181002-3,nccr.pax2a.135,conserved non-coding element pax2a_135,NCCR
ZDB-CNE-181002-4,nc.zic1.5763,CNE,ZDB-CNE-181002-4,nccr.zic1.5763,conserved non-coding element zic1_5763,NCCR
ZDB-CNE-181002-5,nc.dachd.229,CNE,ZDB-CNE-181002-5,nccr.dachd.229,conserved non-coding element dachd_229,NCCR
ZDB-CNE-181002-6,nc.pax2a.174,CNE,ZDB-CNE-181002-6,nccr.pax2a.174,conserved non-coding element pax2a_174,NCCR
ZDB-CNE-181002-7,nc.foxp1.906,CNE,ZDB-CNE-181002-7,nccr.foxp1.906,conserved non-coding element foxp1_906,NCCR
ZDB-CNE-181002-8,nc.meis2a.1089,CNE,ZDB-CNE-181002-8,nccr.meis2a.1089,conserved non-coding element meis2a_1089,NCCR
ZDB-CNE-181002-9,nc.pou6f2.1568,CNE,ZDB-CNE-181002-9,nccr.pou6f2.1568,conserved non-coding element pou6f2_1568,NCCR
ZDB-CNE-181002-10,nc.hoxd.10498,CNE,ZDB-CNE-181002-10,nccr.hoxd.10498,conserved non-coding element hoxd_10498,NCCR
ZDB-CNE-181002-11,nc.sox6.2298,CNE,ZDB-CNE-181002-11,nccr.sox6.2298,conserved non-coding element sox6_2298,NCCR
ZDB-CNE-181002-12,nc.irx1/2/4.6679,CNE,ZDB-CNE-181002-12,nccr.irx1/2/4.6679,conserved non-coding element irx1/2/4_6679,NCCR
ZDB-CNE-181002-13,nc.pbx3b.3244,CNE,ZDB-CNE-181002-13,nccr.pbx3b.3244,conserved non-coding element pbx3b_3244,NCCR
ZDB-CNE-181002-14,nc.tshz3.7761,CNE,ZDB-CNE-181002-14,nccr.tshz3.7761,conserved non-coding element tshz3_7761,NCCR
ZDB-CNE-181002-15,nc.ebf3.3763,CNE,ZDB-CNE-181002-15,nccr.ebf3.3763,conserved non-coding element ebf3_3763,NCCR
ZDB-CNE-181002-16,nc.foxb1.5486,CNE,ZDB-CNE-181002-16,nccr.foxb1.5486,conserved non-coding element foxb1_5486,NCCR
ZDB-CNE-181002-17,nc.meis2a.957/8,CNE,ZDB-CNE-181002-17,nccr.meis2a.957/8,conserved non-coding element meis2a_957/8,NCCR
ZDB-CNE-181002-18,nc.pbx3b.3200,CNE,ZDB-CNE-181002-18,nccr.pbx3b.3200,conserved non-coding element pbx3b_3200,NCCR
ZDB-CNE-181002-19,nc.foxp1.887,CNE,ZDB-CNE-181002-19,nccr.foxp1.887,conserved non-coding element foxp1_887,NCCR
ZDB-CNE-181002-20,nc.meis2a.1043/4,CNE,ZDB-CNE-181002-20,nccr.meis2a.1043/4,conserved non-coding element meis2a_1043/4,NCCR
ZDB-CNE-181002-21,nc.tshz1.8799,CNE,ZDB-CNE-181002-21,nccr.tshz1.8799,conserved non-coding element tshz1_8799,NCCR
ZDB-CNE-181002-22,nc.evi1.11239,CNE,ZDB-CNE-181002-22,nccr.evi1.11239,conserved non-coding element evi1_11239,NCCR
ZDB-CNE-181002-23,nc.tshz3.7689,CNE,ZDB-CNE-181002-23,nccr.tshz3.7689,conserved non-coding element tshz3_7689,NCCR
ZDB-CNE-181002-24,nc.foxd3.308,CNE,ZDB-CNE-181002-24,nccr.foxd3.308,conserved non-coding element foxd3_308,NCCR
ZDB-CNE-181002-25,nc.foxd3.365,CNE,ZDB-CNE-181002-25,nccr.foxd3.365,conserved non-coding element foxd3_365,NCCR
ZDB-CNE-181002-26,nc.znf503.10147,CNE,ZDB-CNE-181002-26,nccr.znf503.10147,conserved non-coding element znf503_10147,NCCR
