zdbid,abregid
ZDB-ATB-190619-1,AB_2262874
ZDB-ATB-190619-2,AB_2725792
ZDB-ATB-190620-1,AB_2547475
ZDB-ATB-190620-2,AB_2093073
ZDB-ATB-190620-3,AB_443067
ZDB-ATB-190620-5,AB_2092385
ZDB-ATB-190620-7,AB_2800177
ZDB-ATB-190621-11,AB_11174399
ZDB-ATB-190625-1,AB_10988907
ZDB-ATB-190625-2,AB_10632995
ZDB-ATB-190625-3,AB_298118
ZDB-ATB-190625-4,AB_306908
ZDB-ATB-190626-1,AB_2115613
ZDB-ATB-190627-2,AB_10722930
ZDB-ATB-190627-3,AB_1842895
ZDB-ATB-190627-4,AB_10674321
ZDB-ATB-190701-1,AB_10844002
ZDB-ATB-190708-1,AB_731579
ZDB-ATB-190708-2,AB_444892
ZDB-ATB-190708-3,AB_2140034
ZDB-ATB-190709-1,AB_10694683
ZDB-ATB-190712-3,AB_262053
ZDB-ATB-190716-1,AB_2800196
ZDB-ATB-190716-2,AB_2155264
ZDB-ATB-190717-1,AB_10752827
ZDB-ATB-190717-2,AB_653627
ZDB-ATB-190722-1,AB_2166051
ZDB-ATB-190722-2,AB_11178517
ZDB-ATB-190726-1,AB_10743157
ZDB-ATB-190726-2,AB_2533714
ZDB-ATB-190729-1,AB_2156433
ZDB-ATB-190729-2,AB_443302
ZDB-ATB-190729-3,AB_1147620
