featureid,variantnote,allelenote
ZDB-ALT-121210-1,variant,
ZDB-ALT-160713-1,variant,allele
ZDB-ALT-120927-3,variant ,allele
ZDB-ALT-160825-2,variant,allele
ZDB-ALT-190131-9,,allele
ZDB-ALT-200707-4,,allele
ZDB-ALT-181115-4,,allele
ZDB-ALT-191002-3,,allele
ZDB-ALT-191002-6,,allele
ZDB-ALT-190131-6,,allele
ZDB-ALT-190131-7,,allele
ZDB-ALT-190314-7,,allele
ZDB-ALT-200824-6,,allele
ZDB-ALT-181107-8,,allele
ZDB-ALT-200128-5,,allele
ZDB-ALT-980203-313,variant,allele
ZDB-ALT-170303-2,variant,allele
ZDB-ALT-191016-4,variant,allele
ZDB-ALT-180516-2,variant,allele
ZDB-ALT-200707-1,variant,allele
ZDB-ALT-191002-6,variant,allele
ZDB-ALT-200707-3,variant,allele
ZDB-ALT-200707-2,variant,allele
ZDB-ALT-200217-7,variant,
ZDB-ALT-200211-16,variant,
ZDB-ALT-200212-5,variant,
ZDB-ALT-160721-6,variant,
ZDB-ALT-200224-9,variant,
ZDB-ALT-200218-22,variant,
ZDB-ALT-200218-23,variant,
ZDB-ALT-200129-5,variant,
ZDB-ALT-200211-7,variant,
ZDB-ALT-190618-3,variant,
ZDB-ALT-160825-2,variant,
ZDB-ALT-170221-5,variant,
ZDB-ALT-200130-1,variant,
ZDB-ALT-180327-2,variant,
ZDB-ALT-200304-13,variant,
ZDB-ALT-200128-6,variant,
ZDB-ALT-170328-3,variant,
ZDB-ALT-200122-12,variant,
ZDB-ALT-200304-27,variant,
ZDB-ALT-200205-3,variant,
ZDB-ALT-170531-3,variant,
ZDB-ALT-200217-25,variant,
ZDB-ALT-200226-1,variant,
ZDB-ALT-200224-2,variant,
ZDB-ALT-200304-22,variant,
ZDB-ALT-200204-12,variant,
ZDB-ALT-200218-6,variant,
ZDB-ALT-170829-2,variant,
ZDB-ALT-200217-24,variant,
ZDB-ALT-200218-10,variant,
ZDB-ALT-200217-22,variant,
ZDB-ALT-200211-11,variant,
ZDB-ALT-200211-12,variant,
ZDB-ALT-200224-8,variant,
ZDB-ALT-200224-5,variant,
ZDB-ALT-200122-1,variant,
ZDB-ALT-200212-3,variant,
ZDB-ALT-200225-8,variant,
ZDB-ALT-200204-17,variant,
ZDB-ALT-200218-21,variant,
ZDB-ALT-200225-5,variant,
ZDB-ALT-200129-3,variant,
ZDB-ALT-200203-7,variant,
ZDB-ALT-200204-13,variant,
ZDB-ALT-200211-17,variant,
ZDB-ALT-200204-11,variant,
ZDB-ALT-200205-10,variant,
ZDB-ALT-200203-4,variant,
ZDB-ALT-200128-3,variant,
ZDB-ALT-200225-7,variant,
ZDB-ALT-200122-4,variant,
ZDB-ALT-160613-1,variant,
ZDB-ALT-200721-1,variant,
ZDB-ALT-180207-3,variant,
ZDB-ALT-200519-10,variant,
ZDB-ALT-170621-2,variant,
ZDB-ALT-190814-4,variant,
ZDB-ALT-190820-2,variant,
ZDB-ALT-171003-8,variant,
ZDB-ALT-171003-7,variant,
ZDB-ALT-171003-6,variant,
ZDB-ALT-191028-3,variant,
ZDB-ALT-181015-3,variant,
ZDB-ALT-181015-2,variant,
ZDB-ALT-181015-4,variant,
ZDB-ALT-160721-8,variant,
ZDB-ALT-171003-7,variant,
ZDB-ALT-180904-5,variant,
ZDB-ALT-141222-2,variant,
ZDB-ALT-190911-1,variant,
ZDB-ALT-190423-5,variant,
ZDB-ALT-200609-3,variant,
ZDB-ALT-190423-4,variant,
ZDB-ALT-140619-1,variant,
ZDB-ALT-980203-1656,variant,
ZDB-ALT-181005-4,variant,
ZDB-ALT-110802-1,variant,
ZDB-ALT-191002-3,variant,
ZDB-ALT-191002-5,variant,
ZDB-ALT-170621-3,variant,
ZDB-ALT-180613-3,variant,
ZDB-ALT-181005-3,variant,
ZDB-ALT-200528-1,variant,
ZDB-ALT-130618-1,variant,
ZDB-ALT-191002-5,variant,
