zdbid,ftr,ftrnote,ftrstring
ZDB-ALT-071108-10,slc24a5_unspecified,5/26/2020,5/26/2020
ZDB-ALT-120109-3,sm0,5/26/2020,5/26/2020
ZDB-ALT-140123-15,sm07,5/26/2020,5/26/2020
ZDB-ALT-140122-12,sm1038,5/26/2020,5/26/2020
ZDB-ALT-140122-13,sm1216,5/26/2020,5/26/2020
ZDB-ALT-140122-14,sm1258,5/26/2020,5/26/2020
ZDB-ALT-140122-15,sm1262,5/26/2020,5/26/2020
ZDB-ALT-140122-16,sm1266,5/26/2020,5/26/2020
ZDB-ALT-140122-17,sm1272,5/26/2020,5/26/2020
ZDB-ALT-140122-5,sm1276,5/26/2020,5/26/2020
ZDB-ALT-140122-18,sm1285,5/26/2020,5/26/2020
ZDB-ALT-140122-19,sm1288,5/26/2020,5/26/2020
ZDB-ALT-140122-20,sm1296,5/26/2020,5/26/2020
ZDB-ALT-140123-3,sm1299,5/26/2020,5/26/2020
ZDB-ALT-140123-4,sm1303,5/26/2020,5/26/2020
ZDB-ALT-140123-5,sm1304,5/26/2020,5/26/2020
ZDB-ALT-140123-6,sm1341,5/26/2020,5/26/2020
ZDB-ALT-140123-7,sm1382,5/26/2020,5/26/2020
ZDB-ALT-140123-8,sm1383,5/26/2020,5/26/2020
ZDB-ALT-140123-9,sm1391,5/26/2020,5/26/2020
ZDB-ALT-140123-10,sm1402,5/26/2020,5/26/2020
ZDB-ALT-140123-11,sm1403,5/26/2020,5/26/2020
ZDB-ALT-140123-12,sm1427,5/26/2020,5/26/2020
ZDB-ALT-140123-13,sm1480,5/26/2020,5/26/2020
ZDB-ALT-140122-1,sm28,5/26/2020,5/26/2020
ZDB-ALT-140123-16,sm280,5/26/2020,5/26/2020
ZDB-ALT-140123-17,sm294,5/26/2020,5/26/2020
ZDB-ALT-140123-18,sm296,5/26/2020,5/26/2020
ZDB-ALT-140123-19,sm319,5/26/2020,5/26/2020
ZDB-ALT-140123-20,sm322,5/26/2020,5/26/2020
ZDB-ALT-140122-2,sm335,5/26/2020,5/26/2020
ZDB-ALT-140122-8,sm350,5/26/2020,5/26/2020
ZDB-ALT-140123-21,sm418,5/26/2020,5/26/2020
ZDB-ALT-140122-3,sm421,5/26/2020,5/26/2020
ZDB-ALT-140123-22,sm426,5/26/2020,5/26/2020
ZDB-ALT-140122-4,sm600,5/26/2020,5/26/2020
ZDB-ALT-140122-9,sm625,5/26/2020,5/26/2020
ZDB-ALT-140122-11,sm683,5/26/2020,5/26/2020
ZDB-ALT-140122-6,sm73,5/26/2020,5/26/2020
ZDB-ALT-140122-7,sm86,5/26/2020,5/26/2020
ZDB-ALT-080619-2,sq3,5/26/2020,5/26/2020
ZDB-ALT-160901-7,sq34,5/26/2020,5/26/2020
ZDB-ALT-170830-1,sq37,5/26/2020,5/26/2020
ZDB-ALT-190228-2,sq5716,5/26/2020,5/26/2020
ZDB-ALT-190219-1,st120,5/26/2020,5/26/2020
ZDB-ALT-190219-2,st121,5/26/2020,5/26/2020
ZDB-ALT-010426-14,st2,5/26/2020,5/26/2020
ZDB-ALT-010426-12,st3,5/26/2020,5/26/2020
ZDB-ALT-010426-10,st4,5/26/2020,5/26/2020
ZDB-ALT-050512-4,st50,5/26/2020,5/26/2020
ZDB-ALT-061207-2,st51,5/26/2020,5/26/2020
ZDB-ALT-061207-12,st63,5/26/2020,5/26/2020
ZDB-ALT-030812-2,st7,5/26/2020,5/26/2020
ZDB-ALT-030812-8,st8,5/26/2020,5/26/2020
ZDB-ALT-181108-2,stl145,5/26/2020,5/26/2020
ZDB-ALT-180918-1,stl228,5/26/2020,5/26/2020
ZDB-ALT-180918-2,stl233,5/26/2020,5/26/2020
ZDB-ALT-180918-3,stl234,5/26/2020,5/26/2020
ZDB-ALT-180918-5,stl236,5/26/2020,5/26/2020
ZDB-ALT-180918-4,stl261,5/26/2020,5/26/2020
ZDB-ALT-180320-11,stl64,5/26/2020,5/26/2020
ZDB-ALT-150729-40,swuv26d,5/26/2020,5/26/2020
ZDB-ALT-040323-2,t1497,5/26/2020,5/26/2020
ZDB-ALT-030804-2,t20257,5/26/2020,5/26/2020
ZDB-ALT-130514-2,t20325,5/26/2020,5/26/2020
ZDB-ALT-100802-4,t20604,5/26/2020,5/26/2020
ZDB-ALT-121018-2,t21010,5/26/2020,5/26/2020
ZDB-ALT-040716-10,t21142,5/26/2020,5/26/2020
ZDB-ALT-121018-1,t21192,5/26/2020,5/26/2020
ZDB-ALT-100802-3,t21411,5/26/2020,5/26/2020
ZDB-ALT-090508-1,t22499,5/26/2020,5/26/2020
ZDB-ALT-040716-12,t22744,5/26/2020,5/26/2020
ZDB-ALT-060322-4,t23027,5/26/2020,5/26/2020
ZDB-ALT-040716-14,t24149,5/26/2020,5/26/2020
ZDB-ALT-040716-20,t24152,5/26/2020,5/26/2020
ZDB-ALT-090414-1,t24295,5/26/2020,5/26/2020
ZDB-ALT-040820-8,t2460,5/26/2020,5/26/2020
ZDB-ALT-110107-1,t25127,5/26/2020,5/26/2020
ZDB-ALT-040716-18,t25215,5/26/2020,5/26/2020
ZDB-ALT-030312-2,t26035,5/26/2020,5/26/2020
ZDB-ALT-121018-3,t26173,5/26/2020,5/26/2020
ZDB-ALT-040716-16,t26212,5/26/2020,5/26/2020
