featureID,feature abbrev
ZDB-ALT-190501-515,sa41321
ZDB-ALT-190501-516,sa41328
ZDB-ALT-190501-517,sa41345
ZDB-ALT-190501-518,sa41552
ZDB-ALT-190501-519,sa41565
ZDB-ALT-190501-520,sa41594
ZDB-ALT-190501-521,sa41646
ZDB-ALT-190501-522,sa41647
ZDB-ALT-190501-523,sa41733
ZDB-ALT-190501-524,sa41751
ZDB-ALT-190501-525,sa41775
ZDB-ALT-190501-526,sa41860
ZDB-ALT-190501-527,sa41892
ZDB-ALT-190501-528,sa41930
ZDB-ALT-190501-529,sa42115
ZDB-ALT-190501-530,sa42118
ZDB-ALT-190501-531,sa42301
ZDB-ALT-190501-532,sa42313
ZDB-ALT-190501-533,sa42331
ZDB-ALT-190501-534,sa42334
ZDB-ALT-190501-535,sa42336
ZDB-ALT-190501-536,sa42337
ZDB-ALT-190501-537,sa42366
ZDB-ALT-190501-538,sa42622
ZDB-ALT-190501-539,sa42623
ZDB-ALT-190501-540,sa42628
ZDB-ALT-190501-541,sa42644
ZDB-ALT-190501-542,sa42736
ZDB-ALT-190501-543,sa42818
ZDB-ALT-190501-544,sa42835
ZDB-ALT-190501-545,sa43008
ZDB-ALT-190501-546,sa43026
ZDB-ALT-190501-547,sa43055
ZDB-ALT-190501-548,sa43124
ZDB-ALT-190501-549,sa43203
ZDB-ALT-190501-550,sa43205
ZDB-ALT-190501-551,sa43250
ZDB-ALT-190501-552,sa43352
ZDB-ALT-190501-553,sa43548
ZDB-ALT-190501-554,sa43555
ZDB-ALT-190501-555,sa43738
ZDB-ALT-190501-556,sa43766
ZDB-ALT-190501-557,sa43904
ZDB-ALT-190501-558,sa43905
ZDB-ALT-190501-559,sa44039
ZDB-ALT-190501-560,sa44068
ZDB-ALT-190501-561,sa44333
ZDB-ALT-190501-562,sa44370
ZDB-ALT-190501-563,sa44379
ZDB-ALT-190501-564,sa44385
ZDB-ALT-190501-565,sa44390
ZDB-ALT-190501-566,sa44392
ZDB-ALT-190501-567,sa44401
ZDB-ALT-190501-568,sa44402
ZDB-ALT-190501-569,sa44403
ZDB-ALT-190501-570,sa44404
ZDB-ALT-190501-571,sa44405
ZDB-ALT-190501-572,sa44406
ZDB-ALT-190501-573,sa44412
ZDB-ALT-190501-574,sa44414
ZDB-ALT-190501-575,sa44423
ZDB-ALT-190501-576,sa44427
ZDB-ALT-190501-577,sa44428
ZDB-ALT-190501-583,sa8433
ZDB-ALT-190501-584,sa8444
ZDB-ALT-190501-585,sa8491
ZDB-ALT-190501-586,sa8514
ZDB-ALT-190501-587,sa8551
ZDB-ALT-190501-588,sa8618
ZDB-ALT-190501-589,sa8628
ZDB-ALT-190501-590,sa8684
ZDB-ALT-190501-591,sa8768
ZDB-ALT-190501-592,sa8797
ZDB-ALT-190501-593,sa8889
ZDB-ALT-190501-594,sa8951
ZDB-ALT-190501-595,sa8970
ZDB-ALT-190501-596,sa9029
ZDB-ALT-190501-597,sa9318
ZDB-ALT-190501-598,sa18691
ZDB-ALT-190501-599,sa19019
ZDB-ALT-190501-600,sa19167
ZDB-ALT-190501-601,sa19612
ZDB-ALT-190501-602,sa19663
ZDB-ALT-190501-603,sa19927
ZDB-ALT-190501-604,sa19936
ZDB-ALT-190501-605,sa19960
ZDB-ALT-190501-606,sa19982
