FishmiR Mature ID,Brain_RPM,Gills_RPM,Heart_RPM,Muscle_RPM,Intestine_RPM,Liver_RPM,Ovary_RPM,Testis_RPM,Head-kidney_RPM,Spleen_RPM
FMDANRERM0240,5.85,No_Data,12,No_Data,No_Data,No_Data,49,35,No_Data,No_Data
FMDANRERM0241,3.02,No_Data,1,No_Data,No_Data,No_Data,2,3,No_Data,No_Data
FMDANRERM0242,327.29,No_Data,60,No_Data,No_Data,No_Data,327,183,No_Data,No_Data
FMDANRERM0243,10.76,No_Data,6,No_Data,No_Data,No_Data,8,7,No_Data,No_Data
FMDANRERM0244,71.79,No_Data,84,No_Data,No_Data,No_Data,238,139,No_Data,No_Data
FMDANRERM0001,10327.80,No_Data,3857,No_Data,No_Data,No_Data,9257,5991,No_Data,No_Data
FMDANRERM0245,2.17,No_Data,1,No_Data,No_Data,No_Data,14,4,No_Data,No_Data
FMDANRERM0246,162.04,No_Data,111,No_Data,No_Data,No_Data,153,98,No_Data,No_Data
FMDANRERM0002,2598.92,No_Data,285,No_Data,No_Data,No_Data,539,544,No_Data,No_Data
FMDANRERM0247,10.74,No_Data,14,No_Data,No_Data,No_Data,32,26,No_Data,No_Data
FMDANRERM0003,857.37,No_Data,439,No_Data,No_Data,No_Data,461,486,No_Data,No_Data
FMDANRERM0004,1027.82,No_Data,87,No_Data,No_Data,No_Data,378,706,No_Data,No_Data
FMDANRERM0248,6.53,No_Data,8,No_Data,No_Data,No_Data,35,15,No_Data,No_Data
FMDANRERM0005,1305.02,No_Data,1135,No_Data,No_Data,No_Data,701,424,No_Data,No_Data
FMDANRERM0249,3.61,No_Data,8,No_Data,No_Data,No_Data,14,8,No_Data,No_Data
FMDANRERM0006,698.14,No_Data,363,No_Data,No_Data,No_Data,269,219,No_Data,No_Data
FMDANRERM0250,2.62,No_Data,0,No_Data,No_Data,No_Data,1,3,No_Data,No_Data
FMDANRERM0251,8.22,No_Data,2,No_Data,No_Data,No_Data,32,11,No_Data,No_Data
FMDANRERM0007,1268.55,No_Data,216,No_Data,No_Data,No_Data,281,303,No_Data,No_Data
FMDANRERM0252,30.95,No_Data,24,No_Data,No_Data,No_Data,32,22,No_Data,No_Data
FMDANRERM0008,325.63,No_Data,83,No_Data,No_Data,No_Data,125,106,No_Data,No_Data
FMDANRERM0253,292.63,No_Data,3,No_Data,No_Data,No_Data,27,8,No_Data,No_Data
FMDANRERM0009,3898.58,No_Data,19,No_Data,No_Data,No_Data,226,120,No_Data,No_Data
FMDANRERM0254,35.15,No_Data,23,No_Data,No_Data,No_Data,58,94,No_Data,No_Data
FMDANRERM0010,632.98,No_Data,122,No_Data,No_Data,No_Data,233,417,No_Data,No_Data
FMDANRERM0255,9.14,No_Data,1,No_Data,No_Data,No_Data,6,6,No_Data,No_Data
FMDANRERM0256,125.54,No_Data,51,No_Data,No_Data,No_Data,108,124,No_Data,No_Data
FMDANRERM0011,322383.64,No_Data,250960,No_Data,No_Data,No_Data,258118,349897,No_Data,No_Data
FMDANRERM0257,2849.30,No_Data,1358,No_Data,No_Data,No_Data,11303,5327,No_Data,No_Data
FMDANRERM0012,7.98,No_Data,5,No_Data,No_Data,No_Data,20,11,No_Data,No_Data
FMDANRERM0258,66.91,No_Data,98,No_Data,No_Data,No_Data,1386,268,No_Data,No_Data
FMDANRERM0013,1.39,No_Data,1,No_Data,No_Data,No_Data,8,5,No_Data,No_Data
FMDANRERM0259,1786.58,No_Data,106,No_Data,No_Data,No_Data,522,445,No_Data,No_Data
FMDANRERM0014,28.56,No_Data,5,No_Data,No_Data,No_Data,12,11,No_Data,No_Data
FMDANRERM0015,69.07,No_Data,0,No_Data,No_Data,No_Data,6,7,No_Data,No_Data
FMDANRERM0260,0.21,No_Data,0,No_Data,No_Data,No_Data,0,0,No_Data,No_Data
FMDANRERM0016,0.57,No_Data,0,No_Data,No_Data,No_Data,1,2,No_Data,No_Data
FMDANRERM0261,288.97,No_Data,30,No_Data,No_Data,No_Data,180,77,No_Data,No_Data
FMDANRERM0017,3.33,No_Data,0,No_Data,No_Data,No_Data,2,1,No_Data,No_Data
FMDANRERM0262,250.77,No_Data,37,No_Data,No_Data,No_Data,11,8,No_Data,No_Data
FMDANRERM0018,0.00,No_Data,0,No_Data,No_Data,No_Data,31,1,No_Data,No_Data
FMDANRERM0264,0.41,No_Data,1,No_Data,No_Data,No_Data,17,7,No_Data,No_Data
FMDANRERM0019,0.00,No_Data,0,No_Data,No_Data,No_Data,6,0,No_Data,No_Data
FMDANRERM0265,6.65,No_Data,0,No_Data,No_Data,No_Data,4,14,No_Data,No_Data
FMDANRERM0020,1941.14,No_Data,57,No_Data,No_Data,No_Data,1922,5227,No_Data,No_Data
FMDANRERM0266,1.63,No_Data,0,No_Data,No_Data,No_Data,4,2,No_Data,No_Data
FMDANRERM0267,0.58,No_Data,0,No_Data,No_Data,No_Data,4,14,No_Data,No_Data
FMDANRERM0021,4827.85,No_Data,754,No_Data,No_Data,No_Data,11209,34392,No_Data,No_Data
FMDANRERM0268,1.92,No_Data,0,No_Data,No_Data,No_Data,22,13,No_Data,No_Data
FMDANRERM0022,1145.74,No_Data,161,No_Data,No_Data,No_Data,2801,8333,No_Data,No_Data
FMDANRERM0269,0.60,No_Data,0,No_Data,No_Data,No_Data,0,0,No_Data,No_Data
FMDANRERM0023,483.73,No_Data,10,No_Data,No_Data,No_Data,27,165,No_Data,No_Data
FMDANRERM0024,0.18,No_Data,4,No_Data,No_Data,No_Data,0,0,No_Data,No_Data
FMDANRERM0270,0.00,No_Data,1,No_Data,No_Data,No_Data,4,6,No_Data,No_Data
