recattrib_pk_id,old_data_zdb_id,new_data_zdb_id
780628,ZDB-DBLINK-070404-593,ZDB-DBLINK-200410-77476
1478606,ZDB-DBLINK-091202-43,ZDB-DBLINK-200410-26417
110043,ZDB-DBLINK-060614-1921,ZDB-DBLINK-200410-77071
97730,ZDB-DBLINK-030616-11,ZDB-DBLINK-200410-69214
97697,ZDB-DBLINK-030328-37,ZDB-DBLINK-200410-6721
104911,ZDB-DBLINK-050327-96,ZDB-DBLINK-200410-14098
771167,ZDB-DBLINK-050522-189,ZDB-DBLINK-200410-15519
97728,ZDB-DBLINK-030616-104,ZDB-DBLINK-220930-112911
97705,ZDB-DBLINK-030415-10,ZDB-DBLINK-200410-6769
97345074,ZDB-DBLINK-050309-412,ZDB-DBLINK-200410-28442
97346445,ZDB-DBLINK-060810-157,ZDB-DBLINK-200410-30253
790720,ZDB-DBLINK-090114-3932,ZDB-DBLINK-220930-126019
785961,ZDB-DBLINK-080204-634,ZDB-DBLINK-200410-21104
784245,ZDB-DBLINK-070818-24162,ZDB-DBLINK-200410-20295
97734,ZDB-DBLINK-030616-120,ZDB-DBLINK-200410-69226
97751,ZDB-DBLINK-030616-314,ZDB-DBLINK-220930-112941
116720,ZDB-DBLINK-070608-1841,ZDB-DBLINK-220930-64024
97747,ZDB-DBLINK-030616-30,ZDB-DBLINK-220930-112964
121566,ZDB-DBLINK-080721-330,ZDB-DBLINK-200410-23266
769224,ZDB-DBLINK-050218-2783,ZDB-DBLINK-220930-115604
1436665,ZDB-DBLINK-050417-355,ZDB-DBLINK-200410-14426
771427,ZDB-DBLINK-050612-20,ZDB-DBLINK-200410-15838
1446544,ZDB-DBLINK-070404-702,ZDB-DBLINK-200410-77104
773742,ZDB-DBLINK-060503-2839,ZDB-DBLINK-220930-118757
97738,ZDB-DBLINK-030616-138,ZDB-DBLINK-200410-69252
97775,ZDB-DBLINK-030616-84,ZDB-DBLINK-200410-69220
97776,ZDB-DBLINK-030616-87,ZDB-DBLINK-200410-69219
97815,ZDB-DBLINK-030723-7,ZDB-DBLINK-200410-7599
97772,ZDB-DBLINK-030616-76,ZDB-DBLINK-200410-69171
97737,ZDB-DBLINK-030616-132,ZDB-DBLINK-200410-69254
97742,ZDB-DBLINK-030616-17,ZDB-DBLINK-200410-69221
97771,ZDB-DBLINK-030616-73,ZDB-DBLINK-200410-69169
778176,ZDB-DBLINK-061027-56,ZDB-DBLINK-200410-17662
780971,ZDB-DBLINK-070410-81,ZDB-DBLINK-200410-19417
1456578,ZDB-DBLINK-090114-3871,ZDB-DBLINK-200410-78981
97905,ZDB-DBLINK-030909-34,ZDB-DBLINK-200410-6750
97346829,ZDB-DBLINK-060810-57,ZDB-DBLINK-200410-30140
111850,ZDB-DBLINK-060818-28,ZDB-DBLINK-200410-17171
97955,ZDB-DBLINK-031022-193,ZDB-DBLINK-200410-7086
97964,ZDB-DBLINK-031022-406,ZDB-DBLINK-200410-7107
97956,ZDB-DBLINK-031022-204,ZDB-DBLINK-200410-7587
97966,ZDB-DBLINK-031022-473,ZDB-DBLINK-200410-7602
765412,ZDB-DBLINK-040625-95,ZDB-DBLINK-200410-11533
1452305,ZDB-DBLINK-080529-146,ZDB-DBLINK-200410-25890
97970,ZDB-DBLINK-031022-553,ZDB-DBLINK-200410-7329
97958,ZDB-DBLINK-031022-257,ZDB-DBLINK-200410-7550
98014,ZDB-DBLINK-031031-31,ZDB-DBLINK-200410-8569
97954,ZDB-DBLINK-031022-160,ZDB-DBLINK-200410-7318
97965,ZDB-DBLINK-031022-420,ZDB-DBLINK-200410-7413
97963,ZDB-DBLINK-031022-389,ZDB-DBLINK-200410-8225
97959,ZDB-DBLINK-031022-273,ZDB-DBLINK-200410-7922
97962,ZDB-DBLINK-031022-356,ZDB-DBLINK-200410-7166
97961,ZDB-DBLINK-031022-331,ZDB-DBLINK-200410-7882
114850,ZDB-DBLINK-070404-548,ZDB-DBLINK-220930-122637
770667,ZDB-DBLINK-050327-75,ZDB-DBLINK-200410-14122
97344410,ZDB-DBLINK-050208-8,ZDB-DBLINK-200410-28544
1452362,ZDB-DBLINK-080529-1613,ZDB-DBLINK-200410-24855
98050,ZDB-DBLINK-031119-6,ZDB-DBLINK-200410-7290
98040,ZDB-DBLINK-031113-17,ZDB-DBLINK-200410-8628
98056,ZDB-DBLINK-031126-5309,ZDB-DBLINK-200410-9536
1446779,ZDB-DBLINK-070410-433,ZDB-DBLINK-200410-19789
98090,ZDB-DBLINK-040106-2,ZDB-DBLINK-200410-7694
790866,ZDB-DBLINK-090114-4342,ZDB-DBLINK-200410-78297
98108,ZDB-DBLINK-040109-40,ZDB-DBLINK-200410-9346
98092,ZDB-DBLINK-040108-14,ZDB-DBLINK-200410-7558
98096,ZDB-DBLINK-040109-17,ZDB-DBLINK-200410-9654
98097,ZDB-DBLINK-040109-19,ZDB-DBLINK-200410-8284
98051,ZDB-DBLINK-031120-2,ZDB-DBLINK-200410-7146
98035,ZDB-DBLINK-031112-14,ZDB-DBLINK-200410-8747
97326555,ZDB-DBLINK-020919-702,ZDB-DBLINK-200410-27278
98089,ZDB-DBLINK-031231-3,ZDB-DBLINK-200410-8499
98082,ZDB-DBLINK-031219-6,ZDB-DBLINK-200410-9535
98041,ZDB-DBLINK-031113-30,ZDB-DBLINK-200410-7277
769735,ZDB-DBLINK-050218-463,ZDB-DBLINK-220930-116748
98191,ZDB-DBLINK-040130-307,ZDB-DBLINK-200410-7018
771257,ZDB-DBLINK-050522-431,ZDB-DBLINK-200410-14993
98193,ZDB-DBLINK-040202-16,ZDB-DBLINK-200410-7103
815555,ZDB-DBLINK-100920-626,ZDB-DBLINK-200410-81861
98183,ZDB-DBLINK-040126-5,ZDB-DBLINK-200410-8315
1437360,ZDB-DBLINK-050612-9,ZDB-DBLINK-200410-15825
97343165,ZDB-DBLINK-041008-152,ZDB-DBLINK-200410-29614
98186,ZDB-DBLINK-040128-20,ZDB-DBLINK-200410-7433
98190,ZDB-DBLINK-040130-15,ZDB-DBLINK-200410-7167
98177,ZDB-DBLINK-040122-32,ZDB-DBLINK-200410-7519
114755,ZDB-DBLINK-070404-250,ZDB-DBLINK-200410-77434
98122,ZDB-DBLINK-040113-2,ZDB-DBLINK-200410-8089
1479746,ZDB-DBLINK-100127-251,ZDB-DBLINK-200410-80084
98165,ZDB-DBLINK-040121-27,ZDB-DBLINK-200410-8052
98164,ZDB-DBLINK-040121-22,ZDB-DBLINK-200410-7641
98126,ZDB-DBLINK-040114-12,ZDB-DBLINK-200410-8498
98214,ZDB-DBLINK-040212-4,ZDB-DBLINK-200410-8448
98130,ZDB-DBLINK-040115-25,ZDB-DBLINK-200410-9105
780822,ZDB-DBLINK-070410-225,ZDB-DBLINK-200410-19508
98148,ZDB-DBLINK-040116-4,ZDB-DBLINK-200410-8503
1446634,ZDB-DBLINK-070407-23155,ZDB-DBLINK-200410-18575
