pub,mrel_mrkr_1_zdb_id,mrel_mrkr_2_zdb_id,mrel_type
ZDB-PUB-130605-18,ZDB-TGCONSTRCT-130717-1,ZDB-EFG-080131-2,coding sequence of
ZDB-PUB-130709-52,ZDB-TGCONSTRCT-130816-1,ZDB-EFG-070409-1,coding sequence of
ZDB-PUB-130709-52,ZDB-TGCONSTRCT-130816-3,ZDB-EREGION-070122-1,promoter of
ZDB-PUB-130709-52,ZDB-TGCONSTRCT-130816-3,ZDB-EFG-070409-1,coding sequence of
ZDB-PUB-130709-52,ZDB-TGCONSTRCT-130816-1,ZDB-GENE-050411-10,promoter of
ZDB-PUB-130709-68,ZDB-TGCONSTRCT-130925-3,ZDB-GENE-000705-1,promoter of
ZDB-PUB-130830-10,ZDB-TGCONSTRCT-131011-1,ZDB-GENE-991019-3,promoter of
ZDB-PUB-130830-10,ZDB-TGCONSTRCT-131011-1,ZDB-EFG-070117-1,coding sequence of
ZDB-PUB-130830-10,ZDB-TGCONSTRCT-131011-1,ZDB-EFG-080214-1,coding sequence of
ZDB-PUB-130830-10,ZDB-TGCONSTRCT-131011-1,ZDB-GENE-020717-1,coding sequence of
ZDB-PUB-130710-119,ZDB-TGCONSTRCT-131112-1,ZDB-EFG-070117-1,coding sequence of
ZDB-PUB-130927-30,ZDB-TGCONSTRCT-131216-1,ZDB-GENE-980526-426,promoter of
ZDB-PUB-130927-30,ZDB-TGCONSTRCT-131216-1,ZDB-EFG-080214-1,coding sequence of
ZDB-PUB-131029-15,ZDB-TGCONSTRCT-131217-2,ZDB-GENE-991019-3,promoter of
ZDB-PUB-131029-15,ZDB-TGCONSTRCT-131217-2,ZDB-EFG-080214-1,coding sequence of
ZDB-PUB-131029-15,ZDB-TGCONSTRCT-131217-2,ZDB-GENE-020717-1,promoter of
ZDB-PUB-120106-15,ZDB-TGCONSTRCT-120208-1,ZDB-EREGION-070122-1,promoter of
ZDB-PUB-131113-17,ZDB-TGCONSTRCT-140205-3,ZDB-EFG-120320-2,coding sequence of
ZDB-PUB-131113-17,ZDB-TGCONSTRCT-140205-3,ZDB-GENE-010614-1,promoter of
ZDB-PUB-131113-17,ZDB-TGCONSTRCT-140205-3,ZDB-GENE-020508-1,promoter of
ZDB-PUB-131113-17,ZDB-TGCONSTRCT-140205-3,ZDB-EFG-070925-1,coding sequence of
ZDB-PUB-131113-17,ZDB-TGCONSTRCT-140205-3,ZDB-EFG-070117-1,coding sequence of
ZDB-PUB-131121-22,ZDB-TGCONSTRCT-140210-5,ZDB-GENE-030411-6,promoter of
ZDB-PUB-131121-22,ZDB-TGCONSTRCT-140210-5,ZDB-EFG-120217-2,coding sequence of
ZDB-PUB-140107-1,ZDB-TGCONSTRCT-140226-4,ZDB-EFG-110824-2,coding sequence of
ZDB-PUB-140107-1,ZDB-TGCONSTRCT-140226-4,ZDB-GENE-030411-6,promoter of
ZDB-PUB-050513-11,ZDB-TGCONSTRCT-090917-1,ZDB-EREGION-130306-1,coding sequence of
ZDB-PUB-050513-11,ZDB-TGCONSTRCT-110520-2,ZDB-EREGION-130306-1,coding sequence of
ZDB-PUB-120106-15,ZDB-TGCONSTRCT-120208-1,ZDB-EREGION-130306-1,coding sequence of
ZDB-PUB-050513-11,ZDB-TGCONSTRCT-090917-1,ZDB-EFG-080319-1,coding sequence of
ZDB-PUB-050513-11,ZDB-TGCONSTRCT-110520-2,ZDB-EFG-080319-1,coding sequence of
ZDB-PUB-120106-15,ZDB-TGCONSTRCT-120208-1,ZDB-EFG-080319-1,coding sequence of
ZDB-PUB-140303-26,ZDB-TGCONSTRCT-140416-4,ZDB-GENE-011128-10,promoter of
ZDB-PUB-140303-26,ZDB-TGCONSTRCT-140416-4,ZDB-EFG-070117-2,coding sequence of
ZDB-PUB-140303-26,ZDB-TGCONSTRCT-140416-4,ZDB-GENE-040426-1352,coding sequence of
ZDB-PUB-050202-4,ZDB-TGCONSTRCT-070117-103,ZDB-GENE-050321-1,promoter of
ZDB-PUB-050202-4,ZDB-TGCONSTRCT-070117-45,ZDB-GENE-050321-1,promoter of
ZDB-PUB-140107-1,ZDB-TGCONSTRCT-140226-4,ZDB-EREGION-130520-1,coding sequence of
ZDB-PUB-130709-68,ZDB-TGCONSTRCT-130925-3,ZDB-EFG-110721-1,coding sequence of
ZDB-PUB-020820-13,ZDB-TGCONSTRCT-070117-152,ZDB-EREGION-110816-1,coding sequence of
ZDB-PUB-020820-13,ZDB-TGCONSTRCT-070117-152,ZDB-EFG-070117-1,coding sequence of
ZDB-PUB-130927-29,ZDB-TGCONSTRCT-140610-8,ZDB-GENE-980526-426,promoter of
ZDB-PUB-130927-29,ZDB-TGCONSTRCT-140610-8,ZDB-EFG-070117-1,coding sequence of
ZDB-PUB-130904-11,ZDB-TGCONSTRCT-140610-9,ZDB-GENE-980526-426,promoter of
ZDB-PUB-130904-11,ZDB-TGCONSTRCT-140610-9,ZDB-EFG-070117-3,coding sequence of
ZDB-PUB-140303-29,ZDB-TGCONSTRCT-140703-2,ZDB-GENE-030411-6,promoter of
ZDB-PUB-140303-29,ZDB-TGCONSTRCT-140703-2,ZDB-EFG-070117-1,coding sequence of
ZDB-PUB-140303-29,ZDB-TGCONSTRCT-140703-2,ZDB-GENE-030131-2025,coding sequence of
ZDB-PUB-140513-464,ZDB-TGCONSTRCT-140725-4,ZDB-GENE-050321-1,promoter of
ZDB-PUB-140513-464,ZDB-TGCONSTRCT-140725-4,ZDB-GENE-111117-2,coding sequence of
ZDB-PUB-140513-214,ZDB-TGCONSTRCT-140811-2,ZDB-GENE-980526-426,promoter of
ZDB-PUB-140513-214,ZDB-TGCONSTRCT-140811-2,ZDB-EFG-080319-1,coding sequence of
ZDB-PUB-140513-214,ZDB-TGCONSTRCT-140811-2,ZDB-EREGION-130306-1,coding sequence of
ZDB-PUB-140321-8,ZDB-TGCONSTRCT-140924-3,ZDB-GENE-010619-3,promoter of
ZDB-PUB-140321-8,ZDB-TGCONSTRCT-140924-3,ZDB-EREGION-130520-1,coding sequence of
ZDB-PUB-140321-8,ZDB-TGCONSTRCT-140924-3,ZDB-EFG-080214-1,coding sequence of
ZDB-PUB-140702-1,ZDB-TGCONSTRCT-141121-5,ZDB-GENE-050622-14,promoter of
ZDB-PUB-140702-1,ZDB-TGCONSTRCT-141121-5,ZDB-EFG-070117-1,coding sequence of
ZDB-PUB-140702-1,ZDB-TGCONSTRCT-141121-5,ZDB-GENE-050622-14,coding sequence of
ZDB-PUB-140702-1,ZDB-TGCONSTRCT-141121-6,ZDB-GENE-050622-14,promoter of
ZDB-PUB-140702-1,ZDB-TGCONSTRCT-141121-6,ZDB-EFG-070117-1,coding sequence of
ZDB-PUB-140702-1,ZDB-TGCONSTRCT-141121-6,ZDB-GENE-050622-14,coding sequence of
ZDB-PUB-140702-1,ZDB-TGCONSTRCT-141121-7,ZDB-GENE-050622-14,promoter of
ZDB-PUB-140702-1,ZDB-TGCONSTRCT-141121-7,ZDB-EFG-070117-1,coding sequence of
ZDB-PUB-140702-1,ZDB-TGCONSTRCT-141121-7,ZDB-GENE-050622-14,coding sequence of
ZDB-PUB-140701-9,ZDB-TGCONSTRCT-150113-1,ZDB-GENE-980526-426,promoter of
ZDB-PUB-140701-9,ZDB-TGCONSTRCT-150113-1,ZDB-EREGION-121003-1,coding sequence of
ZDB-PUB-140701-9,ZDB-TGCONSTRCT-150113-1,ZDB-EFG-070117-1,coding sequence of
ZDB-PUB-141015-1,ZDB-TGCONSTRCT-150218-2,ZDB-GENE-991019-3,promoter of
ZDB-PUB-141015-1,ZDB-TGCONSTRCT-150218-2,ZDB-EREGION-110816-1,coding sequence of
ZDB-PUB-150108-9,ZDB-TGCONSTRCT-150313-3,ZDB-EFG-080214-1,coding sequence of
ZDB-PUB-150108-9,ZDB-TGCONSTRCT-150313-3,ZDB-GENE-980526-426,promoter of
ZDB-PUB-150108-9,ZDB-TGCONSTRCT-150313-3,ZDB-EFG-080319-1,coding sequence of
ZDB-PUB-150116-5,ZDB-TGCONSTRCT-150424-5,ZDB-GENE-980526-112,promoter of
ZDB-PUB-150116-5,ZDB-TGCONSTRCT-150424-5,ZDB-EFG-111118-1,coding sequence of
ZDB-PUB-141204-3,ZDB-TGCONSTRCT-150424-7,ZDB-GENE-040426-2246,promoter of
ZDB-PUB-141204-3,ZDB-TGCONSTRCT-150424-7,ZDB-EFG-140703-1,coding sequence of
ZDB-PUB-141210-12,ZDB-TGCONSTRCT-150430-2,ZDB-GENE-030131-7347,promoter of
ZDB-PUB-141210-12,ZDB-TGCONSTRCT-150430-2,ZDB-EFG-110613-3,coding sequence of
ZDB-PUB-130603-1,ZDB-TGCONSTRCT-130611-2,ZDB-EFG-070409-1,coding sequence of
ZDB-PUB-130603-1,ZDB-TGCONSTRCT-130611-2,ZDB-GENE-980526-112,promoter of
ZDB-PUB-130603-1,ZDB-TGCONSTRCT-130611-2,ZDB-EFG-120217-2,coding sequence of
ZDB-PUB-130603-1,ZDB-TGCONSTRCT-130611-2,ZDB-EFG-140307-1,coding sequence of
ZDB-PUB-130603-1,ZDB-TGCONSTRCT-130611-2,ZDB-EREGION-070122-1,promoter of
ZDB-PUB-130709-68,ZDB-TGCONSTRCT-130925-2,ZDB-EFG-120320-2,coding sequence of
