accession,feature_id,fmrel_type,marker_id,symbol,ensdarg
Q4L1M6,ZDB-ALT-070426-3,is allele of,ZDB-GENE-050114-2,lmx1bb,ENSDARG00000068365
Q4L1M6,ZDB-ALT-070426-3,is allele of,ZDB-GENE-050114-2,lmx1bb,ENSDARG00000068365
F1R986,ZDB-ALT-070427-1,is allele of,ZDB-GENE-011128-4,jag1b,ENSDARG00000013168
F1R986,ZDB-ALT-070427-1,is allele of,ZDB-GENE-011128-4,jag1b,ENSDARG00000013168
E7EZD4,ZDB-ALT-100129-108,contains phenotypic sequence feature,ZDB-TGCONSTRCT-100106-1,Tg(T2KXIG),ENSDARG00000070074
G9MDF3,ZDB-ALT-100129-108,contains phenotypic sequence feature,ZDB-TGCONSTRCT-100106-1,Tg(T2KXIG),ENSDARG00000070074
E7EZD4,ZDB-ALT-100129-108,contains phenotypic sequence feature,ZDB-TGCONSTRCT-100106-1,Tg(T2KXIG),ENSDARG00000070074
G9MDF3,ZDB-ALT-100129-108,contains phenotypic sequence feature,ZDB-TGCONSTRCT-100106-1,Tg(T2KXIG),ENSDARG00000070074
E7EZD4,ZDB-ALT-100129-108,contains phenotypic sequence feature,ZDB-TGCONSTRCT-100106-1,Tg(T2KXIG),ENSDARG00000070074
G9MDF3,ZDB-ALT-100129-108,contains phenotypic sequence feature,ZDB-TGCONSTRCT-100106-1,Tg(T2KXIG),ENSDARG00000070074
E7EZD4,ZDB-ALT-100129-108,contains phenotypic sequence feature,ZDB-TGCONSTRCT-100106-1,Tg(T2KXIG),ENSDARG00000070074
G9MDF3,ZDB-ALT-100129-108,contains phenotypic sequence feature,ZDB-TGCONSTRCT-100106-1,Tg(T2KXIG),ENSDARG00000070074
F1RBU8,ZDB-ALT-110412-12,contains innocuous sequence feature,ZDB-ETCONSTRCT-070628-1,Et(krt4:EGFP),ENSDARG00000046087
F8W2E9,ZDB-ALT-110412-12,contains innocuous sequence feature,ZDB-ETCONSTRCT-070628-1,Et(krt4:EGFP),ENSDARG00000046087
F8W3C9,ZDB-ALT-110412-12,contains innocuous sequence feature,ZDB-ETCONSTRCT-070628-1,Et(krt4:EGFP),ENSDARG00000046087
F1RBU8,ZDB-ALT-110412-12,contains innocuous sequence feature,ZDB-ETCONSTRCT-070628-1,Et(krt4:EGFP),ENSDARG00000046087
F8W2E9,ZDB-ALT-110412-12,contains innocuous sequence feature,ZDB-ETCONSTRCT-070628-1,Et(krt4:EGFP),ENSDARG00000046087
F8W3C9,ZDB-ALT-110412-12,contains innocuous sequence feature,ZDB-ETCONSTRCT-070628-1,Et(krt4:EGFP),ENSDARG00000046087
F1RBU8,ZDB-ALT-110412-12,contains innocuous sequence feature,ZDB-ETCONSTRCT-070628-1,Et(krt4:EGFP),ENSDARG00000046087
F8W2E9,ZDB-ALT-110412-12,contains innocuous sequence feature,ZDB-ETCONSTRCT-070628-1,Et(krt4:EGFP),ENSDARG00000046087
F8W3C9,ZDB-ALT-110412-12,contains innocuous sequence feature,ZDB-ETCONSTRCT-070628-1,Et(krt4:EGFP),ENSDARG00000046087
F1RBU8,ZDB-ALT-110412-12,contains innocuous sequence feature,ZDB-ETCONSTRCT-070628-1,Et(krt4:EGFP),ENSDARG00000046087
F8W2E9,ZDB-ALT-110412-12,contains innocuous sequence feature,ZDB-ETCONSTRCT-070628-1,Et(krt4:EGFP),ENSDARG00000046087
F8W3C9,ZDB-ALT-110412-12,contains innocuous sequence feature,ZDB-ETCONSTRCT-070628-1,Et(krt4:EGFP),ENSDARG00000046087
F1RBU8,ZDB-ALT-110412-12,contains innocuous sequence feature,ZDB-ETCONSTRCT-070628-1,Et(krt4:EGFP),ENSDARG00000046087
F8W2E9,ZDB-ALT-110412-12,contains innocuous sequence feature,ZDB-ETCONSTRCT-070628-1,Et(krt4:EGFP),ENSDARG00000046087
F8W3C9,ZDB-ALT-110412-12,contains innocuous sequence feature,ZDB-ETCONSTRCT-070628-1,Et(krt4:EGFP),ENSDARG00000046087
F1RBU8,ZDB-ALT-110412-12,contains innocuous sequence feature,ZDB-ETCONSTRCT-070628-1,Et(krt4:EGFP),ENSDARG00000046087
F8W2E9,ZDB-ALT-110412-12,contains innocuous sequence feature,ZDB-ETCONSTRCT-070628-1,Et(krt4:EGFP),ENSDARG00000046087
F8W3C9,ZDB-ALT-110412-12,contains innocuous sequence feature,ZDB-ETCONSTRCT-070628-1,Et(krt4:EGFP),ENSDARG00000046087
B0S5E5,ZDB-ALT-110412-13,contains innocuous sequence feature,ZDB-ETCONSTRCT-070628-1,Et(krt4:EGFP),ENSDARG00000057284
B0S5E5,ZDB-ALT-110412-13,contains innocuous sequence feature,ZDB-ETCONSTRCT-070628-1,Et(krt4:EGFP),ENSDARG00000057284
A0A0R4IW85,ZDB-ALT-110412-8,contains innocuous sequence feature,ZDB-ETCONSTRCT-070628-1,Et(krt4:EGFP),ENSDARG00000061603
A0A2R8PWS1,ZDB-ALT-110412-8,contains innocuous sequence feature,ZDB-ETCONSTRCT-070628-1,Et(krt4:EGFP),ENSDARG00000061603
A0A2R8QN78,ZDB-ALT-110412-8,contains innocuous sequence feature,ZDB-ETCONSTRCT-070628-1,Et(krt4:EGFP),ENSDARG00000061603
A0A2R8QP02,ZDB-ALT-110412-8,contains innocuous sequence feature,ZDB-ETCONSTRCT-070628-1,Et(krt4:EGFP),ENSDARG00000061603
B8A435,ZDB-ALT-110412-8,contains innocuous sequence feature,ZDB-ETCONSTRCT-070628-1,Et(krt4:EGFP),ENSDARG00000061603
B8A436,ZDB-ALT-110412-8,contains innocuous sequence feature,ZDB-ETCONSTRCT-070628-1,Et(krt4:EGFP),ENSDARG00000061603
B8A437,ZDB-ALT-110412-8,contains innocuous sequence feature,ZDB-ETCONSTRCT-070628-1,Et(krt4:EGFP),ENSDARG00000061603
B8A5F4,ZDB-ALT-110412-8,contains innocuous sequence feature,ZDB-ETCONSTRCT-070628-1,Et(krt4:EGFP),ENSDARG00000061603
