include	disk_filename	view	direction	form	preparation	fig_label	caption	note
Y	btbd11b_magenta_2d_emb2_260130_mIX_ventral_(RGB)_with lines.tif	ventral	anterior to the top	confocal single section	whole mount	btbd11b_magenta_2d_emb2_260130_mIX_ventral_(RGB)_with lines	btbd11b HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 48 hpf in glossopharyngeal motor neurons (CN IX)  (arrows). Circle: facial motor nucleus (CN VII). Single z-section in ventral view with anterior to the top.	auto-map r=0.91
Y	calca_magenta_48h_20250917_emb4_mX_ventral_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	calca_magenta_48h_20250917_emb4_mX_ventral_(RGB)	calca HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 48 hpf in vagus motor neurons (CN X). Single z-section in ventral view with anterior to the top.	exact
Y	calca_magenta_3dpf_20241105_emb1_ventral_mX_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	calca_magenta_3dpf_20241105_emb1_ventral_mX_(RGB)	calca HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 3 dpf in vagus motor neurons (CN X). Single z-section in ventral view with anterior to the top.	exact
Y	calca_magenta_3dpf_20241105_emb5_lateral_vagus_(RGB).tif	lateral	anterior to the top	confocal single section	whole mount	calca_magenta_3dpf_20241105_emb5_lateral_vagus_(RGB)	calca HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 3 dpf in vagal motor neurons (CN X). Single z-section in lateral view with anterior to the left.	exact
Y	calca_magenta_6dpf_emb1_20251031_mX_dorsal_flipped_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	calca_magenta_6dpf_emb1_20251031_mX_dorsal_flipped_(RGB)	calca HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 6 dpf in vagus motor neurons (CN X). Single z-section with ventral view with anterior to the top.	exact
Y	cdh5_48h_20250328__emb1_mIII_mIV_single(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	cdh5_48h_20250328__emb1_mIII_mIV_single(RGB)	cdh5 HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 48 hpf in oculomotor motor neurons (CN III) (bracket). Single z-section in ventral view with anterior to the top. Arrows indicate trochlear motor neurons (CN IV) and asterisks indicate cdh5 expression in endothelial cells.	exact
Y	cdh5_magenta_3dpf_emb3_20251117_mIII_ventral_(RGB)(1).tif	ventral	anterior to the top	confocal single section	whole mount	cdh5_magenta_3dpf_emb3_20251117_mIII_ventral_(RGB)(1)	cdh5 HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 3 dpf in oculomotor motor neurons (CN III). Single z-section in ventral view with anterior to the top.	auto-map r=0.99
Y	chrna3_magenta_28h_20250115_emb4_ventral_mVII_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	chrna3_magenta_28h_20250115_emb4_ventral_mVII_(RGB)	chrna3 HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 28 hpf in facial motor neurons (CN VII) that have migrated to hindbrain rhombomere (r)7 (arrows). Single z-section in ventral view with anterior to the top.	exact
Y	chrna3_magenta_48h_emb5_251209_mVII r7_ventral_PMT Light_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	chrna3_magenta_48h_emb5_251209_mVII r7_ventral_PMT Light_(RGB)	chrna3 HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 48 hpf in facial motor neurons (CN VII) in hindbrain rhombomeres (r)6 and r7. Single z-section in ventral view with anterior to the top.	exact
Y	chrna3_magenta_3dpf_20250930_emb2_mVII r7_ventral_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	chrna3_magenta_3dpf_20250930_emb2_mVII r7_ventral_(RGB)	chrna3 HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 3 dpf in facial motor neurons (CN VII) in hindbrain rhombomeres (r)6 and r7. Single z-section in ventral view with anterior to the top.	exact
Y	chrna3_magenta_6dpf_20250206_emb4_ventral_mVII r6_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	chrna3_magenta_6dpf_20250206_emb4_ventral_mVII r6_(RGB)	chrna3 HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 6 dpf in facial motor neurons (CN VII) in hindbrain rhombomeres (r)6 and r7. Single z-section in ventral view with anterior to the top. Circled: vagus motor neurons (CN X).	exact
Y	MAX_cntn2_28h_20250910_emb3_mV_ventral_(RGB).tif	ventral	anterior to the top	confocal maximum intensity projection	whole mount	MAX_cntn2_28h_20250910_emb3_mV_ventral_(RGB)	cntn2 HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 28 hpf in trigeminal motor neurons (CN V) in hindbrain rhombomere (r)3 and a subset of medial trigeminal motor neurons in r2.  Maximum intensity projection in ventral view with anterior to the top.	exact
Y	MAX_20251210_cntn2_26h_isl1Kaede_prim6_cbm_emb3_mVII.tif (RGB)-1.tif	ventral	anterior to the top	confocal maximum intensity projection	whole mount	MAX_20251210_cntn2_26h_isl1Kaede_prim6_cbm_emb3_mVII.tif (RGB)-1	cntn2 HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 26 hpf in migrating facial motor neurons (CN VII) in rhombomere (r)6 and r7. Maximum intensity projection in ventral view with anterior to the top. Asterisks: trigeminal motor neurons (mV) in r3; arrows: cranial sensory ganglia in the head periphery.	auto-map r=0.96
Y	cntn2_magenta_48h_20250815_emb5_mIV_ventral_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	cntn2_magenta_48h_20250815_emb5_mIV_ventral_(RGB)	cntn2 HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 48 hpf in trochlear motor neurons (CN IV, arrows). Bracket indicates oculomotor neurons (CN III). Single z-section in ventral view with anterior to the top.	exact
Y	cntn2_mangenta_48h_20250815_emb5_mV r3_ventral_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	cntn2_mangenta_48h_20250815_emb5_mV r3_ventral_(RGB)	cntn2 HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 48 hpf in trigeminal motor neurons (CN V) in hindbrain rhombomere (r)3 but not r2. Single z-section in ventral view with anterior to the top. Arrow: facial motor nerve genu (CN VII)	exact
N		ventral	anterior to the top	confocal single section	whole mount	cntn2_magenta_48h_20250815_emb2_mVII r6_ventral_(RGB)	cntn2 HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 48 hpf in facial motor neurons (CN VII) in hindbrain rhombomere (r)6 and r7. Single z-section in ventral view with anterior to the top.	SUPERSEDED - curator confirmed the disk image; loaded via the appended row for cntn2_magenta_48h_20250815_emb4_mVII r7_ventral_(RGB)
Y	cntn2_magenta_48hpf_emb2_20260114_mX_ventral_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	cntn2_magenta_48hpf_emb2_20260114_mX_ventral_(RGB)	cntn2 HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 48 hpf in vagus motor neurons (CN X). Single z-section in ventral view with anterior to the top.	exact
N		ventral	anterior to the top	confocal single section	whole mount	mnx2b_red_cntn2_magenta_48hpf_emb2_260114_mVI r5 and r6_ventral_(RGB)	cntn2 HCR (magenta), mnx2b (red), and Tg(isl1:GFP-CAAX) (green) at 48 hpf. Mnx2 is expressed in abducens motor neurons in hindbrain rhombomeres (r)5 and 6 (CN VI, arrows). Cntn2 is expressed in a subset of facial motor neurons in r6 (CN VII). Single z-section in ventral view with anterior to the top. Ovals: vagus motor neurons (CN X).	SUPERSEDED - resolved 2026-08-11 and loaded via the appended row at the end of this file (stem mnx2b_cyan_cntn2_magenta_48hpf_emb2_260114_mVII_mVI_ventral_annotated_(RGB)). Kept as the record of the original sheet row.
Y	cntn2_magenta_3dpf_20250108_emb4_ventral_mV r3_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	cntn2_magenta_3dpf_20250108_emb4_ventral_mV r3_(RGB)	cntn2 HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 3 dpf in trigeminal motor neurons (CN V) in hindbrain rhombomere (r)3 but not r2. Single z-section in ventral view with anterior to the top. Arrows: genu of the facial nerve (CN VII).	exact
