FishmiR Gene ID,Other Databases
FMDANRERM0262,ZDB-MIRNAG-091023-14
FMDANRERM0377,ZDB-MIRNAG-091023-3
FMDANRERM0385,ZDB-MIRNAG-091023-13
FMDANRERM0387,ZDB-MIRNAG-091023-17
FMDANRERM0389,ZDB-MIRNAG-091026-1
FMDANRERM0390,ZDB-MIRNAG-091026-5
FMDANRERM0393,ZDB-MIRNAG-150108-2
FMDANRERM0431,ZDB-MIRNAG-090929-205
FMDANRERM0433,ZDB-MIRNAG-131024-4
FMDANRERM0435,ZDB-MIRNAG-080506-7
FMDANRERM0448,ZDB-MIRNAG-150108-5
FMDANRERM0451,ZDB-MIRNAG-120906-2
FMDANRERM0464,ZDB-MIRNAG-090929-307
FMDANRERM0466,ZDB-MIRNAG-090929-311
FMDANRERM0467,ZDB-MIRNAG-090929-314
FMDANRERM0039,ZDB-MIRNAG-120906-7
FMDANRERM0048,ZDB-MIRNAG-090929-296
FMDANRERM0050,ZDB-MIRNAG-081203-19
FMDANRERM0092,ZDB-MIRNAG-090929-298
FMDANRERM0126,ZDB-MIRNAG-090929-189
FMDANRERM0130,ZDB-MIRNAG-190403-1
FMDANRERM0134,ZDB-MIRNAG-090929-194
FMDANRERM0136,ZDB-MIRNAG-091023-16
FMDANRERM0138,ZDB-MIRNAG-091026-4
FMDANRERM0187,ZDB-MIRNAG-190403-5
FMDANRERM0193,ZDB-MIRNAG-090929-37
FMDANRERM0204,ZDB-MIRNAG-090929-288
FMDANRERM0225,ZDB-MIRNAG-090929-319
FMDANRERM0227,ZDB-MIRNAG-150109-3
"FMDANRERM0001,FMDANRERM0240",ZDB-MIRNAG-041217-3
"FMDANRERM0001,FMDANRERM0241",ZDB-MIRNAG-041228-7
"FMDANRERM0001,FMDANRERM0242",ZDB-MIRNAG-041217-26
"FMDANRERM0001,FMDANRERM0243",ZDB-MIRNAG-050103-2
"FMDANRERM0001,FMDANRERM0244",ZDB-MIRNAG-081203-1
"FMDANRERM0001,FMDANRERM0245",ZDB-MIRNAG-081203-2
"FMDANRERM0002,FMDANRERM0246",ZDB-MIRNAG-081203-3
"FMDANRERM0002,FMDANRERM0246",ZDB-MIRNAG-141229-1
"FMDANRERM0003,FMDANRERM0247",ZDB-MIRNAG-081203-5
"FMDANRERM0003,FMDANRERM0247",ZDB-MIRNAG-081203-6
"FMDANRERM0004,FMDANRERM0247",ZDB-MIRNAG-050103-3
"FMDANRERM0004,FMDANRERM0247",ZDB-MIRNAG-081203-12
"FMDANRERM0005,FMDANRERM0248",ZDB-MIRNAG-050103-4
"FMDANRERM0005,FMDANRERM0248",ZDB-MIRNAG-141229-2
"FMDANRERM0006,FMDANRERM0249",ZDB-MIRNAG-081203-16
"FMDANRERM0007,FMDANRERM0250",ZDB-MIRNAG-081203-17
"FMDANRERM0007,FMDANRERM0251",ZDB-MIRNAG-081203-20
"FMDANRERM0008,FMDANRERM0252",ZDB-MIRNAG-081203-22
"FMDANRERM0009,FMDANRERM0253",ZDB-MIRNAG-081203-23
"FMDANRERM0010,FMDANRERM0254",ZDB-MIRNAG-081203-24
"FMDANRERM0011,FMDANRERM0255",ZDB-MIRNAG-081203-8
"FMDANRERM0011,FMDANRERM0256",ZDB-MIRNAG-090929-109
"FMDANRERM0012,FMDANRERM0257",ZDB-MIRNAG-090929-110
"FMDANRERM0013,FMDANRERM0258",ZDB-MIRNAG-090929-111
"FMDANRERM0014,FMDANRERM0259",ZDB-MIRNAG-081203-11
"FMDANRERM0015,FMDANRERM0259",ZDB-MIRNAG-141230-6
"FMDANRERM0016,FMDANRERM0260",ZDB-MIRNAG-220127-1
"FMDANRERM0017,FMDANRERM0261",ZDB-MIRNAG-090929-113
"FMDANRERM0018,FMDANRERM0263",ZDB-MIRNAG-220127-2
"FMDANRERM0019,FMDANRERM0264",ZDB-MIRNAG-220127-3
"FMDANRERM0020,FMDANRERM0265",ZDB-MIRNAG-041228-3
"FMDANRERM0021,FMDANRERM0266",ZDB-MIRNAG-041217-4
"FMDANRERM0021,FMDANRERM0267",ZDB-MIRNAG-070112-3
"FMDANRERM0022,FMDANRERM0268",ZDB-MIRNAG-070112-1
"FMDANRERM0023,FMDANRERM0269",ZDB-MIRNAG-070112-2
"FMDANRERM0024,FMDANRERM0297",ZDB-MIRNAG-041228-15
"FMDANRERM0033,FMDANRERM0297",ZDB-MIRNAG-081205-6
"FMDANRERM0025,FMDANRERM0270",ZDB-MIRNAG-050609-27
"FMDANRERM0026,FMDANRERM0271",ZDB-MIRNAG-081208-2
"FMDANRERM0027,FMDANRERM0271",ZDB-MIRNAG-081208-3
"FMDANRERM0027,FMDANRERM0271",ZDB-MIRNAG-081208-5
"FMDANRERM0028,FMDANRERM0271",ZDB-MIRNAG-081208-6
"FMDANRERM0027,FMDANRERM0271",ZDB-MIRNAG-081208-7
"FMDANRERM0029,FMDANRERM0271",ZDB-MIRNAG-081208-8
"FMDANRERM0030,FMDANRERM0272",ZDB-MIRNAG-081203-13
"FMDANRERM0030,FMDANRERM0273",ZDB-MIRNAG-081211-3
"FMDANRERM0031,FMDANRERM0274",ZDB-MIRNAG-081203-14
"FMDANRERM0031,FMDANRERM0275",ZDB-MIRNAG-081211-4
"FMDANRERM0031,FMDANRERM0276",ZDB-MIRNAG-090929-125
"FMDANRERM0032,FMDANRERM0277",ZDB-MIRNAG-090929-126
"FMDANRERM0034,FMDANRERM0278",ZDB-MIRNAG-090112-2
"FMDANRERM0034,FMDANRERM0279",ZDB-MIRNAG-091026-6
"FMDANRERM0035,FMDANRERM0280",ZDB-MIRNAG-081203-15
"FMDANRERM0036,FMDANRERM0280",ZDB-MIRNAG-081211-5
"FMDANRERM0037,FMDANRERM0280",ZDB-MIRNAG-141230-7
"FMDANRERM0038,FMDANRERM0281",ZDB-MIRNAG-081211-6
"FMDANRERM0038,FMDANRERM0281",ZDB-MIRNAG-141230-8
"FMDANRERM0038,FMDANRERM0282",ZDB-MIRNAG-081211-7
"FMDANRERM0038,FMDANRERM0282",ZDB-MIRNAG-141230-10
"FMDANRERM0040,FMDANRERM0283",ZDB-MIRNAG-041228-20
"FMDANRERM0041,FMDANRERM0284",ZDB-MIRNAG-090929-134
"FMDANRERM0042,FMDANRERM0285",ZDB-MIRNAG-090929-135
"FMDANRERM0042,FMDANRERM0285",ZDB-MIRNAG-090929-136
"FMDANRERM0043,FMDANRERM0286",ZDB-MIRNAG-081203-18
"FMDANRERM0044,FMDANRERM0286",ZDB-MIRNAG-081211-9
"FMDANRERM0045,FMDANRERM0287",ZDB-MIRNAG-070111-3
"FMDANRERM0045,FMDANRERM0287",ZDB-MIRNAG-081211-10
"FMDANRERM0046,FMDANRERM0288",ZDB-MIRNAG-090929-141
"FMDANRERM0047,FMDANRERM0289",ZDB-MIRNAG-090929-142
"FMDANRERM0049,FMDANRERM0290",ZDB-MIRNAG-090929-291
"FMDANRERM0050,FMDANRERM0291",ZDB-MIRNAG-081211-11
"FMDANRERM0051,FMDANRERM0292",ZDB-MIRNAG-081211-13
"FMDANRERM0051,FMDANRERM0292",ZDB-MIRNAG-081203-21
"FMDANRERM0053,FMDANRERM0293",ZDB-MIRNAG-091023-6
"FMDANRERM0052,FMDANRERM0294",ZDB-MIRNAG-081203-25
"FMDANRERM0052,FMDANRERM0295",ZDB-MIRNAG-150107-1
"FMDANRERM0054,FMDANRERM0296",ZDB-MIRNAG-081203-26
"FMDANRERM0055,FMDANRERM0298",ZDB-MIRNAG-081006-2
"FMDANRERM0056,FMDANRERM0299",ZDB-MIRNAG-080506-4
"FMDANRERM0057,FMDANRERM0300",ZDB-MIRNAG-090929-151
"FMDANRERM0058,FMDANRERM0300",ZDB-MIRNAG-090929-152
"FMDANRERM0059,FMDANRERM0301",ZDB-MIRNAG-090929-153
"FMDANRERM0060,FMDANRERM0302",ZDB-MIRNAG-090929-155
"FMDANRERM0061,FMDANRERM0303",ZDB-MIRNAG-090929-156
"FMDANRERM0062,FMDANRERM0304",ZDB-MIRNAG-090929-157
"FMDANRERM0063,FMDANRERM0305",ZDB-MIRNAG-090929-158
"FMDANRERM0064,FMDANRERM0306",ZDB-MIRNAG-090929-160
"FMDANRERM0065,FMDANRERM0306",ZDB-MIRNAG-150107-2
"FMDANRERM0066,FMDANRERM0307",ZDB-MIRNAG-081125-1
"FMDANRERM0067,FMDANRERM0308",ZDB-MIRNAG-090929-162
"FMDANRERM0068,FMDANRERM0309",ZDB-MIRNAG-081203-27
"FMDANRERM0069,FMDANRERM0310",ZDB-MIRNAG-090929-163
"FMDANRERM0070,FMDANRERM0311",ZDB-MIRNAG-090929-165
"FMDANRERM0071,FMDANRERM0312",ZDB-MIRNAG-090929-166
"FMDANRERM0072,FMDANRERM0313",ZDB-MIRNAG-081208-10
"FMDANRERM0072,FMDANRERM0314",ZDB-MIRNAG-050103-5
"FMDANRERM0073,FMDANRERM0315",ZDB-MIRNAG-081208-12
"FMDANRERM0074,FMDANRERM0316",ZDB-MIRNAG-081208-13
"FMDANRERM0075,FMDANRERM0317",ZDB-MIRNAG-081208-14
"FMDANRERM0076,FMDANRERM0318",ZDB-MIRNAG-041228-16
"FMDANRERM0077,FMDANRERM0319",ZDB-MIRNAG-071011-1
"FMDANRERM0078,FMDANRERM0320",ZDB-MIRNAG-091023-7
"FMDANRERM0079,FMDANRERM0321",ZDB-MIRNAG-050609-18
"FMDANRERM0079,FMDANRERM0322",ZDB-MIRNAG-081208-16
"FMDANRERM0080,FMDANRERM0323",ZDB-MIRNAG-041217-12
"FMDANRERM0080,FMDANRERM0324",ZDB-MIRNAG-081208-11
"FMDANRERM0080,FMDANRERM0325",ZDB-MIRNAG-150107-5
"FMDANRERM0080,FMDANRERM0326",ZDB-MIRNAG-150107-4
"FMDANRERM0080,FMDANRERM0327",ZDB-MIRNAG-150107-3
"FMDANRERM0081,FMDANRERM0328",ZDB-MIRNAG-041217-25
"FMDANRERM0081,FMDANRERM0329",ZDB-MIRNAG-081208-15
"FMDANRERM0081,FMDANRERM0330",ZDB-MIRNAG-150107-6
"FMDANRERM0082,FMDANRERM0331",ZDB-MIRNAG-041228-14
"FMDANRERM0083,FMDANRERM0332",ZDB-MIRNAG-220127-4
"FMDANRERM0084,FMDANRERM0333",ZDB-MIRNAG-041228-13
"FMDANRERM0085,FMDANRERM0334",ZDB-MIRNAG-041217-7
"FMDANRERM0086,FMDANRERM0335",ZDB-MIRNAG-090929-168
"FMDANRERM0086,FMDANRERM0335",ZDB-MIRNAG-090929-289
"FMDANRERM0087,FMDANRERM0336",ZDB-MIRNAG-041228-6
"FMDANRERM0088,FMDANRERM0337",ZDB-MIRNAG-081208-17
"FMDANRERM0089,FMDANRERM0338",ZDB-MIRNAG-081208-18
"FMDANRERM0090,FMDANRERM0339",ZDB-MIRNAG-081208-19
"FMDANRERM0091,FMDANRERM0340",ZDB-MIRNAG-090929-169
"FMDANRERM0093,FMDANRERM0341",ZDB-MIRNAG-090929-170
"FMDANRERM0094,FMDANRERM0342",ZDB-MIRNAG-041217-9
"FMDANRERM0095,FMDANRERM0343",ZDB-MIRNAG-090929-171
"FMDANRERM0095,FMDANRERM0343",ZDB-MIRNAG-090929-172
"FMDANRERM0096,FMDANRERM0344",ZDB-MIRNAG-090929-174
"FMDANRERM0097,FMDANRERM0345",ZDB-MIRNAG-070111-5
"FMDANRERM0098,FMDANRERM0346",ZDB-MIRNAG-090929-176
"FMDANRERM0099,FMDANRERM0347",ZDB-MIRNAG-041217-14
"FMDANRERM0099,FMDANRERM0348",ZDB-MIRNAG-041217-20
"FMDANRERM0100,FMDANRERM0349",ZDB-MIRNAG-081212-1
"FMDANRERM0101,FMDANRERM0347",ZDB-MIRNAG-050712-1
"FMDANRERM0102,FMDANRERM0350",ZDB-MIRNAG-050712-2
"FMDANRERM0103,FMDANRERM0351",ZDB-MIRNAG-041217-21
"FMDANRERM0103,FMDANRERM0351",ZDB-MIRNAG-150107-7
"FMDANRERM0103,FMDANRERM0352",ZDB-MIRNAG-081212-2
"FMDANRERM0103,FMDANRERM0351",ZDB-MIRNAG-041228-11
"FMDANRERM0104,FMDANRERM0353",ZDB-MIRNAG-050103-6
"FMDANRERM0104,FMDANRERM0353",ZDB-MIRNAG-141229-4
"FMDANRERM0105,FMDANRERM0354",ZDB-MIRNAG-080926-2
"FMDANRERM0106,FMDANRERM0354",ZDB-MIRNAG-141230-1
"FMDANRERM0107,FMDANRERM0355",ZDB-MIRNAG-081208-23
"FMDANRERM0108,FMDANRERM0356",ZDB-MIRNAG-081208-24
"FMDANRERM0109,FMDANRERM0357",ZDB-MIRNAG-070111-6
"FMDANRERM0110,FMDANRERM0358",ZDB-MIRNAG-080506-5
"FMDANRERM0111,FMDANRERM0359",ZDB-MIRNAG-080506-6
"FMDANRERM0112,FMDANRERM0360",ZDB-MIRNAG-090929-182
"FMDANRERM0113,FMDANRERM0361",ZDB-MIRNAG-041217-2
"FMDANRERM0114,FMDANRERM0362",ZDB-MIRNAG-090929-183
"FMDANRERM0115,FMDANRERM0363",ZDB-MIRNAG-041217-18
"FMDANRERM0115,FMDANRERM0364",ZDB-MIRNAG-081215-1
"FMDANRERM0115,FMDANRERM0365",ZDB-MIRNAG-081216-1
"FMDANRERM0116,FMDANRERM0366",ZDB-MIRNAG-041217-13
"FMDANRERM0117,FMDANRERM0367",ZDB-MIRNAG-050609-28
"FMDANRERM0118,FMDANRERM0367",ZDB-MIRNAG-090929-187
"FMDANRERM0119,FMDANRERM0368",ZDB-MIRNAG-050103-7
"FMDANRERM0119,FMDANRERM0369",ZDB-MIRNAG-141230-2
"FMDANRERM0120,FMDANRERM0370",ZDB-MIRNAG-081209-1
"FMDANRERM0121,FMDANRERM0371",ZDB-MIRNAG-041228-8
"FMDANRERM0122,FMDANRERM0372",ZDB-MIRNAG-041217-5
