Ensembl Transcript Symbol,Ensembl Transcript ID,Proposed ZFIN transcript name
fut9-202,ENSDART00000188386,si:ch1073-440p11.2-202
fut9-202,ENSDART00000104648,zgc:165582-202
tenm3-202,ENSDART00000122700,tenm3-202
tenm3-202,ENSDART00000184727,si:dkey-237h12.3-204
slc46a3-202,ENSDART00000181928,slc46a3-202
slc46a3-202,ENSDART00000193316,si:dkey-5g14.1-203
mchr2-202,ENSDART00000188328,mchr2b-202
mchr2-202,ENSDART00000180723,mchr2a-202
kcnt1-204,ENSDART00000182961,kcnt1a-204
kcnt1-204,ENSDART00000162804,kcnt1b-203
kcnt1-203,ENSDART00000181489,kcnt1a-203
kcnt1-203,ENSDART00000189898,kcnt1b-204
pkn2-202,ENSDART00000187291,pkn2b-203
pkn2-202,ENSDART00000185179,pkn2a-202
chst12-202,ENSDART00000158253,chst12b.5-202
chst12-202,ENSDART00000188891,chst12b.4-202
chst12-202,ENSDART00000163312,chst12b.2-202
cpne8-202,ENSDART00000188162,cpne8-202
cpne8-202,ENSDART00000187088,si:ch211-266c8.2-202
cabp4-202,ENSDART00000189926,si:cabz01076231.1-202
cabp4-202,ENSDART00000177174,cabp4-202
tenm2-203,ENSDART00000189846,tenm2b-203
tenm2-203,ENSDART00000157943,tenm2a-202
rapgef2-205,ENSDART00000169300,rapgef2b-205
rapgef2-205,ENSDART00000188893,rapgef2a-205
mfap4-203,ENSDART00000191532,mfap4.12-203
mfap4-203,ENSDART00000171497,mfap4.1-203
mfap4-203,ENSDART00000162201,mfap4.2-203
sgms1-203,ENSDART00000164885,sgms1b-203
sgms1-203,ENSDART00000034913,sgms1a-201
slc4a5-202,ENSDART00000042002,slc4a5a-201
slc4a5-202,ENSDART00000160976,slc4a5b-204
ENSDART00000130147.4,ENSDART00000130147,mepceb-202
ENSDART00000051907.7,ENSDART00000051907,mepceb-201
ENSDART00000189734.1,ENSDART00000189734,si:ch211-217a12.1-203
ENSDART00000163265.2,ENSDART00000163265,kcnmb3-202
ENSDART00000189630.1,ENSDART00000189630,atxn7l3b-202
ENSDART00000190237.1,ENSDART00000190237,znf423-207
ENSDART00000187095.1,ENSDART00000187095,znf423-203
ENSDART00000189493.1,ENSDART00000189493,znf423-205
ENSDART00000189345.1,ENSDART00000189345,znf423-204
ENSDART00000083296.6,ENSDART00000083296,znf423-208
ENSDART00000190203.1,ENSDART00000190203,znf423-206
ENSDART00000188201.1,ENSDART00000188201,hapstr1a-203
ENSDART00000181690.1,ENSDART00000181690,si:ch211-176g13.8-202
ENSDART00000179599.2,ENSDART00000179599,zgc:162193-202
ENSDART00000032326.7,ENSDART00000032326,cfap20dc-201
ENSDART00000168705.2,ENSDART00000168705,si:ch73-103b11.2-202
ENSDART00000184611.1,ENSDART00000184611,si:ch73-103b11.2-203
ENSDART00000193494.1,ENSDART00000193494,si:ch73-103b11.2-205
ENSDART00000190728.1,ENSDART00000190728,si:ch73-103b11.2-204
ENSDART00000186926.1,ENSDART00000186926,si:ch73-212j7.1-202
ENSDART00000092983.5,ENSDART00000092983,mazb-201
ENSDART00000009796.9,ENSDART00000009796,si:dkey-31m14.7-201
ENSDART00000192833.1,ENSDART00000192833,si:dkey-31m14.7-203
ENSDART00000190718.1,ENSDART00000190718,si:ch211-225b10.3-203
ENSDART00000192079.1,ENSDART00000192079,si:ch1073-55a19.2-203
ENSDART00000157154.3,ENSDART00000157154,si:ch1073-55a19.2-202
ENSDART00000187858.1,ENSDART00000187858,zgc:91944-204
ENSDART00000052101.7,ENSDART00000052101,zgc:91944-201
ENSDART00000161642,ENSDART00000161642,mfap4.3-202
ENSDART00000130791,ENSDART00000130791,mfap4.13-202
ENSDART00000164838,ENSDART00000164838,pamr1a-202
