tscriptid,ottdartid,ensdartid,comments
ZDB-TSCRIPT-090929-6,OTTDART00000001381,ENSDART00000144412.2,,
ZDB-TSCRIPT-090929-8,OTTDART00000001383,ENSDART00000142990.3,,
ZDB-TSCRIPT-090929-9,OTTDART00000001384,ENSDART00000132258.4,,
ZDB-TSCRIPT-090929-22764,OTTDART00000001788,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-18,OTTDART00000001789,,"transcript not in Ensembl. Withdrawn, Link to Vega suggests this is an AB transcript.",
ZDB-TSCRIPT-090929-23051,OTTDART00000001790,,"transcript not in Ensembl. Withdrawn, Link to Vega suggests this is an AB transcript.",
ZDB-TSCRIPT-090929-22477,OTTDART00000001792,,"transcript not in Ensembl. Withdrawn, Link to Vega suggests this is an AB transcript.",
ZDB-TSCRIPT-090929-35,OTTDART00000002023,ENSDART00000057600.5,,
ZDB-TSCRIPT-090929-36,OTTDART00000002024,ENSDART00000148228.3,,
ZDB-TSCRIPT-090929-56,OTTDART00000002056,ENSDART00000141232.3,,
ZDB-TSCRIPT-090929-74,OTTDART00000002085,ENSDART00000141666.3,,
ZDB-TSCRIPT-090929-155,OTTDART00000002289,ENSDART00000169734.2,,
ZDB-TSCRIPT-090929-156,OTTDART00000002290,ENSDART00000167307.2,,
ZDB-TSCRIPT-090929-157,OTTDART00000002291,ENSDART00000159378.2,,
ZDB-TSCRIPT-090929-173,OTTDART00000002307,ENSDART00000145166.2,,
ZDB-TSCRIPT-090929-265,OTTDART00000004424,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-272,OTTDART00000004464,ENSDART00000124899.3,,
ZDB-TSCRIPT-090929-279,OTTDART00000004471,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-296,OTTDART00000004537,ENSDART00000147174.2,,
ZDB-TSCRIPT-090929-299,OTTDART00000004665,ENSDART00000143546.2,,
ZDB-TSCRIPT-090929-301,OTTDART00000004668,,transcript not in Ensembl. Withdrawn,
