cneid,zfishchr,cnename
bnc2.8570,1,bnc2_8570
bnc2.8642,1,bnc2_8642
uncx.9830,3,uncx_9830
foxp2.3531,4,foxp2_3531
foxp2.3468,4,foxp2_3468
znf703.10897,5,znf703_10897
znf703.10876,5,znf703_10876
nr4a2b.2390,6,nr4a2b_2390
barhl2.3932,6,barhl2_3932
barhl2.3939,6,barhl2_3939
lmo4.2659,6,lmo4_2659
sox14.11250,6,sox14_11250
foxd3.365,6,foxd3_365
foxd3.330,6,foxd3_330
foxd3.327,6,foxd3_327
foxd3.308,6,foxd3_308
foxp1.906,6,foxp1_906
foxp1.892,6,foxp1_892
foxp1.887,6,foxp1_887
foxp1.885,6,foxp1_885
sox6.2298,7,sox6_2298
lmo1.6396,7,lmo1_6396
irx3/5/6.7352,7,irx3/5/6_7352
tshz3.7761,7,tshz3_7761
tshz3.7689,7,tshz3_7689
atbf1.5817,7,atbf1_5817
pbx3b.3253,8,pbx3b_3253
pbx3b.3244,8,pbx3b_3244
pbx3b.3212/3,8,pbx3b_3212/3
pbx3b.3211,8,pbx3b_3211
pbx3b.3200,8,pbx3b_3200
hoxd.10520/1,9,hoxd_10520/1
hoxd.10498,9,hoxd_10498
hoxd.10483,9,hoxd_10483
hoxd.10482,9,hoxd_10482
hoxd.10479,9,hoxd_10479
hoxd.10470,9,hoxd_10470
dlx1.6882,9,dlx1_6882
dachd.11206,9,dachd_11206
dachd.227,9,dachd_227
dachd.229,9,dachd_229
dachd.232,9,dachd_232
dachd.240,9,dachd_240
shox.11103,9,shox_11103
fign.5158,9,fign_5158
fign.5161,9,fign_5161
fign.5108,9,fign_5108
auts2.8975,10,auts2_8975
auts2.8971,10,auts2_8971
tcf7l2.5398,12,tcf7l2_5398
ebf3.3763,12,ebf3_3763
meis1.1705,13,meis1_1705
znf503.10105,13,znf503_10105
znf503.10147,13,znf503_10147
znf503.10156,13,znf503_10156
znf503.10049,13,znf503_10049
znf503.10193,13,znf503_10193
znf503.10196,13,znf503_10196
emx2.4543,13,emx2_4543
emx2.4548,13,emx2_4548
bcl11a.2446,13,bcl11a_2446
pax2a.135,13,pax2a_135
pax2a.90,13,pax2a_90
pax2a.174,13,pax2a_174
shox2.5643,15,shox2_5643
shox2.5627,15,shox2_5627
evi1.11239,15,evi1_11239
evi1.10731,15,evi1_10731
evi1.10711,15,evi1_10711
irx1/2/4.6679,16,irx1/2/4_6679
sall3a.2991,16,sall3a_2991
sall3a.3016,16,sall3a_3016
pou3f2b.9802,16,pou3f2b_9802
pou3f1.7785,16,pou3f1_7785
fog2.3620,16,fog2_3620
satb1.5966,16,satb1_5966
bcl11b.4483,17,bcl11b_4483
hmx2.9741,17,hmx2_9741
hmx2.9713,17,hmx2_9713
hmx2.9711/2,17,hmx2_9711/2
esrrg.9376,17,esrrg_9376
pax1a.10260,17,pax1a_10260
esrrb.9004,17,esrrb_9004
esrrb.9024,17,esrrb_9024
esrrb.9032,17,esrrb_9032
meis2a.957/8,17,meis2a_957/8
meis2a.960,17,meis2a_960
meis2a.962/3,17,meis2a_962/3
meis2a.965,17,meis2a_965
meis2a.974,17,meis2a_974
meis2a.982,17,meis2a_982
meis2a.983,17,meis2a_983
meis2a.984/5/6,17,meis2a_984/5/6
meis2a.1025,17,meis2a_1025
meis2a.1042,17,meis2a_1042
meis2a.1043/4,17,meis2a_1043/4
meis2a.1089,17,meis2a_1089
nr2f2.8394,18,nr2f2_8394
maf.11498,18,maf_11498
hoxa.12006,19,hoxa_12006
hoxa.12003,19,hoxa_12003
tshz1.8799,19,tshz1_8799
tshz1.8800,19,tshz1_8800
tshz1.8804,19,tshz1_8804
cst.9947,23,cst_9947
cst.9931,23,cst_9931
tshz2.8749,23,tshz2_8749
zic1.5763,24,zic1_5763
zic1.5745,24,zic1_5745
pou6f2.1568,24,pou6f2_1568
gli3.2148,24,gli3_2148
bhlhb5.9206,24,bhlhb5_9206
foxb1.5486,25,foxb1_5486
