NOMENCLATURE,NAME,size bp,genbank #,old name,vector,PCR,VL #
NR1A1-A,TRalpha-A,900,NM_131396,TR alpha A  (VL1),pBS-KS,PU-RP/T7,VL01
NR1A1-B,TRalpha-B,896,DQ017632,TR alpha B (VL24),pBS-KS,PU-RP/T3,VL24
NR1A2,TRbeta,834,NM_131340,TR béta  (VL2),pBS-KS,PU-RP/T3,VL02
NR1B1-A,RARalpha-A,1000,S74155,RAR alpha A (VL3),pBS-KS,PU-RP/T3,VL03
NR1B1-B,RARalpha-B,1500,L03399,RAR alpha B (VL25),pCRII-Topo,AGP214/PU-T7,VL25
NR1B3-A,RARgamma-A,1290,NM_131339,RAR gamma (VL4),pBS-KS,PU-RP/T3,VL04
NR1B3-B,RARgamma-B,,DQ017621,RAR gamma B (VL94),pBS-KS,PU-RP/T3,VL94
NR1C1-A,PPARalpha-A,1023,DQ017612,PPAR alpha A (VL8),pBS-KS,PU-RP/T3,VL08
NR1C1-B,PPARalpha-B,962,DQ017618,PPAR alpha B (VL9),pBS-KS,PU-RP/T3,VL09
NR1C2-A,PPARbeta-A,980,AF342937,PPAR beta A (VL10),pCRII-Topo,AGP214-PU/T7,VL10
NR1C2-B,PPARbeta-B,1107,AF342938,PPAR beta B (VL11),pBS-KS,PU-RP/T3,VL11
NR1C3,PPARgamma,925,DQ017619,PPAR gamma  (VL47),pBS,PU-RP/T3,VL47
NR1D1,Reverbalpha,1362,AY391444,Reverb alpha (VL19),pBS-KS,PU-RP/T7,VL19
NR1D2-A,Reverbbeta-A,1125,AF342941,Rev-erb béta A (VL20),pBS-KS,PU-RP/T7,VL20
NR1D2-B,Reverbbeta-B,1079,AF342942,Reverb beta B (VL21),pBS-KS,PU-RP/T7,VL21
NR1D4-A,Reverbgamma-A,,DQ017622,Reverb gamma A (VL95),pBS-KS,PU-RP/T3,VL95
NR1D4-A,Reverbgamma-B,,DQ017623,ReverbGammaB (X) (VL96),pBS-SK+,PU-RP/T3,VL96
NR1F1-A,RORalpha-A,745,NM_201067,ROR alpha A (VL31),pBS-KS,PU-RP/T3,VL31
NR1F1-B,RORalpha-B,687,DQ017624,ROR alpha-B (VL74),pBS-KS,PU-RP/T3,VL74
