"sfclg_chromosome","sfclg_data_zdb_id","sfclg_pk_id","sfclg_acc_num","sfclg_start","sfclg_end","sfclg_location_source","sfclg_location_subsource","sfclg_fdb_db_id","sfclg_pub_zdb_id","sfclg_assembly","sfclg_gbrowse_track","sfclg_evidence_code"
"20","ZDB-BAC-041007-178","573603193","AL845420.7","42951660","43095592","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-071002-1","573597754","CU179747.6","241093","401524","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-FOSMID-100127-0434","573597748","CU651657.10","1","42124","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-FOSMID-100920-156","573597749","FP475876.7","42125","79681","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-100127-443","573597801","CU571320.9","6445975","6543687","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-050218-2","573597802","AL929396.19","6543688","6680301","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-100127-444","573597803","CU302223.11","6686588","6810547","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-060503-738","573597804","BX927062.11","6810548","6962733","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-100920-2","573597805","CU928069.11","6962734","6994949","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-100920-135","573597806","CU929161.8","6994950","7082955","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-100127-450","573597807","CU972514.6","7198890","7309079","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-100127-451","573597808","CU928072.8","7412248","7492226","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-090114-10","573597809","CT998565.24","7492227","7661429","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-100127-452","573597810","CU861653.11","7661430","7685670","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-060614-208","573597811","BX908756.12","7685671","7816846","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-070726-3","573597812","CR855320.18","7886047","8046803","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-050218-11","573597813","BX470266.11","8046804","8195506","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-070726-2","573597814","CT573257.11","8195507","8238581","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-100127-453","573597815","CU539138.16","8238582","8313447","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-060614-207","573597816","CR933522.11","8313448","8386176","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-050218-10","573597817","AL928835.6","8386177","8535516","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
"1","ZDB-BAC-050218-9","573597818","AL928650.5","8535517","8712079","AGP Load","GRCz11.agp:checksum:LnZoWj62NjGZ670IAwiUCFPWFEP/2u6C/R2pCaxUY5U=",,,"GRCz11",,
