alleleid,accid
sa32794,ENSDARG00000040928
sa44855,ENSDARG00000088018
sa44859,ENSDARG00000036284
sa44862,ENSDARG00000086404
sa44877,ENSDARG00000077805
sa44932,ENSDARG00000093477
sa44963,ENSDARG00000069895
sa44976,ENSDARG00000086731
sa44977,ENSDARG00000060458
sa44994,ENSDARG00000018648
sa45022,ENSDARG00000094325
sa45025,ENSDARG00000079349
sa45026,ENSDARG00000086694
sa32794,ENSDARG00000040928
sa33052,ENSDARG00000091044
sa33289,ENSDARG00000075992
sa33787,ENSDARG00000078641
sa34223,ENSDARG00000079014
sa34983,ENSDARG00000054534
sa35018,ENSDARG00000088362
sa35624,ENSDARG00000075935
sa36103,ENSDARG00000059905
sa36237,ENSDARG00000077103
sa36270,ENSDARG00000069929
sa36554,ENSDARG00000090925
sa36808,ENSDARG00000088572
sa37207,ENSDARG00000088043
sa37397,ENSDARG00000060458
sa37659,ENSDARG00000074093
sa44501,ENSDARG00000087737
sa44504,ENSDARG00000034105
sa44517,ENSDARG00000036281
sa44518,ENSDARG00000090020
sa44519,ENSDARG00000076795
sa44552,ENSDARG00000089006
sa44556,ENSDARG00000077651
sa44587,ENSDARG00000087940
sa44606,ENSDARG00000087272
sa44624,ENSDARG00000089842
sa44628,ENSDARG00000091603
sa44648,ENSDARG00000059899
sa44654,ENSDARG00000010940
sa44694,ENSDARG00000079822
sa44699,ENSDARG00000063695
sa44720,ENSDARG00000040535
sa44723,ENSDARG00000074139
sa44738,ENSDARG00000077508
sa44748,ENSDARG00000054527
sa44767,ENSDARG00000009624
sa44789,ENSDARG00000086970
sa44790,ENSDARG00000086970
sa44850,ENSDARG00000056339
sa44855,ENSDARG00000088018
sa44859,ENSDARG00000036284
sa44862,ENSDARG00000086404
sa44877,ENSDARG00000077805
sa44932,ENSDARG00000093477
sa44963,ENSDARG00000069895
sa44976,ENSDARG00000086731
sa44977,ENSDARG00000060458
sa44994,ENSDARG00000018648
sa45022,ENSDARG00000094325
sa45025,ENSDARG00000079349
sa45026,ENSDARG00000086694
