si:ch211-64i20.6 [Source:ZFIN;Acc:ZDB-GENE-141212-85]
si:cabz01044765.1 [Source:ZFIN;Acc:ZDB-GENE-160114-21]
si:cabz01044764.1 [Source:ZFIN;Acc:ZDB-GENE-160114-43]
si:ch211-213i16.2 [Source:ZFIN;Acc:ZDB-GENE-041014-185]
si:ch211-213i16.3 [Source:ZFIN;Acc:ZDB-GENE-041014-184]
si:dkey-149m13.3 [Source:ZFIN;Acc:ZDB-GENE-110914-4]
si:ch211-178j18.3 [Source:ZFIN;Acc:ZDB-GENE-110914-146]
si:dkey-248e17.7 [Source:ZFIN;Acc:ZDB-GENE-131127-609]
si:dkey-248e17.2 [Source:ZFIN;Acc:ZDB-GENE-131122-31]
si:dkey-188h10.3 [Source:ZFIN;Acc:ZDB-GENE-030131-376]
si:ch1073-189m3.1 [Source:ZFIN;Acc:ZDB-GENE-131127-150]
si:dkey-204l2.4 [Source:ZFIN;Acc:ZDB-GENE-131121-143]
si:ch211-256e16.9 [Source:ZFIN;Acc:ZDB-GENE-131126-32]
si:ch211-194i10.6 [Source:ZFIN;Acc:ZDB-GENE-131121-266]
si:ch211-165g14.3 [Source:ZFIN;Acc:ZDB-GENE-131127-146]
si:ch73-281f12.1 [Source:ZFIN;Acc:ZDB-GENE-131127-502]
si:ch73-281f12.1 [Source:ZFIN;Acc:ZDB-GENE-131127-502]
si:zfos-1833e7.2 [Source:ZFIN;Acc:ZDB-GENE-131122-87]
si:zfos-1833e7.4 [Source:ZFIN;Acc:ZDB-GENE-131122-88]
si:zfos-1833e7.5 [Source:ZFIN;Acc:ZDB-GENE-131120-114]
si:ch1073-78m18.1 [Source:ZFIN;Acc:ZDB-GENE-131120-72]
si:ch1073-78m18.1 [Source:ZFIN;Acc:ZDB-GENE-131120-72]
si:ch73-281f12.2 [Source:ZFIN;Acc:ZDB-GENE-131127-280]
si:ch1073-384e4.1 [Source:ZFIN;Acc:ZDB-GENE-131121-345]
microRNA 196b [Source:ZFIN;Acc:ZDB-GENE-081212-1]
microRNA 196a-1 [Source:ZFIN;Acc:ZDB-GENE-041217-14]
microRNA 99-2 [Source:ZFIN;Acc:ZDB-GENE-081205-2]
microRNA 1-1 [Source:ZFIN;Acc:ZDB-GENE-041228-15]
