ENSDARG ID,Gene Abbreviation
ENSDARG00000052818,smcr8a
ENSDARG00000008723,prkcba
ENSDARG00000078141,ELFN1 (2 of 2)
ENSDARG00000078866,sdk1a
ENSDARG00000052736,AL929291.1
ENSDARG00000034473,TTYH3 (2 of 2)
ENSDARG00000079348,GRIN2B (2 of 2)
ENSDARG00000058848,mcoln1b
ENSDARG00000086543,BX284638.2
ENSDARG00000060184,pkn1
ENSDARG00000061836,nfixb
ENSDARG00000017193,cnn1a
ENSDARG00000075141,gprc5bb
ENSDARG00000024708,
ENSDARG00000070956,tecra
ENSDARG00000070973,GCGR (2 of 2)
ENSDARG00000038768,mrpl12
ENSDARG00000052555,metrnl
ENSDARG00000004633,EPN3 (1 of 2)
ENSDARG00000026383,si:dkey-27j5.5
ENSDARG00000025757,zgc:64085
ENSDARG00000017255,tmed1b
ENSDARG00000020270,DNM2 (1 of 2)
ENSDARG00000013695,rdh8b
ENSDARG00000042988,SLC24A2 (1 of 2)
ENSDARG00000014273,camk2d2
ENSDARG00000077157,synpo2b
ENSDARG00000069701,lgi2b
ENSDARG00000020857,ccdc149b
ENSDARG00000079281,TESK1 (2 of 2)
ENSDARG00000054786,faah2b
ENSDARG00000074600,gpr78
ENSDARG00000030269,grtp1b
ENSDARG00000058996,jam2a
ENSDARG00000040898,gpa33
ENSDARG00000078172,PTGFRN (2 of 2)
ENSDARG00000010376,
ENSDARG00000006526,fn1b
ENSDARG00000074254,abcb6b
ENSDARG00000075858,fam155a
ENSDARG00000074117,CCKBR (1 of 2)
ENSDARG00000055839,MARCH4 (1 of 2)
ENSDARG00000070028,tmem41aa
ENSDARG00000076309,mxra5b
ENSDARG00000002190,chmp2bb
ENSDARG00000015506,klf5a
ENSDARG00000075859,mcf2la
ENSDARG00000069485,spryd7b
ENSDARG00000043271,morc3b
ENSDARG00000069451,cx50.5
ENSDARG00000039576,fstl1b
ENSDARG00000069953,kcnq5b
ENSDARG00000077021,calhm1
ENSDARG00000079011,col17a1b
ENSDARG00000012574,slkb
