cne,chr,startchr,chrend
bnc2.8570,1,25944855,25945224
bnc2.8642,1,26759835,26760131
uncx.9830,3,43264278,43264883
foxp2.3531,4,5797297,5797827
foxp2.3468,4,5891181,5891278
znf703.10897,5,25991875,25992115
znf703.10876,5,26134939,26135234
nr4a2b.2390,6,12380163,12380458
barhl2.3932,6,20917665,20918028
barhl2.3939,6,20947036,20947275
lmo4.2659,6,25680231,25680623
sox14.11250,6,26470781,26470986
foxd3.365,6,31818728,31818814
foxd3.330,6,31915136,31915524
foxd3.327,6,31928008,31928216
foxd3.308,6,31975579,31975778
foxp1.906,6,43559892,43560484
foxp1.892,6,43591324,43591618
foxp1.887,6,43599810,43600061
foxp1.885,6,43608177,43608280
sox6.2298,7,28568679,28569134
lmo1.6396,7,29489901,29490545
irx3/5/6.7352,7,37292848,37293037
tshz3.7761,7,47907281,47907545
tshz3.7689,7,48388209,48388447
atbf1.5817,7,70526489,70526541
pbx3b.3253,8,34305201,34305487
pbx3b.3244,8,34521095,34521332
pbx3b.3212/3,8,34833925,34834422
pbx3b.3211,8,34837741,34838387
pbx3b.3200,8,34880252,34880550
hoxd.10520/1,9,2051337,2052476
hoxd.10498,9,2150237,2150677
hoxd.10483,9,2229379,2229552
hoxd.10482,9,2242755,2242972
hoxd.10479,9,2272056,2272403
hoxd.10470,9,2304340,2304587
dlx1.6882,9,3776449,3776708
dachd.11206,9,31878398,31878784
dachd.227,9,31977850,31978037
dachd.229,9,31983547,31983797
dachd.232,9,31986047,31986492
dachd.240,9,32026856,32027138
shox.11103,9,35707682,35708032
fign.5158,9,51696417,51696703
fign.5161,9,51769339,51769822
fign.5108,9,52109788,52110239
auts2.8975,10,27916810,27917084
auts2.8971,10,27928961,27929137
tcf7l2.5398,12,32700732,32701428
ebf3.3763,12,44237815,44237887
meis1.1705,13,5154678,5155060
znf503.10105,13,17178849,17179157
znf503.10147,13,17323780,17324188
znf503.10156,13,17371825,17372350
znf503.10049,13,17472198,17472432
znf503.10193,13,17573753,17574151
znf503.10196,13,17579861,17580019
emx2.4543,13,19542110,19542480
emx2.4548,13,19564746,19565045
bcl11a.2446,13,26872815,26872983
pax2a.135,13,29903178,29903432
pax2a.90,13,30008403,30008853
pax2a.174,13,30039872,30040118
shox2.5643,15,2132353,2132810
shox2.5627,15,2230556,2230711
evi1.11239,15,34690445,34690637
evi1.10731,15,34693969,34694043
evi1.10711,15,34887724,34888193
irx1/2/4.6679,16,742859,743180
sall3a.2991,16,7650316,7650538
sall3a.3016,16,7692856,7693152
pou3f2b.9802,16,34702796,34703234
pou3f1.7785,16,35670348,35670630
fog2.3620,16,46976853,46977169
satb1.5966,16,52764540,52764928
bcl11b.4483,17,18231076,18231171
hmx2.9741,17,21512882,21513366
hmx2.9713,17,21625400,21625608
hmx2.9711/2,17,21628385,21629302
esrrg.9376,17,29869039,29869153
pax1a.10260,17,42744763,42745388
esrrb.9004,17,52633910,52634281
esrrb.9024,17,52778929,52779199
esrrb.9032,17,52915269,52915566
meis2a.957/8,17,53219503,53220067
meis2a.960,17,53234172,53234312
meis2a.962/3,17,53237966,53238476
meis2a.965,17,53268055,53268301
meis2a.974,17,53307466,53307709
meis2a.982,17,53323434,53323716
meis2a.983,17,53325167,53325402
meis2a.984/5/6,17,53327627,53328304
meis2a.1025,17,53346606,53346967
meis2a.1042,17,53374038,53374602
meis2a.1043/4,17,53374547,53374777
meis2a.1089,17,53527226,53527450
nr2f2.8394,18,23841641,23841860
maf.11498,18,29644566,29644811
hoxa.12006,19,19246870,19247083
hoxa.12003,19,19320206,19320785
tshz1.8799,19,21850918,21851122
tshz1.8800,19,21852972,21853265
tshz1.8804,19,21864149,21864312
cst.9947,23,29346194,29346469
cst.9931,23,29549792,29550194
tshz2.8749,23,38596905,38597398
zic1.5763,24,4915011,4915397
zic1.5745,24,4986067,4986313
pou6f2.1568,24,9930608,9930899
gli3.2148,24,11417158,11417244
bhlhb5.9206,,25277218,25277352
foxb1.5486,25,35264549,35264663
