tscriptid,ottdartid,ensdartid,comments
ZDB-TSCRIPT-090929-19784,OTTDART00000039491,ENSDART00000140068.2,
ZDB-TSCRIPT-090929-11227,OTTDART00000028782,ENSDART00000165499.2,
ZDB-TSCRIPT-090929-11229,OTTDART00000028784,ENSDART00000157420.2,
ZDB-TSCRIPT-090929-19794,OTTDART00000039503,ENSDART00000133282.2,
ZDB-TSCRIPT-090929-19798,OTTDART00000039509,,transcript not in Ensembl. Withdrawn
ZDB-TSCRIPT-090929-19799,OTTDART00000039510,,transcript not in Ensembl. Withdrawn
ZDB-TSCRIPT-110325-1851,OTTDART00000039516,ENSDART00000149512.2,
ZDB-TSCRIPT-110325-40,OTTDART00000039517,ENSDART00000149564.3,
ZDB-TSCRIPT-090929-19817,OTTDART00000039539,ENSDART00000144815.2,
ZDB-TSCRIPT-141209-2611,OTTDART00000039540,ENSDART00000165815.2,
ZDB-TSCRIPT-090929-19818,OTTDART00000039541,ENSDART00000135614.2,
ZDB-TSCRIPT-090929-19819,OTTDART00000039542,ENSDART00000136335.3,
ZDB-TSCRIPT-090929-19829,OTTDART00000039552,ENSDART00000135048.3,
ZDB-TSCRIPT-141209-170,OTTDART00000039553,ENSDART00000163410.2,
ZDB-TSCRIPT-090929-19831,OTTDART00000039555,ENSDART00000137942.2,
ZDB-TSCRIPT-131113-42,OTTDART00000039560,ENSDART00000156247.3,
ZDB-TSCRIPT-131113-1642,OTTDART00000039562,ENSDART00000155411.2,
ZDB-TSCRIPT-090929-19846,OTTDART00000039582,ENSDART00000141372.2,
ZDB-TSCRIPT-090929-19849,OTTDART00000039585,ENSDART00000140594.2,
ZDB-TSCRIPT-090929-19866,OTTDART00000039602,ENSDART00000140574.2,
ZDB-TSCRIPT-090929-19869,OTTDART00000039605,,transcript not in Ensembl. Withdrawn
ZDB-TSCRIPT-090929-19922,OTTDART00000039660,ENSDART00000138705.2,
ZDB-TSCRIPT-090929-19929,OTTDART00000039667,ENSDART00000144951.2,
ZDB-TSCRIPT-090929-19937,OTTDART00000039675,ENSDART00000141394.3,
ZDB-TSCRIPT-090929-23048,OTTDART00000039682,,transcript not in Ensembl. Withdrawn
ZDB-TSCRIPT-090929-19948,OTTDART00000039689,ENSDART00000141363.3,
ZDB-TSCRIPT-090929-19969,OTTDART00000039711,ENSDART00000134025.2,
ZDB-TSCRIPT-090929-19986,OTTDART00000039728,ENSDART00000138231.4,
ZDB-TSCRIPT-090929-19988,OTTDART00000039730,ENSDART00000146407.3,
ZDB-TSCRIPT-090929-19992,OTTDART00000039739,ENSDART00000142796.2,
ZDB-TSCRIPT-090929-19998,OTTDART00000039747,ENSDART00000145158.2,
ZDB-TSCRIPT-090929-19999,OTTDART00000039748,ENSDART00000134179.3,
ZDB-TSCRIPT-090929-20011,OTTDART00000039760,ENSDART00000013057.8,
ZDB-TSCRIPT-090929-20027,OTTDART00000039777,ENSDART00000133294.2,
ZDB-TSCRIPT-090929-20045,OTTDART00000039795,ENSDART00000148458.2,
ZDB-TSCRIPT-141209-1397,OTTDART00000039834,ENSDART00000166671.2,
ZDB-TSCRIPT-090929-20088,OTTDART00000039844,ENSDART00000164330.2,
ZDB-TSCRIPT-090929-20095,OTTDART00000039851,ENSDART00000143328.3,
ZDB-TSCRIPT-090929-20096,OTTDART00000039852,ENSDART00000138683.3,
ZDB-TSCRIPT-090929-20097,OTTDART00000039853,ENSDART00000138683.3,
