Gene stable ID	UniProtKB/Swiss-Prot ID	UniProtKB/TrEMBL ID
ENSDARG00000063895	Q9MIZ0	
ENSDARG00000063899	Q9MIY9	A0A0A0V9A1
ENSDARG00000063905	Q9MIY8	A0A0A0VG02
ENSDARG00000063908	Q9MIY7	A0A0A0VG08
ENSDARG00000063910	Q9MIY6	A0A0A0V9A8
ENSDARG00000063911	Q9MIY5	A0A0A0VDB1
ENSDARG00000063912	Q9MIY4	
ENSDARG00000063914	Q9MIY3	
ENSDARG00000063916	Q9MIY2	A0A0A0VA51
ENSDARG00000063917	Q9MIY1	
ENSDARG00000063921	Q9MIY0	
ENSDARG00000063922	Q9MIX9	A0A0A0VG13
ENSDARG00000063924	Q9MIX8	A0A0A0VDB5
ENSDARG00000105734		
ENSDARG00000067825		I3IRX5
ENSDARG00000033296		Q5RGR7
ENSDARG00000067825		E7F9H2
ENSDARG00000068194		A2BGS7
ENSDARG00000012051	Q5BLD8	
ENSDARG00000039066	Q6Q7X9	A2RRU8
ENSDARG00000045893	Q5XJ34	
ENSDARG00000045893		G1K2P0
ENSDARG00000039066	Q6Q7X9	A2RRU8
ENSDARG00000058410	A5WV69	
ENSDARG00000053127		B0UYS3
ENSDARG00000039066	Q6Q7X9	A2RRU8
ENSDARG00000058410	A5WV69	
ENSDARG00000079651		E7F6D6
ENSDARG00000054606		F1QMG1
ENSDARG00000091950		B8A4U4
ENSDARG00000036818		A9C3S9
ENSDARG00000091950		B8A4U5
ENSDARG00000071233		F1Q9H1
ENSDARG00000055443		F1QLY2
ENSDARG00000036818		A9C3S9
ENSDARG00000094862		F1R129
ENSDARG00000025168		F1QWI5
ENSDARG00000087197		F1QMJ7
ENSDARG00000094862		F1QD68
ENSDARG00000025168		F1QWI4
ENSDARG00000102179		A0A0R4INI0
ENSDARG00000092091		
ENSDARG00000031768		F8W254
ENSDARG00000100706		A0A0R4IVF5
ENSDARG00000023168		F1QU88
ENSDARG00000092091		E9QD18
ENSDARG00000031768		F1QLY4
ENSDARG00000076959		F1QX01
ENSDARG00000029881		B0V138
ENSDARG00000098685		A0A0R4IJK2
ENSDARG00000076959		E9QIK6
ENSDARG00000009299		F1QVZ9
ENSDARG00000040401		Q6P5K6
ENSDARG00000029881		A0A0R4ILZ9
ENSDARG00000016545		A0JMN2
ENSDARG00000040401		E9QG11
ENSDARG00000016545		F1QSB0
ENSDARG00000096665		R4GDP9
ENSDARG00000098374		A0A140LGU7
ENSDARG00000069313		F1QFT8
ENSDARG00000062934		E7FFG5
ENSDARG00000056665		A5PMI3
ENSDARG00000096665		A0A0R4IHA7
ENSDARG00000057074		F1QM29
ENSDARG00000062934		E7FFG5
ENSDARG00000096571		R4GEI4
ENSDARG00000056665		A0A0R4IU00
ENSDARG00000057074		F1QEL3
ENSDARG00000035909	Q6DEJ6	
ENSDARG00000098374		A0A140LGM6
ENSDARG00000036371		F1QUN8
ENSDARG00000040162		X1WDQ7
ENSDARG00000040162		A8WFZ4
ENSDARG00000040033		F1R1R2
ENSDARG00000040033		F1QJ34
ENSDARG00000035565		A2BEG0
ENSDARG00000031757		E7F4Y3
ENSDARG00000098374		A0A140LGJ2
ENSDARG00000076017		F1QUY4
ENSDARG00000034105		E7FD36
ENSDARG00000031757		A0A0R4IQ15
ENSDARG00000034105		A0A0R4IJU4
ENSDARG00000089486		D2K290
ENSDARG00000063150		A1XQX7
ENSDARG00000004594		F1QH89
ENSDARG00000063150		
ENSDARG00000004594		F1QH89
ENSDARG00000089706		E7F2N2
ENSDARG00000034105		A0A0R4IXN9
ENSDARG00000086416		F1QM04
ENSDARG00000070358	Q5BKW8	
ENSDARG00000098374		A0A0G2L974
ENSDARG00000097622		X1WDX1
ENSDARG00000040033		A0A0R4IB60
ENSDARG00000070833	A0AUQ6	
ENSDARG00000070833		G1K2U1
ENSDARG00000031971		F1Q7S4
ENSDARG00000092825		X1WH30
ENSDARG00000074760		B8A463
ENSDARG00000020741		E9QCD1
ENSDARG00000074760		F1Q5B2
ENSDARG00000103845		
ENSDARG00000031971		F1QAT0
ENSDARG00000045878		E9QE05
ENSDARG00000096311		I3IS16
ENSDARG00000077648		B8A4V9
ENSDARG00000057010		A0A0R4ITG3
ENSDARG00000020741		B8A5L6
ENSDARG00000057010		A0A0R4IL31
ENSDARG00000098837		A0A0R4IBE4
ENSDARG00000070357		Q1LWG0
ENSDARG00000076312		E7FH53
ENSDARG00000045878		Q66JN9
ENSDARG00000091521		
ENSDARG00000020072		F1R1P9
ENSDARG00000057010		A0A0R4IXW1
ENSDARG00000103845		A0A140LFP2
ENSDARG00000032552		A3KP58
ENSDARG00000101574		A0A0H2UJY6
ENSDARG00000103845		A0A0R4IKH3
ENSDARG00000091521		
ENSDARG00000003904		F1QYS1
ENSDARG00000076312		A0A0R4IDE1
ENSDARG00000101574		A0A0H2UJP0
ENSDARG00000103845		A0A140LFU9
ENSDARG00000003904		F1QEF6
ENSDARG00000076312		F8W2B6
ENSDARG00000091521		E7FB78
ENSDARG00000093845		R4GEV2
ENSDARG00000099049		A0A0R4IZL6
ENSDARG00000097845		X1WEJ9
ENSDARG00000071005		F1QTC2
ENSDARG00000098837		A0A0R4IGK8
ENSDARG00000095310		E9QIW3
ENSDARG00000036155		F1Q5G5
ENSDARG00000054649		F6P696
ENSDARG00000036155		F1QR55
ENSDARG00000039215		F1QLG1
ENSDARG00000054649		X1WG65
ENSDARG00000079307		E7F188
ENSDARG00000096549		R4GEN8
ENSDARG00000079307		E9QGG2
ENSDARG00000075819		E7F4U1
ENSDARG00000075819		A0A0R4IP92
ENSDARG00000101233		A0A0R4IHR2
ENSDARG00000094505		E9QFE0
ENSDARG00000094524		R4GER9
ENSDARG00000095273		E9QFA6
ENSDARG00000079307		E9QCF7
ENSDARG00000070831		F6NSR2
ENSDARG00000044524		F8W5E4
ENSDARG00000070831		E9QG04
ENSDARG00000052656		B8A5W1
ENSDARG00000044524		F8W3I3
ENSDARG00000055459		Q1L8T7
ENSDARG00000035883		A8E7I1
ENSDARG00000044524		E7F1N0
ENSDARG00000079307		E7F188
ENSDARG00000055459		A0A0R4IUT8
ENSDARG00000094899		E9QB44
ENSDARG00000035883		B3DJ73
ENSDARG00000096670		R4GDU5
ENSDARG00000022971		F6P3V1
ENSDARG00000016404		F1QHX5
ENSDARG00000022971		F1QZT3
ENSDARG00000012563		B7ZD86
ENSDARG00000015356		A0A0R4IA99
ENSDARG00000022971		F1REM5
ENSDARG00000016404		F1R8E2
ENSDARG00000096623		R4GDS8
ENSDARG00000060680		E7F8P5
ENSDARG00000095859		F8W5M6
ENSDARG00000060680		A0A0R4IF93
ENSDARG00000016302		A0A0R4IY20
ENSDARG00000015356		K7DXX1
ENSDARG00000101642		A0A0R4IB87
ENSDARG00000059054		F1Q8X6
ENSDARG00000073883		E9QCL6
ENSDARG00000015356		A0A0R4IJ14
ENSDARG00000006838		Q6DHT2
ENSDARG00000073883		F1QD83
ENSDARG00000073883		X1WDZ1
ENSDARG00000062309		R4GDU9
ENSDARG00000093874		A0A0R4IUG2
ENSDARG00000105344		A0A140LG73
ENSDARG00000060103		F1RE03
ENSDARG00000027523		E9QGJ3
ENSDARG00000062309		A0A0R4IGH6
ENSDARG00000068279		F1QH74
ENSDARG00000058088		A2BGE5
ENSDARG00000054906		A0A0R4I9D9
ENSDARG00000055523		F1R8S7
ENSDARG00000060103		A0A0R4IYR6
ENSDARG00000058088		A2BGE4
ENSDARG00000016302		F1RCY6
ENSDARG00000055523		E9QE28
ENSDARG00000086301		R4GEZ4
ENSDARG00000058088		F1RBU0
ENSDARG00000055523		A0A0R4IUJ6
ENSDARG00000093699		E9QIL8
ENSDARG00000096606		R4GEB9
ENSDARG00000078547		F1QCI4
ENSDARG00000102246		A0A0R4IMP3
ENSDARG00000093699		F1QSS5
ENSDARG00000058088		F1RBU6
ENSDARG00000078547		A0A0R4IFD6
ENSDARG00000062664		F1QTU4
ENSDARG00000078102		F1QIG0
ENSDARG00000103626		A0A0R4IMB5
ENSDARG00000078102		F1QCL5
ENSDARG00000094280		E9QFQ5
ENSDARG00000103154		A0A0R4IV10
ENSDARG00000100765		A0A0R4ILK2
ENSDARG00000062664		I3ISI1
ENSDARG00000096523		R4GEW8
ENSDARG00000104368		A0A0R4IVP8
ENSDARG00000098489		A0A0R4IHY7
ENSDARG00000040257		A0A0H2UKD9
ENSDARG00000098675		A0A0R4IXS2
ENSDARG00000062664		I3IRW0
ENSDARG00000096671		R4GEL8
ENSDARG00000040257		A0A0R4IP26
ENSDARG00000098400		A0A0R4IKU4
ENSDARG00000020311		B8A6D8
ENSDARG00000037810		F1QKG1
ENSDARG00000033596		Q7ZV11
ENSDARG00000006010		A0A0R4I9F7
ENSDARG00000040257		A0A0R4IC96
ENSDARG00000041051	P47805	B2GQW8
ENSDARG00000068460		
ENSDARG00000100845		A0A0R4IE32
ENSDARG00000074381		B8JHS1
ENSDARG00000096634		R4GE38
ENSDARG00000040257		A0A0R4IRV8
ENSDARG00000099239		A0A0R4INJ5
ENSDARG00000006010		A0A0R4I9F7
ENSDARG00000020311		A0A0R4IU88
ENSDARG00000068460		
ENSDARG00000103918		A0A0R4IFA9
ENSDARG00000068460		F1Q7R5
ENSDARG00000006010		E9QBX8
ENSDARG00000103000		A0A0R4IGR7
ENSDARG00000098498		A0A0R4IRH7
ENSDARG00000098163		A0A0R4ID74
ENSDARG00000071357		X1WD89
ENSDARG00000101882		A0A0R4IGQ9
ENSDARG00000103986		A0A0R4IR29
ENSDARG00000099537		A0A0R4IKT1
ENSDARG00000006283		Q5RGR6
ENSDARG00000071357		F1RDG5
ENSDARG00000098624		A0A0R4IWI0
ENSDARG00000028327		Q7ZUD3
ENSDARG00000101531		A0A0R4ID67
ENSDARG00000069852		F1QAW5
ENSDARG00000006283		A0A0R4IVX6
ENSDARG00000039411		Q7ZZ29
ENSDARG00000104132		A0A0R4IXH6
ENSDARG00000069852		X1WH35
ENSDARG00000061024		F1QJ77
ENSDARG00000039411		A5PEZ0
ENSDARG00000069852		F1QAW5
ENSDARG00000074254		B0S6D9
ENSDARG00000074381		B8JHS0
ENSDARG00000039411		F1QQD6
ENSDARG00000031817		F1QFW2
ENSDARG00000028784		F1QGZ5
ENSDARG00000091222		X1WED7
ENSDARG00000028327		A0A0R4IFV5
ENSDARG00000076117		
ENSDARG00000011049		Q6DHM5
ENSDARG00000042825	E7FAP1	
ENSDARG00000031817		A0A0R4IF03
ENSDARG00000091222		E7F3A2
ENSDARG00000061024		F1QJ77
ENSDARG00000028784		F1RBB8
ENSDARG00000104132		A0A0R4IMC3
ENSDARG00000098973		A0A0R4II78
ENSDARG00000076117		A0A0G2KUS3
ENSDARG00000099234		A0A0R4IN34
ENSDARG00000076117		F1Q935
ENSDARG00000098828		A0A0R4IY41
ENSDARG00000014817		Q6NWK3
ENSDARG00000046141		A9C3N6
ENSDARG00000068456		Q1LVM2
ENSDARG00000103655		A0A0R4IEM2
ENSDARG00000077907		F1Q6B0
ENSDARG00000037064	Q5SNX7	
ENSDARG00000068456		F1QJ81
ENSDARG00000099170		A0A0R4IIX5
ENSDARG00000086336		X1WCQ2
ENSDARG00000014817		Q90Z38
ENSDARG00000104194		A0A0R4ISK2
ENSDARG00000002405		A2BIG0
ENSDARG00000093448		F1Q6Z3
ENSDARG00000086336		X1WEP4
ENSDARG00000103707		A0A0R4IUC7
ENSDARG00000074381		E9QIC8
ENSDARG00000093448		A0A0R4IG47
ENSDARG00000086336		X1WBI6
ENSDARG00000075807		A0A0R4IQJ6
ENSDARG00000077263		E9QFP6
ENSDARG00000074381		B8JHS1
ENSDARG00000062446		F1R8J5
ENSDARG00000002405		F1QIK2
ENSDARG00000053568		A0A0R4INS6
ENSDARG00000074381		E7F1R8
ENSDARG00000039065		X1WE59
ENSDARG00000018178		Q6NYE3
ENSDARG00000039065		F1R2N4
ENSDARG00000092134		E9QHY4
ENSDARG00000092033		A0A0R4ISU7
ENSDARG00000075807		F1RBR2
ENSDARG00000053568		F1QPR3
ENSDARG00000102408		A0A0R4IYJ5
ENSDARG00000092033		A0A0R4ISU7
ENSDARG00000095179		E9QEF6
ENSDARG00000104334		A0A0R4IJS2
ENSDARG00000101820		A0A0R4IFY1
ENSDARG00000014591	Q6NZ06	
ENSDARG00000008398		Q5TZF1
ENSDARG00000069301	Q6PBI8	
ENSDARG00000099297		A0A0R4IWW8
ENSDARG00000068515		F1RBW8
ENSDARG00000074393		X1WFC4
ENSDARG00000008372		A5PMN3
ENSDARG00000097446		X1WBH7
ENSDARG00000069301		A0A0R4IEV4
ENSDARG00000008398		F1R1T3
ENSDARG00000098514		A0A0R4ILC4
ENSDARG00000103842		A0A0R4IXN3
ENSDARG00000092406		Q2PRI0
ENSDARG00000013813		A2BGS4
ENSDARG00000074393		X1WHV4
ENSDARG00000068515		F1QYS0
ENSDARG00000092406		Q2PRI0
ENSDARG00000098382		A0A0R4IWJ0
ENSDARG00000055118		F1QAI4
ENSDARG00000008372		E7F1Z1
ENSDARG00000097093		X1WCD5
ENSDARG00000068515		F1R5W0
ENSDARG00000008372		A5PMN3
ENSDARG00000013813		A2BGS5
ENSDARG00000098649		A0A0R4IR21
ENSDARG00000101924		A0A0R4IMV1
ENSDARG00000086911		E7F7Z9
ENSDARG00000102880		A0A0R4IXT4
ENSDARG00000068515		F1QC77
ENSDARG00000094696		A2BGS6
ENSDARG00000101758		A0A0R4IC65
ENSDARG00000068515		E7F1A0
ENSDARG00000092123		A9C3S8
ENSDARG00000097446		A0A0R4IXV3
ENSDARG00000039468		B8A5D5
ENSDARG00000041361		F1R3D0
ENSDARG00000102250		A0A0R4IH28
ENSDARG00000045877		Q7T3F3
ENSDARG00000025325		E7F7H7
ENSDARG00000086911		E9QJ44
ENSDARG00000068937		E9QD99
ENSDARG00000039468		F1QGC6
ENSDARG00000025325		A0A0R4IQQ3
ENSDARG00000086911		E9QF50
ENSDARG00000025325		A0A0R4IQQ3
ENSDARG00000068937		E7FAJ9
ENSDARG00000039468		A0A0R4INN5
ENSDARG00000035686		B0UYE8
ENSDARG00000088493		E7FGD6
ENSDARG00000035686		F1R8C1
ENSDARG00000086911		F1QKY7
ENSDARG00000088493		A0A0R4ISL7
ENSDARG00000009470		F2Z4S1
ENSDARG00000086911		E9QEV3
ENSDARG00000074869		F1R669
