ENSDARG00000088995|ENSDART00000122214|CABZ01030692.1|
ENSDARG00000088393|ENSDART00000130667|CABZ01002768.1|
ENSDARG00000088393|ENSDART00000129000|CABZ01002768.1|
ENSDARG00000091394|ENSDART00000130948|CU182823.4|
ENSDARG00000053219|ENSDART00000055579|PPIC|
ENSDARG00000088757|ENSDART00000121662|CU182823.3|
ENSDARG00000088568|ENSDART00000130523|zgc:174646|
ENSDARG00000088635|ENSDART00000128092|CU182823.2|
ENSDARG00000075391|ENSDART00000112604|CU182823.1|
ENSDARG00000075391|ENSDART00000081068|CU182823.1|
ENSDARG00000088250|ENSDART00000125541|DIP2C (1 of 2)|
ENSDARG00000077748|ENSDART00000041466|SLC35E2|
ENSDARG00000075773|ENSDART00000114477|CABZ01079952.1|
ENSDARG00000091830|ENSDART00000127861|PLEC|
ENSDARG00000090999|ENSDART00000128578||
ENSDARG00000057147|ENSDART00000079738|HADHB|
ENSDARG00000078462|ENSDART00000101499|CABZ01043311.1|
ENSDARG00000018234|ENSDART00000064835|CABZ01099847.1|
ENSDARG00000076249|ENSDART00000092388|CABZ01067080.1|
ENSDARG00000039716|ENSDART00000058053|CABZ01075191.1|
ENSDARG00000086694|ENSDART00000126023|CABZ01102076.1|
ENSDARG00000056168|ENSDART00000078614|GPR116 (3 of 6)|
ENSDARG00000090864|ENSDART00000128836|CABZ01066716.1|
ENSDARG00000075239|ENSDART00000115055|SPAG16|
ENSDARG00000089707|ENSDART00000113400|CABZ01081747.1|
ENSDARG00000075896|ENSDART00000113329|ARX (2 of 2)|
ENSDARG00000090321|ENSDART00000123337|CABZ01081747.2|
ENSDARG00000086855|ENSDART00000124847|ZNF32 (1 of 5)|
ENSDARG00000057324|ENSDART00000079956|CABZ01081749.1|
ENSDARG00000090782|ENSDART00000123135|CABZ01081752.1|
ENSDARG00000044456|ENSDART00000081198|pcyt1bb|
ENSDARG00000060460|ENSDART00000124107|pdk3b|
ENSDARG00000089256|ENSDART00000127111|CABZ01073388.1|
ENSDARG00000088547|ENSDART00000129879|CABZ01015815.1|
ENSDARG00000090240|ENSDART00000084798|CABZ01073389.1|
ENSDARG00000060302|ENSDART00000084795|CABZ01073390.1|
ENSDARG00000087899|ENSDART00000124284|CU694219.1|
ENSDARG00000077159|ENSDART00000108917|TAOK1 (2 of 3)|
