tscriptid,tscriptname,ottdartid,status,ensdartid,tname,comments
ZDB-TSCRIPT-090929-10003,rpp40-002,OTTDART00000027446,retained intron,ENSDART00000146839.2,rpp40-202,
ZDB-TSCRIPT-090929-10020,rftn2-002,OTTDART00000027466,retained intron,ENSDART00000136587.2,rftn2-202,
ZDB-TSCRIPT-090929-10022,rps28-002,OTTDART00000027468,retained intron,ENSDART00000143732.2,rps28-203,
ZDB-TSCRIPT-090929-10060,tdrd7a-003,OTTDART00000027506,artifact,,,no Ensembl ID match. Artifact transcript withdrawn?
ZDB-TSCRIPT-090929-10066,clta-005,OTTDART00000027512,retained intron,ENSDART00000142900.3,clta-204,
ZDB-TSCRIPT-090929-10067,clta-006,OTTDART00000027513,retained intron,ENSDART00000136658.3,clta-204,
ZDB-TSCRIPT-090929-10075,jph1b-002,OTTDART00000027522,retained intron,ENSDART00000144399.2,jph1b-202,
ZDB-TSCRIPT-090929-10088,ubtfl-005,OTTDART00000027535,retained intron,ENSDART00000146862.2,ubtfl-209,
ZDB-TSCRIPT-090929-10113,spc24-002,OTTDART00000027561,retained intron,ENSDART00000135223.2,spc24-202,
ZDB-TSCRIPT-090929-10122,tfcp2l1-002,OTTDART00000027570,NMD,ENSDART00000040480.7,tfcp2l1-201,
ZDB-TSCRIPT-090929-10138,crlf1a-002,OTTDART00000027590,retained intron,ENSDART00000138013.2,crlf1a-202,
ZDB-TSCRIPT-090929-10142,gbp1-003,OTTDART00000027594,retained intron,ENSDART00000144803.2,gbp1-204,
ZDB-TSCRIPT-090929-10143,gbp1-004,OTTDART00000027595,retained intron,ENSDART00000131716.2,gbp1-202,
ZDB-TSCRIPT-090929-10150,mettl2a-002,OTTDART00000027602,retained intron,ENSDART00000123938.3,mettl2a-202,
ZDB-TSCRIPT-090929-10164,fam102ba-002,OTTDART00000027616,NMD,ENSDART00000087054.6,fam102ba-201,
ZDB-TSCRIPT-090929-10168,zgc:123295-002,OTTDART00000027620,retained intron,ENSDART00000141410.2,zgc:123295-202,
ZDB-TSCRIPT-090929-10197,vil1-002,OTTDART00000027650,retained intron,ENSDART00000148298.2,vil1-204,
ZDB-TSCRIPT-090929-10199,retsatl-002,OTTDART00000027652,retained intron,ENSDART00000135704.3,retsatl-202,
ZDB-TSCRIPT-090929-10222,ugdh-002,OTTDART00000027675,artifact,,,no Ensembl ID match. Artifact transcript withdrawn?
ZDB-TSCRIPT-090929-10224,smim14-002,OTTDART00000027677,retained intron,ENSDART00000131979.2,smim14-202,
ZDB-TSCRIPT-090929-10229,rpl9-005,OTTDART00000027682,retained intron,ENSDART00000122877.3,rpl9-203,
ZDB-TSCRIPT-090929-10230,rpl9-006,OTTDART00000027683,retained intron,ENSDART00000133195.2,rpl9-205,
ZDB-TSCRIPT-090929-10232,pds5a-002,OTTDART00000027685,artifact,,,no Ensembl ID match. Artifact transcript withdrawn?
ZDB-TSCRIPT-090929-10245,mettl5-003,OTTDART00000027698,retained intron,ENSDART00000147952.2,mettl5-204,
ZDB-TSCRIPT-090929-10246,mettl5-004,OTTDART00000027699,retained intron,ENSDART00000134764.2,mettl5-202,
ZDB-TSCRIPT-090929-10253,sat2a-002,OTTDART00000027706,retained intron,ENSDART00000133692.2,sat2a-202,
ZDB-TSCRIPT-090929-10270,zgc:92429-002,OTTDART00000027724,retained intron,ENSDART00000134038.2,zgc:92429-202,
ZDB-TSCRIPT-090929-10271,zgc:92429-003,OTTDART00000027725,retained intron,ENSDART00000139365.2,zgc:92429-204,
ZDB-TSCRIPT-090929-10272,zgc:92429-004,OTTDART00000027726,retained intron,ENSDART00000138802.3,zgc:92429-203,
