Transcript stable ID,Transcript name,Transcript type
ENSDART00000131829,fam162a-201,protein_coding
ENSDART00000144883,fam162a-202,protein_coding
ENSDART00000156963,,protein_coding
ENSDART00000161066,,protein_coding
ENSDART00000137179,caly-201,protein_coding
ENSDART00000100744,tmem177-201,protein_coding
ENSDART00000160393,tmem177-202,protein_coding
ENSDART00000167980,ostc-201,protein_coding
ENSDART00000067621,vps37c-201,protein_coding
ENSDART00000165084,vps37c-202,protein_coding
ENSDART00000162322,rab9b-201,protein_coding
ENSDART00000190378,rab9b-202,protein_coding
ENSDART00000144327,tppp3-201,protein_coding
ENSDART00000173911,tppp3-202,protein_coding
ENSDART00000178732,tppp3-203,protein_coding
ENSDART00000164747,,protein_coding
ENSDART00000162001,,protein_coding
ENSDART00000103397,slc39a9-201,protein_coding
ENSDART00000113661,kif16bb-201,protein_coding
ENSDART00000052422,mtx1b-201,protein_coding
ENSDART00000047912,gpkow-201,protein_coding
ENSDART00000154987,samd4a-202,protein_coding
ENSDART00000108999,samd4a-201,protein_coding
ENSDART00000173324,,processed_transcript
ENSDART00000173122,,processed_transcript
ENSDART00000160129,,processed_transcript
ENSDART00000080347,dync2i2-201,protein_coding
ENSDART00000123238,dync2i2-202,nonsense_mediated_decay
ENSDART00000137120,gria3a-202,protein_coding
ENSDART00000049291,gria3a-201,protein_coding
ENSDART00000147621,gria3a-203,retained_intron
ENSDART00000156885,EML5-201,protein_coding
ENSDART00000157087,EML5-202,retained_intron
ENSDART00000176637,EML5-203,protein_coding
ENSDART00000159554,zgc:174354-201,protein_coding
ENSDART00000192041,zgc:174354-203,protein_coding
ENSDART00000184520,zgc:174354-202,protein_coding
ENSDART00000160594,,processed_transcript
ENSDART00000133466,,lincRNA
ENSDART00000150157,,processed_transcript
ENSDART00000024330,creb3l1-201,protein_coding
ENSDART00000173945,creb3l1-203,protein_coding
ENSDART00000172251,creb3l1-202,protein_coding
ENSDART00000155746,cdc42-202,protein_coding
ENSDART00000154158,cdc42-201,protein_coding
ENSDART00000180571,cdc42-203,protein_coding
ENSDART00000189685,cdc42-204,protein_coding
ENSDART00000135009,syt2a-201,processed_transcript
ENSDART00000139795,syt2a-202,protein_coding
ENSDART00000190366,syt2a-203,protein_coding
ENSDART00000136751,tspan33b-201,protein_coding
ENSDART00000146364,adamts13-201,protein_coding
ENSDART00000175207,adamts13-202,protein_coding
ENSDART00000140924,gnal-202,protein_coding
ENSDART00000066782,gnal-201,protein_coding
ENSDART00000163816,,protein_coding
ENSDART00000163956,,protein_coding
ENSDART00000129910,tmem240a-201,protein_coding
ENSDART00000139974,tmem240a-202,nonsense_mediated_decay
ENSDART00000030773,foxo3a-201,protein_coding
ENSDART00000171701,,protein_coding
ENSDART00000156308,,lincRNA
ENSDART00000097522,parvg-201,protein_coding
ENSDART00000127483,si:ch211-198m17.1-201,protein_coding
ENSDART00000183613,DNAH3-202,protein_coding
ENSDART00000142998,DNAH3-201,protein_coding
ENSDART00000182436,DNAH3-203,protein_coding
ENSDART00000159675,or30bu1-201,protein_coding
ENSDART00000172764,,lincRNA
ENSDART00000172892,,lincRNA
