tscriptid,ottdartid,ensdartid
ZDB-TSCRIPT-090929-10003,OTTDART00000027446,ENSDART00000146839.2
ZDB-TSCRIPT-090929-10020,OTTDART00000027466,ENSDART00000136587.2
ZDB-TSCRIPT-090929-10022,OTTDART00000027468,ENSDART00000143732.2
ZDB-TSCRIPT-090929-10060,OTTDART00000027506,
ZDB-TSCRIPT-090929-10066,OTTDART00000027512,ENSDART00000142900.3
ZDB-TSCRIPT-090929-10067,OTTDART00000027513,ENSDART00000136658.3
ZDB-TSCRIPT-090929-10075,OTTDART00000027522,ENSDART00000144399.2
ZDB-TSCRIPT-090929-10088,OTTDART00000027535,ENSDART00000146862.2
ZDB-TSCRIPT-090929-10113,OTTDART00000027561,ENSDART00000135223.2
ZDB-TSCRIPT-090929-10122,OTTDART00000027570,ENSDART00000040480.7
ZDB-TSCRIPT-090929-10138,OTTDART00000027590,ENSDART00000138013.2
ZDB-TSCRIPT-090929-10142,OTTDART00000027594,ENSDART00000144803.2
ZDB-TSCRIPT-090929-10143,OTTDART00000027595,ENSDART00000131716.2
ZDB-TSCRIPT-090929-10150,OTTDART00000027602,ENSDART00000123938.3
ZDB-TSCRIPT-090929-10164,OTTDART00000027616,ENSDART00000087054.6
ZDB-TSCRIPT-090929-10168,OTTDART00000027620,ENSDART00000141410.2
ZDB-TSCRIPT-090929-10197,OTTDART00000027650,ENSDART00000148298.2
ZDB-TSCRIPT-090929-10199,OTTDART00000027652,ENSDART00000135704.3
ZDB-TSCRIPT-090929-10222,OTTDART00000027675,
ZDB-TSCRIPT-090929-10224,OTTDART00000027677,ENSDART00000131979.2
ZDB-TSCRIPT-090929-10229,OTTDART00000027682,ENSDART00000122877.3
ZDB-TSCRIPT-090929-10230,OTTDART00000027683,ENSDART00000133195.2
ZDB-TSCRIPT-090929-10232,OTTDART00000027685,
ZDB-TSCRIPT-090929-10245,OTTDART00000027698,ENSDART00000147952.2
ZDB-TSCRIPT-090929-10246,OTTDART00000027699,ENSDART00000134764.2
ZDB-TSCRIPT-090929-10253,OTTDART00000027706,ENSDART00000133692.2
ZDB-TSCRIPT-090929-10270,OTTDART00000027724,ENSDART00000134038.2
ZDB-TSCRIPT-090929-10271,OTTDART00000027725,ENSDART00000139365.2
ZDB-TSCRIPT-090929-10272,OTTDART00000027726,ENSDART00000138802.3
ZDB-TSCRIPT-090929-10273,OTTDART00000027727,ENSDART00000055534.6
ZDB-TSCRIPT-090929-10275,OTTDART00000027729,ENSDART00000143232.2
ZDB-TSCRIPT-090929-10278,OTTDART00000027732,
ZDB-TSCRIPT-090929-10281,OTTDART00000027735,ENSDART00000148108.2
ZDB-TSCRIPT-090929-10282,OTTDART00000027736,ENSDART00000135179.3
ZDB-TSCRIPT-090929-10287,OTTDART00000027741,ENSDART00000131938.2
ZDB-TSCRIPT-090929-10301,OTTDART00000027756,ENSDART00000166226.2
ZDB-TSCRIPT-090929-10309,OTTDART00000027764,ENSDART00000109646.4
ZDB-TSCRIPT-090929-10317,OTTDART00000027774,ENSDART00000141522.2
ZDB-TSCRIPT-090929-10318,OTTDART00000027775,ENSDART00000126746.3
ZDB-TSCRIPT-090929-10321,OTTDART00000027778,ENSDART00000137509.2
ZDB-TSCRIPT-090929-10333,OTTDART00000027790,ENSDART00000022163.9
ZDB-TSCRIPT-090929-10338,OTTDART00000027795,ENSDART00000132515.2
ZDB-TSCRIPT-090929-10341,OTTDART00000027798,
ZDB-TSCRIPT-090929-10343,OTTDART00000027800,
ZDB-TSCRIPT-090929-10349,OTTDART00000027806,ENSDART00000143897.3
ZDB-TSCRIPT-090929-10352,OTTDART00000027809,ENSDART00000141507.2
