tscriptid,ottdartid,ensdartid
eif5-003,OTTDART00000012905,ENSDART00000134333.2
eif5-005,OTTDART00000058127,ENSDART00000152332.2
aasdh-002,OTTDART00000013001,ENSDART00000141991.2
acbd3-001,OTTDART00000013057,
st5-002,OTTDART00000004414,ENSDART00000143543.2
si:dkey-15h8.16-005,OTTDART00000014294,ENSDART00000162141.2
si:dkey-15h8.16-002,OTTDART00000014140,ENSDART00000161196.2
si:dkey-15h8.16-003,OTTDART00000014292,ENSDART00000157477.2
si:dkey-15h8.16-004,OTTDART00000014293,ENSDART00000171936.2
si:dkey-15h8.16-006,OTTDART00000014295,ENSDART00000169801.2
si:dkey-15h8.16-007,OTTDART00000014296,ENSDART00000171622.2
si:dkey-15h8.16-008,OTTDART00000014297,ENSDART00000171720.2
si:ch211-285c6.2-002,OTTDART00000004510,ENSDART00000144363.2
si:dkey-246j7.1-002,OTTDART00000014785,ENSDART00000146661.3
fam192a-002,OTTDART00000015375,ENSDART00000135590.2
herpud1-002,OTTDART00000015390,ENSDART00000129631
herpud1-003,OTTDART00000015391,ENSDART00000141465
slc12a3-002,OTTDART00000015396,ENSDART00000145340.2
si:dkey-188k17.2-003,OTTDART00000015826,ENSDART00000164481.2
si:dkey-188k17.2-005,OTTDART00000015828,ENSDART00000159008.2
si:dkey-188k17.2-006,OTTDART00000015829,ENSDART00000139903.3
si:dkey-188k17.2-001,OTTDART00000015824,ENSDART00000163614.2
si:dkey-188k17.2-002,OTTDART00000015825,ENSDART00000163527.2
si:dkey-188k17.2-004,OTTDART00000015827,ENSDART00000163159.2
cyp19a1a-002,OTTDART00000015937,
ccnl1a-002,OTTDART00000016031,ENSDART00000136692.3
ccnl1a-003,OTTDART00000016032,ENSDART00000126563
ccnl1a-004,OTTDART00000016033,ENSDART00000141027.2
ccnl1a-007,OTTDART00000042855,
ccnl1a-008,OTTDART00000042856,ENSDART00000134284.2
ilvbl-002,OTTDART00000016131,
si:ch211-196l7.4-001,OTTDART00000016260,ENSDART00000148004
si:ch211-196l7.4-002,OTTDART00000016261,ENSDART00000145660
si:ch211-196l7.4-003,OTTDART00000016262,ENSDART00000133786
si:ch211-238n5.4-001,OTTDART00000016327,ENSDART00000077076
p4ha3-002,OTTDART00000016365,ENSDART00000165675.2
chkb-002,OTTDART00000016558,ENSDART00000146797.2
chkb-003,OTTDART00000031478,ENSDART00000133557.2
chkb-004,OTTDART00000031479,ENSDART00000140134.2
cyt1-004,OTTDART00000016886,ENSDART00000133032
ottdart00000016889,OTTDART00000016889,ENSDART00000138392.3
setdb1a-002,OTTDART00000016913,ENSDART00000144985.2
clk2a-001,OTTDART00000016914,ENSDART00000142910
si:ch211-81a5.5-002,OTTDART00000016916,
clk2a-004,OTTDART00000016925,ENSDART00000136681.3
clk2a-005,OTTDART00000016926,ENSDART00000135285.2
thrb-001,OTTDART00000016999,ENSDART00000017869
thrb-002,OTTDART00000030477,ENSDART00000142170.2
zgc:112966-002,OTTDART00000017025,ENSDART00000170742
zgc:112966-003,OTTDART00000017026,ENSDART00000162534.2
gpnmb-001,OTTDART00000017210,ENSDART00000151818
tra2a-002,OTTDART00000017218,ENSDART00000145225
tra2a-003,OTTDART00000017219,ENSDART00000133873
tra2a-004,OTTDART00000017220,ENSDART00000143221.2
stat1b-003,OTTDART00000017372,ENSDART00000148337.2
stat1b-004,OTTDART00000017373,ENSDART00000145312.2
mkrn1-003,OTTDART00000029971,ENSDART00000142433.2
mkrn1-004,OTTDART00000029972,ENSDART00000133672.2
mkrn1-005,OTTDART00000029973,ENSDART00000137199.2
mkrn1-006,OTTDART00000030966,ENSDART00000131244.2
mkrn1-002,OTTDART00000017392,ENSDART00000142767
eif3eb-002,OTTDART00000017436,ENSDART00000135651
tekt2-002,OTTDART00000017543,ENSDART00000135102
usf2-003,OTTDART00000017555,ENSDART00000146007.2
si:dkeyp-85e10.2-002,OTTDART00000017689,ENSDART00000136583.2
si:dkeyp-85e10.2-003,OTTDART00000019532,ENSDART00000131656.3
gtf2h4-002,OTTDART00000017844,ENSDART00000147134.2
lpcat1-001,OTTDART00000017880,ENSDART00000150932
lpcat1-002,OTTDART00000017881,ENSDART00000140038.2
mrpl3-001,OTTDART00000017985,
enpp1-002,OTTDART00000004947,ENSDART00000131311.3
enpp1-003,OTTDART00000004948,ENSDART00000137431.2
enpp1-005,OTTDART00000058047,ENSDART00000152331.2
enpp1-006,OTTDART00000058048,ENSDART00000152395.2
cyp3c2-002,OTTDART00000018434,ENSDART00000145233.2
sfpq-002,OTTDART00000018475,ENSDART00000151438
sfpq-003,OTTDART00000018476,ENSDART00000134873.3
si:dkey-220f10.4-003,OTTDART00000018572,ENSDART00000139534.3
si:dkey-220f10.4-002,OTTDART00000018573,ENSDART00000142996.2
srrm4-001,OTTDART00000019050,ENSDART00000145273.2
tdh-003,OTTDART00000005105,ENSDART00000132928
atp6v0a2b-002,OTTDART00000019415,ENSDART00000146386.2
atp6v0a2b-003,OTTDART00000019416,ENSDART00000143961.2
si:dkeyp-85e10.2-003,OTTDART00000019532,ENSDART00000131656.3
cspg5b-002,OTTDART00000019550,ENSDART00000164337
stmn1a-002,OTTDART00000019562,ENSDART00000132662
gmeb1-002,OTTDART00000019568,ENSDART00000144376
vipas39-002,OTTDART00000005163,ENSDART00000159636
hoxc3a-002,OTTDART00000019708,ENSDART00000137507.2
