aliasid,clonealias,cloneid
FR45,FR45,ZDB-CDNA-040425-2600
FR117,FR117,ZDB-CDNA-040425-2641
FR176,FR176,ZDB-CDNA-040425-2287
FR55,FR55,ZDB-CDNA-040425-17
FR449,FR449,ZDB-CDNA-040425-19
FR516,FR516,ZDB-CDNA-040425-1440
FR450,FR450,ZDB-CDNA-040425-3137
FR395,FR395,ZDB-CDNA-040425-3589
FR415,FR415,ZDB-CDNA-040425-2252
FR528,FR528,ZDB-CDNA-040425-2486
FR17,FR17,ZDB-CDNA-040425-406
FR269,FR269,ZDB-CDNA-040425-3105
FR74,FR74,ZDB-CDNA-040425-2589
FR438,FR438,ZDB-CDNA-040425-2215
FR172,FR172,ZDB-CDNA-040425-1303
FR304,FR304,ZDB-CDNA-040425-1287
FR89,FR89,ZDB-CDNA-040425-1575
FR31,FR31,ZDB-CDNA-040425-2598
FR99,FR99,ZDB-CDNA-040425-2907
FR179,FR179,ZDB-CDNA-040425-74
FR103,FR103,ZDB-CDNA-040425-77
FR511,FR511,ZDB-CDNA-040425-79
FR218,FR218,ZDB-CDNA-040425-82
FR95,FR95,ZDB-CDNA-040425-81
FR149,FR149,ZDB-CDNA-040425-91
FR80,FR80,ZDB-CDNA-040425-92
FR33,FR33,ZDB-CDNA-040425-1544
FR32,FR32,ZDB-CDNA-040425-2636
FR42,FR42,ZDB-CDNA-040425-99
FR517,FR517,ZDB-CDNA-040425-2887
FR400,FR400,ZDB-CDNA-040425-103
FR312,FR312,ZDB-CDNA-040425-106
FR147,FR147,ZDB-CDNA-040425-1537
FR181,FR181,ZDB-CDNA-040425-2292
FR115,FR115,ZDB-CDNA-040425-2726
FR121,FR121,ZDB-CDNA-040425-2608
FR84,FR84,ZDB-CDNA-040425-2617
FR273,FR273,ZDB-CDNA-040425-129
FR355,FR355,ZDB-CDNA-040425-2355
FR424,FR424,ZDB-CDNA-040425-1043
FR497,FR497,ZDB-CDNA-040425-2377
FR133,FR133,ZDB-CDNA-040425-2644
FR454,FR454,ZDB-CDNA-040425-2236
FR110,FR110,ZDB-CDNA-040425-2693
FR455,FR455,ZDB-CDNA-040425-2222
FR62,FR62,ZDB-CDNA-040425-2603
FR200,FR200,ZDB-CDNA-040425-162
FR592,FR592,ZDB-CDNA-040425-177
FR193,FR193,ZDB-CDNA-040425-1046
FR137,FR137,ZDB-CDNA-040425-1522
FR232,FR232,ZDB-CDNA-040425-2250
FR98,FR98,ZDB-CDNA-040425-2692
FR81,FR81,ZDB-CDNA-040425-2731
FR442,FR442,ZDB-CDNA-040425-1114
FR378,FR378,ZDB-CDNA-040425-3587
FR184,FR184,ZDB-CDNA-040425-2291
FR600,FR600,ZDB-CDNA-040425-3624
FR90,FR90,ZDB-CDNA-040425-227
FR425,FR425,ZDB-CDNA-040425-1203
FR439,FR439,ZDB-CDNA-040425-2213
FR177,FR177,ZDB-CDNA-040425-3127
FR131,FR131,ZDB-CDNA-040425-236
FR520,FR520,ZDB-CDNA-040425-244
FR383,FR383,ZDB-CDNA-040425-3117
FR282,FR282,ZDB-CDNA-040425-250
FR44,FR44,ZDB-CDNA-040425-1269
FR20,FR20,ZDB-CDNA-040425-3673
FR91,FR91,ZDB-CDNA-040425-2650
FR83,FR83,ZDB-CDNA-040425-185
FR271,FR271,ZDB-CDNA-040425-3085
FR280,FR280,ZDB-CDNA-040425-268
FR550,FR550,ZDB-CDNA-040425-3768
FR156,FR156,ZDB-CDNA-040425-257
FR234,FR234,ZDB-CDNA-040425-2246
FR114,FR114,ZDB-CDNA-040425-2642
FR525,FR525,ZDB-CDNA-040425-1976
FR165,FR165,ZDB-CDNA-040425-2640
FR328,FR328,ZDB-CDNA-040425-1489
FR7,FR7,ZDB-CDNA-040425-3670
FR274,FR274,ZDB-CDNA-040425-1492
FR119,FR119,ZDB-CDNA-040425-2643
FR316,FR316,ZDB-CDNA-040425-2297
FR315,FR315,ZDB-CDNA-040425-3112
FR518,FR518,ZDB-CDNA-040425-1476
FR154,FR154,ZDB-CDNA-040425-2680
FR529,FR529,ZDB-CDNA-040425-1176
FR24,FR24,ZDB-CDNA-040425-2671
FR2,FR2,ZDB-CDNA-040425-342
FR36,FR36,ZDB-CDNA-040425-2931
FR101,FR101,ZDB-CDNA-040425-2652
FR151,FR151,ZDB-CDNA-040425-346
FR397,FR397,ZDB-CDNA-040425-3605
FR182,FR182,ZDB-CDNA-040425-1239
FR464,FR464,ZDB-CDNA-040425-3523
FR426,FR426,ZDB-CDNA-040425-2229
FR29,FR29,ZDB-CDNA-040425-2922
FR459,FR459,ZDB-CDNA-040425-1550
FR414,FR414,ZDB-CDNA-040425-2249
FR287,FR287,ZDB-CDNA-040425-2309
FR235,FR235,ZDB-CDNA-040425-2243
FR76,FR76,ZDB-CDNA-040425-2661
FR104,FR104,ZDB-CDNA-040425-1153
FR506,FR506,ZDB-CDNA-040425-2512
FR25,FR25,ZDB-CDNA-040425-3674
FR492,FR492,ZDB-CDNA-040425-2369
FR263,FR263,ZDB-CDNA-040425-2317
FR417,FR417,ZDB-CDNA-040425-2231
FR513,FR513,ZDB-CDNA-040425-1037
FR141,FR141,ZDB-CDNA-040425-458
FR9,FR9,ZDB-CDNA-040425-2605
FR168,FR168,ZDB-CDNA-040425-2295
FR49,FR49,ZDB-CDNA-040425-2592
