Box1,Box2,cDNA Name,Gene symbol,Biblio data,comments,Complexes,ENSDARG,Epigenetic,Function,Gene Name,GO component,GO function,GO process,Modification,NR-NS,Original Name,ovaries,pattern,PMID,polymerase,primers,Sequence,size,star,submission ZFIN,target entity,Target moleculres,Vector,ZDB_gene,ZFIN probe ID
,,CB1045,xirp2a,,,,,,,xin actin binding repeat containing 2a,cell junction,metal ion binding ; actin binding ; zinc ion binding,actin cytoskeleton organization ; heart development,,,GA1084,,"G  : Ø
ES : Ø
MS : pronephric duct, myotomes borders +++
24 hrs : somites borders +++
36 hrs : same
48 hrs - late : tip of muscles fibers in trunk and head",,,ABJ249-ABJ250,,2.8,4,sending CB,,,pBK CMV,ZDB-GENE-040108-7,
V1,V404,CB1,kif11,,,,,,,kinesin family member 11,microtubule ; kinesin complex,"nucleotide binding ; ATP binding ; ATP-dependent microtubule motor activity, plus-end-directed ; microtubule motor activity ; microtubule binding",neurogenesis ; mitotic spindle assembly ; microtubule-based movement ; regulation of cell cycle ; chromosome segregation ; angiogenesis,,,AS 7,,Cell cycle,,T7,PU-RP,BI325069BI325070,1.6,2,sending CB,,,pBSIISK+,ZDB-GENE-020426-1,
V10,V428,CB116,prkdc,"Acetylation largely enhances the phosphorylation of H2AX by DNA-PK=PRKDC, and this acetylation effect is observed when H2AX exists in the context of nucleosomes but not in a free form.",,#,,epi,Histone modification write,"protein kinase, DNA-activated, catalytic polypeptide",nucleus,"DNA-dependent protein kinase activity ; transferase activity ; nucleotide binding ; ATP binding ; phosphotransferase activity, alcohol group as acceptor ; kinase activity ; DNA binding",phosphorylation ; DNA repair ; double-strand break repair via nonhomologous end joining,Histone phosphorylation,,CG110,,"G : Ø
ES : Ø
MS : lateral mesoderm
24 hrs : pronephric duct
36 hrs : pronephric duct
48 hrs : pronephric duct
late : + liver",14627815,T7,PU-RP,CB333791CB333792,1.7,1,sending CB,"H2AXS139ph, H2AFXS139ph","H2AXS139, H2AFXS139",pBSIISK+,ZDB-GENE-030131-9008,
V101,,FR_6036,pygl,,,,,,,"phosphorylase, glycogen, liver",cytoplasm,"phosphorylase activity ; transferase activity ; transferase activity, transferring glycosyl groups ; glycogen phosphorylase activity ; pyridoxal phosphate binding",carbohydrate metabolic process ; glycogen catabolic process,,,GS5755,,"G - ES: Ø
MS - 48 h : myotomes
48 h : + pectoral fin muscles",,T3,ADX299-M13F or PU,CK692288,13,3,18 th sending,,,pDNR-LIB,ZDB-GENE-041205-1,
V102,,FR_6063,ankef1b,,,,ENSDARG00000060211,,,ankyrin repeat and EF-hand domain containing 1b,cellular_component,calcium ion binding,biological_process,,NR,GS5801 ,,NR weak,,T3,ADX299-M13F or PU,CK692667,2,,14 th sending,,,pDNR-LIB,ZDB-GENE-060810-68, ZDB-EST-060810-252
V103,,FR_6105,tdp2b,,,,ENSDARG00000035954,,,tyrosyl-DNA phosphodiesterase 2b,PML body ; nucleus,"mannosyl-diinositol phosphorylceramide phospholipase activity ; inositol phosphosphingolipid phospholipase activity ; cGMP-stimulated cyclic-nucleotide phosphodiesterase activity ; cyclic-nucleotide phosphodiesterase activity ; mannosyl-inositol phosphorylceramide phospholipase activity ; photoreceptor cyclic-nucleotide phosphodiesterase activity ; calmodulin-dependent cyclic-nucleotide phosphodiesterase activity ; 7,8-dihydro-D-neopterin 2',3'-cyclic phosphate phosphodiesterase activity ; inositol phosphorylceramide phospholipase activity ; cGMP-inhibited cyclic-nucleotide phosphodiesterase activity ; 3',5'-cyclic-AMP phosphodiesterase activity ; 5'-tyrosyl-DNA phosphodiesterase activity ; manganese ion binding ; nuclease activity ; metal ion binding ; hydrolase activity ; magnesium ion binding ; single-stranded DNA binding ; DNA binding",convergent extension involved in gastrulation ; gastrulation ; multicellular organism development ; cellular response to DNA damage stimulus ; DNA repair ; double-strand break repair ; negative regulation of transforming growth factor beta receptor signaling pathway ; determination of left/right symmetry,,NR,GS5851 ,,NR,,T3,ADX299-M13F or PU,CK693033,2,,14 th sending,,,pDNR-LIB,ZDB-GENE-050816-1, ZDB-EST-060810-280
V104,,FR_6137,hectd3,,,,,,,HECT domain containing 3,NA,ligase activity ; ubiquitin protein ligase activity ; ubiquitin-protein transferase activity,protein ubiquitination involved in ubiquitin-dependent protein catabolic process,,,GS5901,,"G : Ø
ES : polster, notochord
MS : notochord, hatching gland
> Ø",,T3,ADX299-M13F or PU,CK693551,21,1,18 th sending,,,pDNR-LIB,ZDB-GENE-031118-179,
V105,,FR_6188,med13a,,,,,,,mediator complex subunit 13a,mediator complex,RNA polymerase II transcription cofactor activity,regulation of transcription from RNA polymerase II promoter,,NR,GS5952 ,,NR,,T3,ADX299-M13F or PU,CK693909,2,,14 th sending,,,pDNR-LIB,ZDB-GENE-070627-13,
V106,,FR_6222,fmn2b,,,,,,,formin 2b,actin filament,microtubule binding,actin nucleation,,,GS6001,,"G - MS : Ø
 24 - 48 h : CNS margina
48 h : ganglion cell layer of retina",,T3,ADX299-M13F or PU,CK694293,2,1,18 th sending,,,pDNR-LIB,ZDB-GENE-080225-35,
V107,,FR_6257,xrcc1,,,,ENSDARG00000009494,,,X-ray repair complementing defective repair in Chinese hamster cells 1,nucleus,damaged DNA binding,single strand break repair ; base-excision repair,,NR,GS6051 ,,NR more in eye and tectum,,T3,ADX299-M13F or PU,CK694657,18,,14 th sending,,,pDNR-LIB,ZDB-GENE-040822-30, ZDB-EST-060810-349
V108,,FR_6292,gpr182,,,,,,,G protein-coupled receptor 182,membrane ; integral component of membrane,signal transducer activity ; G-protein coupled receptor activity,signal transduction ; G-protein coupled receptor signaling pathway ; intracellular signal transduction,,,GS6101,,"G - ES : Ø
MS - late : vasculature +++",,T3,ADX299-M13F or PU,CK695028,21,4,20 th sending ,,,pDNR-LIB,ZDB-GENE-030131-2361,
V109,,FR_6337,gk5,,,,,,,glycerol kinase 5 (putative),cytoplasm,"transferase activity ; nucleotide binding ; glycerol kinase activity ; ATP binding ; phosphotransferase activity, alcohol group as acceptor ; kinase activity",glycerol catabolic process ; carbohydrate metabolic process ; glycerol metabolic process ; phosphorylation,,NR,GS6152 ,,NR,,T3,ADX299-M13F or PU,CK695666,22,,14 th sending,,,pDNR-LIB,ZDB-GENE-061110-49,
V11,V430,CB291,frzb,,,,,,,frizzled-related protein,extracellular region ; integral component of membrane,Wnt-protein binding ; Wnt-activated receptor activity ; G-protein coupled receptor activity,non-canonical Wnt signaling pathway ; multicellular organism development ; Wnt signaling pathway ; canonical Wnt signaling pathway,,,CG336,,"G : prechordal plate
ES : polster
MS : Ø, transient in caudal floor plate and hypochord
24 h : beginning of expression in corpuscle of Stannius
36 h : corpuscle of Stannius
48 h : corpuscle of Stannius, thymus
5 d : thymus, ventral part of retina
",,T7,PU-RP,CB417263,1.7,4,sending CB,,,pBSIISK+,ZDB-GENE-990715-1,
