ENSDARG ID,Gene Abbreviation
ENSDARG00000015803,smcr8b
ENSDARG00000022254,prkcbb
ENSDARG00000074372,elfn1b
ENSDARG00000062854,sdk1b
ENSDARG00000037621,BX569778.1
ENSDARG00000007678,ttyh3b
ENSDARG00000030376,grin2bb
ENSDARG00000002285,mcoln1a
ENSDARG00000069595,si:ch211-214c7.4
ENSDARG00000062748,PKN1 (2 of 2)
ENSDARG00000043226,nfixa
ENSDARG00000093937,cnn1b
ENSDARG00000077080,GPRC5B (2 of 2)
ENSDARG00000005690,
ENSDARG00000025904,tecrb
ENSDARG00000036272,gcgrb
ENSDARG00000025074,CABZ01059390.1
ENSDARG00000007289,METRNL (1 of 2)
ENSDARG00000078953,BX682552.2
ENSDARG00000052222,zgc:114118
ENSDARG00000013525,zgc:153650
ENSDARG00000031325,tmed1a
ENSDARG00000069937,dnm2a
ENSDARG00000028048,rdh8a
ENSDARG00000063158,SLC24A2 (2 of 2)
ENSDARG00000043010,camk2d1
ENSDARG00000079675,SYNPO2 (2 of 2)
ENSDARG00000089957,lgi2a
ENSDARG00000078829,ccdc149a
ENSDARG00000078251,TESK1 (1 of 2)
ENSDARG00000008457,faah2a
ENSDARG00000077645,GPR78 (2 of 2)
ENSDARG00000029936,grtp1a
ENSDARG00000079071,jam2b
ENSDARG00000040543,GPA33 (1 of 2)
ENSDARG00000075505,PTGFRN (1 of 2)
ENSDARG00000077812,
ENSDARG00000019815,fn1
ENSDARG00000063297,abcb6a
ENSDARG00000086224,FAM155A (2 of 2)
ENSDARG00000076824,CCKBR (2 of 2)
ENSDARG00000056439,39875
ENSDARG00000026771,tmem41ab
ENSDARG00000074815,mxra5a
ENSDARG00000068683,chmp2ba
ENSDARG00000062106,klf5b
ENSDARG00000076480,mcf2lb
ENSDARG00000052624,spryd7a
ENSDARG00000056679,morc3a
ENSDARG00000015076,cx44.1
ENSDARG00000015559,fstl1a
ENSDARG00000069954,kcnq5a
ENSDARG00000005314,CALHM1 (1 of 2)
ENSDARG00000069415,col17a1a
ENSDARG00000061525,slka
ENSDARG00000074182,prokr1a
ENSDARG00000025325,CCSAP (1 of 2)
ENSDARG00000020219,dld
ENSDARG00000077736,CPLX1 (2 of 2)
ENSDARG00000062277,BX470131.1
ENSDARG00000074617,wfs1b
ENSDARG00000086070,fgf20b
ENSDARG00000071562,mtus1a
ENSDARG00000037091,asah1a
ENSDARG00000017591,fat1
ENSDARG00000055045,casp3b
ENSDARG00000011023,pdlim3a
ENSDARG00000061603,sorbs2b
ENSDARG00000038056,FGFBP2 (1 of 2)
ENSDARG00000039966,prom1a
ENSDARG00000061143,tapt1b
ENSDARG00000013505,ube2kb
ENSDARG00000004621,gpm6ab
ENSDARG00000040465,IRF2 (2 of 2)
ENSDARG00000078572,STOX2 (2 of 2)
ENSDARG00000052016,cabp2a
ENSDARG00000016263,zdhhc5a
ENSDARG00000079122,tmx2a
ENSDARG00000037392,med19a
ENSDARG00000074635,abca1a
ENSDARG00000060148,sh3pxd2aa
ENSDARG00000077349,
ENSDARG00000094992,otx1b
ENSDARG00000008200,ugp2b
ENSDARG00000091902,b3gnt2b
ENSDARG00000012903,slc34a2a
ENSDARG00000090760,FAM160A1 (2 of 2)
ENSDARG00000039901,SH3GL2 (2 of 2)
ENSDARG00000011876,ednraa
ENSDARG00000016818,abcg2d
ENSDARG00000041072,mier1a
ENSDARG00000075352,
ENSDARG00000017860,rgs5b
ENSDARG00000058701,nos1apb
ENSDARG00000069294,insl5b
ENSDARG00000043581,gadd45aa
ENSDARG00000076810,ptprfa
ENSDARG00000052099,agxta
ENSDARG00000053708,CR848029.1
ENSDARG00000053724,ADCYAP1R1 (2 of 2)
ENSDARG00000004869,penka
ENSDARG00000068567,shha
ENSDARG00000004680,dnajb6a
ENSDARG00000041900,chmp5b
ENSDARG00000076821,MYOM1 (2 of 2)
ENSDARG00000061196,emilin2a
ENSDARG00000075715,si:dkey-32m20.1
ENSDARG00000086815,MYADM (2 of 2)
ENSDARG00000068030,APOLD1 (3 of 5)
ENSDARG00000075831,slc7a8a
ENSDARG00000078619,pnp5a
ENSDARG00000062449,xpr1
ENSDARG00000057433,st6galnac5b
ENSDARG00000057419,slc44a5b
ENSDARG00000015164,mknk2b
ENSDARG00000055996,rps8a
ENSDARG00000061976,SEMA6B (2 of 2)
ENSDARG00000057231,rorca
ENSDARG00000018971,b3gnt5a
ENSDARG00000076265,ano8a
ENSDARG00000076068,CRTC1 (1 of 2)
ENSDARG00000061725,MAST3 (1 of 2)
ENSDARG00000075629,IFI30 (2 of 2)
ENSDARG00000074647,GRIN3B (2 of 2)
ENSDARG00000019362,ptbp1a
ENSDARG00000079740,EFNA2 (2 of 2)
ENSDARG00000027744,gadd45ba
ENSDARG00000009372,diras1b
ENSDARG00000034628,slc1a8a
ENSDARG00000003025,ANGPTL1 (1 of 2)
ENSDARG00000055374,irf4b
ENSDARG00000022309,dspa
ENSDARG00000003290,dab1b
ENSDARG00000010482,prg4a
ENSDARG00000017634,pdcb
ENSDARG00000004539,ptgs2a
ENSDARG00000006862,kifap3b
ENSDARG00000042055,fam129aa
ENSDARG00000013946,ivns1abpb
ENSDARG00000030053,eef1db
ENSDARG00000045137,CABZ01084564.1
ENSDARG00000039521,ssx2ip
ENSDARG00000013858,cdc14aa
ENSDARG00000076959,si:ch211-38m6.6
ENSDARG00000031548,ephb3a
ENSDARG00000077470,FAM163A (1 of 2)
ENSDARG00000060805,MAP1S (2 of 2)
ENSDARG00000011157,arhgef18a
ENSDARG00000011948,insra
ENSDARG00000059965,CAMSAP2 (1 of 2)
ENSDARG00000079556,C2CD4C (1 of 2)
ENSDARG00000022739,rxfp3.2a
ENSDARG00000069043,HSD11B1L (1 of 2)
ENSDARG00000020103,calrl
ENSDARG00000040321,rx2
ENSDARG00000018619,CERS4 (1 of 2)
ENSDARG00000076001,pip5k1ca
ENSDARG00000052383,tcf3b
ENSDARG00000055575,pcolce2b
ENSDARG00000012816,C2H3orf58 (1 of 2)
ENSDARG00000013613,anxa13l
ENSDARG00000011683,prtfdc1
ENSDARG00000076826,dpp6a
ENSDARG00000001933,prkag2
ENSDARG00000005673,f3b
ENSDARG00000002947,abcd3b
ENSDARG00000017748,arhgap29b
ENSDARG00000039979,tecrl2
ENSDARG00000071493,olfm3a
ENSDARG00000026165,col11a1a
ENSDARG00000034321,palmdb
ENSDARG00000042656,nrn1b
ENSDARG00000091879,si:dkey-29d8.3
ENSDARG00000059058,vipr1b
ENSDARG00000062116,ctdsplb
ENSDARG00000059123,plcd1a
ENSDARG00000038429,csrnp1b
ENSDARG00000045443,agtr1b
ENSDARG00000059391,gyg1b
ENSDARG00000074262,nck1a
ENSDARG00000057125,pld1b
ENSDARG00000079231,slc7a14b
ENSDARG00000020031,cldn11a
ENSDARG00000011166,cahz
ENSDARG00000014280,dlgap1a
ENSDARG00000031658,si:ch211-207d6.2
ENSDARG00000031875,trpa1b
ENSDARG00000038862,kcnb2
ENSDARG00000058730,rdh10a
ENSDARG00000038826,jph1b
ENSDARG00000013293,crispld1b
ENSDARG00000015863,socs6b
ENSDARG00000077151,cbln2b
ENSDARG00000071596,neto1l
ENSDARG00000015589,ankrd33bb
ENSDARG00000003779,ctnnd2b
ENSDARG00000079302,and2
ENSDARG00000071724,ankha
ENSDARG00000007241,mycb
ENSDARG00000052330,slc4a2b
ENSDARG00000008784,prpf4ba
ENSDARG00000079167,PHC3 (2 of 2)
ENSDARG00000011600,epha4b
ENSDARG00000029596,trim55a
ENSDARG00000038658,murca
ENSDARG00000033660,CREM (2 of 2)
ENSDARG00000091238,CABZ01071446.1
ENSDARG00000027290,nrp1b
ENSDARG00000025855,camk2n1a
ENSDARG00000012801,pfkpb
ENSDARG00000041516,ACVR2B (1 of 2)
ENSDARG00000006385,triobp
ENSDARG00000038239,tnpo2
ENSDARG00000089873,socs1b
ENSDARG00000070543,grin2ab
ENSDARG00000058463,ndufab1a
ENSDARG00000022668,grapb
ENSDARG00000070528,cacna1hb
ENSDARG00000075292,myo15aa
ENSDARG00000014871,syngr3a
ENSDARG00000059690,slc29a4
ENSDARG00000074213,eif3bb
ENSDARG00000052664,MSLNL (1 of 2)
ENSDARG00000015831,dnajb1a
ENSDARG00000079062,samd1b
ENSDARG00000038352,slc27a1b
ENSDARG00000091359,CAMSAP3 (2 of 2)
ENSDARG00000089879,soul5l
ENSDARG00000017360,col5a3a
ENSDARG00000077953,TRIP10 (2 of 2)
ENSDARG00000096428,WIZ (2 of 2)
ENSDARG00000078605,ptger1a
ENSDARG00000059805,slc25a38a
ENSDARG00000001014,MYH9 (1 of 2)
ENSDARG00000029419,hn1b
ENSDARG00000052315,UBN2 (1 of 2)
ENSDARG00000022185,RGL3 (1 of 2)
ENSDARG00000039515,atf4b1
ENSDARG00000022525,mchr1b
ENSDARG00000022531,ntn1b
ENSDARG00000038011,CYTH4 (1 of 2)
ENSDARG00000015572,znf207b
ENSDARG00000041718,sept9b
ENSDARG00000006281,myh11b
ENSDARG00000053855,rab11fip4a
ENSDARG00000060263,CABZ01018247.1
ENSDARG00000056045,GUCY2C (2 of 2)
ENSDARG00000041317,rangap1a
ENSDARG00000038401,tefb
ENSDARG00000077177,map2k4b
ENSDARG00000017738,aclya
ENSDARG00000059139,wfikkn2b
ENSDARG00000074531,spag9a
ENSDARG00000076103,grid2ipa
ENSDARG00000079131,si:dkeyp-118b1.2
ENSDARG00000012881,slc4a1a
ENSDARG00000088238,KANSL1 (2 of 3)
ENSDARG00000087616,MAPT (1 of 2)
ENSDARG00000025607,ifnphi1
ENSDARG00000086142,arhgap27
ENSDARG00000010680,gngt2a
ENSDARG00000012405,col1a1a
ENSDARG00000074734,MSL1 (1 of 2)
ENSDARG00000013057,hoxb5a
ENSDARG00000054442,cbx1b
ENSDARG00000075867,MKL1 (1 of 2)
ENSDARG00000061108,ep300b
ENSDARG00000010296,KCNH2 (2 of 4)
ENSDARG00000060072,ABI3 (1 of 2)
ENSDARG00000060130,dusp3b
ENSDARG00000007654,nsfa
ENSDARG00000037916,cdk5r1a
ENSDARG00000075318,slc16a6a
ENSDARG00000073765,gna13a
ENSDARG00000031048,gspt1
ENSDARG00000091838,si:dkeyp-72e1.6
ENSDARG00000062667,MPP3 (2 of 2)
ENSDARG00000035910,ZNF281 (2 of 2)
ENSDARG00000017036,CR392006.1
ENSDARG00000079572,plcd3b
ENSDARG00000052223,rcvrna
ENSDARG00000074443,gas7a
ENSDARG00000039704,cdc42ep4a
ENSDARG00000060457,pmp22b
ENSDARG00000013552,SLC16A5 (1 of 2)
ENSDARG00000068008,arhgap44
ENSDARG00000016934,ttyh2
ENSDARG00000004322,USH1G (1 of 2)
ENSDARG00000074396,fscn2b
ENSDARG00000071691,uqcrc2b
ENSDARG00000035952,CDR2 (1 of 2)
ENSDARG00000086459,AL772300.3
ENSDARG00000039453,DHRS7C (1 of 2)
ENSDARG00000059567,CU570691.1
ENSDARG00000057484,srsf2a
ENSDARG00000071601,pvalb9
ENSDARG00000045164,nptx2b
ENSDARG00000056374,noxo1b
ENSDARG00000076215,vasna
ENSDARG00000078388,GLIS2 (2 of 2)
ENSDARG00000095983,dnaja3b
ENSDARG00000016483,BAIAP2L2 (1 of 2)
ENSDARG00000088841,dnal4b
ENSDARG00000016480,slc17a7
ENSDARG00000079656,FAM171A2 (2 of 2)
ENSDARG00000014792,lrrc4bb
ENSDARG00000031013,C1QL1 (2 of 2)
ENSDARG00000075519,FMNL1 (2 of 2)
ENSDARG00000057767,nudt4a
ENSDARG00000074357,BICD1 (1 of 2)
ENSDARG00000041951,selo
ENSDARG00000006409,mapk12b
ENSDARG00000033179,tmem243b
ENSDARG00000004386,si:dkey-153k10.9
ENSDARG00000063361,si:ch211-1e14.1
ENSDARG00000045758,efcab4bb
ENSDARG00000019235,sema3aa
ENSDARG00000045540,ppp6r2a
ENSDARG00000030614,syt1a
ENSDARG00000045383,GPR22 (3 of 3)
