ftr,cons
sa45061,stop_gained
sa45062,stop_gained
sa45063,splice_site_variant
sa45064,splice_site_variant
sa45064,splice_site_variant
sa45064,
sa45064,
sa45065,
sa45065,splice_site_variant
sa45066,splice_site_variant
sa45067,stop_gained
sa45068,splice_site_variant
sa45069,stop_gained
sa45070,splice_site_variant
sa45071,stop_gained
sa45071,stop_gained
sa45072,stop_gained
sa45072,stop_gained
sa45072,stop_gained
sa45073,stop_gained
sa45075,splice_site_variant
sa45075,splice_site_variant
sa45076,
sa45076,
sa45076,stop_gained
sa45077,stop_gained
sa45077,
sa45077,
sa45078,stop_gained
sa45078,
sa45078,stop_gained
sa45079,stop_gained
sa45080,splice_site_variant
sa45080,
sa45080,splice_site_variant
sa45081,stop_gained
sa45081,stop_gained
sa45082,stop_gained
sa45082,stop_gained
sa45083,splice_site_variant
sa45083,splice_site_variant
sa45083,splice_site_variant
sa45084,stop_gained
sa45084,stop_gained
sa45084,stop_gained
sa45085,stop_gained
sa45085,stop_gained
sa45086,stop_gained
sa45086,stop_gained
sa45087,splice_site_variant
sa45089,splice_site_variant
sa45090,stop_gained
sa45091,splice_site_variant
sa45092,stop_gained
sa45092,stop_gained
sa45092,stop_gained
sa45093,
sa45093,stop_gained
sa45094,
sa45094,stop_gained
sa45095,splice_site_variant
sa45095,
sa45096,stop_gained
sa45096,
sa45097,
sa45097,
sa45097,
sa45097,stop_gained
sa45098,stop_gained
sa45099,stop_gained
sa45100,stop_gained
sa45101,stop_gained
sa45102,
sa45102,splice_site_variant
sa45103,stop_gained
sa45104,stop_gained
sa45105,
sa45105,splice_site_variant
sa45105,splice_site_variant
sa45106,splice_site_variant
sa45106,splice_site_variant
sa45107,splice_site_variant
sa45107,stop_gained
sa45107,splice_site_variant
sa45107,
sa45108,splice_site_variant
sa45108,splice_site_variant
sa45109,splice_site_variant
sa45110,splice_site_variant
sa45111,splice_site_variant
sa45111,
sa45111,splice_site_variant
sa45112,stop_gained
sa45112,stop_gained
sa45112,stop_gained
sa45112,stop_gained
sa45113,stop_gained
sa45113,stop_gained
sa45114,stop_gained
sa45115,splice_site_variant
sa45116,splice_site_variant
sa45116,splice_site_variant
sa45116,splice_site_variant
sa45117,stop_gained
sa45117,stop_gained
sa45117,stop_gained
sa45118,splice_site_variant
sa45119,stop_gained
sa45120,
sa45120,
sa45120,
sa45120,
sa45120,splice_site_variant
sa45121,stop_gained
sa45121,stop_gained
sa45122,splice_site_variant
sa45123,stop_gained
sa45124,stop_gained
sa45125,stop_gained
sa45125,stop_gained
sa45126,stop_gained
sa45127,stop_gained
sa45128,stop_gained
sa45129,stop_gained
sa45129,stop_gained
sa45129,splice_site_variant
sa45130,stop_gained
sa45131,stop_gained
sa45131,stop_gained
sa45132,splice_site_variant
sa45133,stop_gained
sa45134,splice_site_variant
sa45135,stop_gained
sa45135,stop_gained
sa45135,stop_gained
sa45136,splice_site_variant
sa45137,splice_site_variant
sa45137,splice_site_variant
sa45137,splice_site_variant
sa45138,splice_site_variant
sa45138,splice_site_variant
sa45139,splice_site_variant
sa45139,splice_site_variant
sa45140,splice_site_variant
sa45140,splice_site_variant
sa45140,splice_site_variant
sa45141,splice_site_variant
sa45142,stop_gained
sa45143,stop_gained
sa45144,stop_gained
sa45144,stop_gained
sa45145,splice_site_variant
sa45146,stop_gained
sa45147,splice_site_variant
sa45148,splice_site_variant
sa45149,stop_gained
sa45150,stop_gained
sa45150,stop_gained
sa45150,
sa45151,stop_gained
sa45151,stop_gained
sa45152,stop_gained
sa45153,splice_site_variant
sa45154,stop_gained
sa45155,splice_site_variant
sa45156,splice_site_variant
sa45157,stop_gained
sa45158,stop_gained
sa45159,
sa45159,
sa45159,splice_site_variant
sa45160,stop_gained
sa45161,stop_gained
sa45162,splice_site_variant
sa45162,splice_site_variant
sa45163,splice_site_variant
sa45163,missense_variant
sa45163,
sa45163,
sa45164,splice_site_variant
sa45164,splice_site_variant
sa45164,splice_site_variant
sa45165,splice_site_variant
sa45165,splice_site_variant
sa45166,stop_gained
sa45166,stop_gained
sa45166,stop_gained
sa45167,splice_site_variant
sa45167,
sa45168,stop_gained
sa45169,splice_site_variant
sa45171,stop_gained
sa45171,stop_gained
sa45171,stop_gained
sa45172,stop_gained
sa45172,stop_gained
sa45173,stop_gained
sa45173,stop_gained
sa45173,stop_gained
sa45174,stop_gained
sa45174,stop_gained
sa45175,
sa45175,stop_gained
sa45175,
sa45175,
sa45176,stop_gained
sa45176,stop_gained
sa45177,splice_site_variant
sa45177,splice_site_variant
sa45177,splice_site_variant
sa45177,splice_site_variant
sa45178,stop_gained
sa45179,stop_gained
sa45181,stop_gained
sa45182,stop_gained
sa45183,splice_site_variant
sa45184,stop_gained
sa45185,stop_gained
sa45186,stop_gained
sa45187,splice_site_variant
sa45188,splice_site_variant
sa45189,stop_gained
sa45189,stop_gained
sa45190,stop_gained
sa45191,stop_gained
sa45192,stop_gained
sa45193,splice_site_variant
sa45194,splice_site_variant
sa45195,stop_gained
sa45195,stop_gained
sa45196,
sa45196,stop_gained
sa45197,stop_gained
sa45197,
sa45198,splice_site_variant
sa45198,splice_site_variant
sa45199,stop_gained
sa45199,stop_gained
sa45200,stop_gained
sa45201,stop_gained
sa45201,stop_gained
sa45202,
sa45202,splice_site_variant
sa45202,splice_site_variant
sa45203,splice_site_variant
sa45204,stop_gained
sa45205,splice_site_variant
sa45205,splice_site_variant
sa45206,
sa45206,stop_gained
sa45207,stop_gained
sa45208,stop_gained
sa45208,stop_gained
sa45209,stop_gained
sa45209,stop_gained
sa45210,
sa45210,
sa45210,splice_site_variant
sa45210,missense_variant
sa45210,
sa45211,splice_site_variant
sa45212,stop_gained
sa45212,stop_gained
sa45212,stop_gained
sa45213,stop_gained
sa45214,stop_gained
sa45215,stop_gained
sa45216,
sa45216,
sa45216,
sa45216,
sa45216,splice_site_variant
sa45217,stop_gained
sa45217,stop_gained
sa45217,stop_gained
sa45218,stop_gained
sa45218,stop_gained
sa45219,
sa45219,splice_site_variant
sa45220,stop_gained
sa45220,stop_gained
sa45221,
sa45221,
sa45221,stop_gained
sa45222,splice_site_variant
sa45222,splice_site_variant
sa45223,stop_gained
sa45223,stop_gained
sa45224,
sa45224,stop_gained
sa45224,stop_gained
sa45225,splice_site_variant
sa45226,stop_gained
sa45227,stop_gained
sa45227,stop_gained
sa45228,stop_gained
sa45228,stop_gained
sa45229,stop_gained
sa45230,stop_gained
sa45231,stop_gained
sa45231,stop_gained
sa45232,splice_site_variant
sa45232,splice_site_variant
sa45233,stop_gained
sa45233,stop_gained
sa45234,stop_gained
sa45235,stop_gained
sa45235,
sa45235,stop_gained
sa45236,splice_site_variant
sa45236,
sa45236,splice_site_variant
sa45237,stop_gained
sa45237,stop_gained
sa45238,stop_gained
sa45239,splice_site_variant
sa45239,splice_site_variant
sa45240,stop_gained
sa45241,stop_gained
sa45242,stop_gained
sa45242,stop_gained
sa45243,stop_gained
sa45244,splice_site_variant
sa45245,stop_gained
sa45245,stop_gained
sa45245,stop_gained
sa45246,stop_gained
sa45247,
sa45247,stop_gained
sa45248,splice_site_variant
sa45248,splice_site_variant
sa45248,splice_site_variant
sa45249,stop_gained
sa45250,stop_gained
sa45251,stop_gained
sa45251,
sa45251,stop_gained
sa45252,stop_gained
sa45253,stop_gained
sa45254,splice_site_variant
sa45254,splice_site_variant
sa45254,splice_site_variant
sa45254,splice_site_variant
sa45255,splice_site_variant
sa45256,stop_gained
sa45257,stop_gained
sa45258,stop_gained
