dblink_linked_recid,dblink_acc_num,dblink_info,dblink_zdb_id,dblink_acc_num_display,dblink_length,dblink_fdbcont_zdb_id,incoming_info,incoming_length,incoming_length_matches
ZDB-GENE-000209-3,A0A8M1P7C2,,ZDB-DBLINK-230601-11,A0A8M1P7C2,1646,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,1646,TRUE
ZDB-GENE-000209-3,A0A8M6Z2A1,,ZDB-DBLINK-230601-8,A0A8M6Z2A1,1691,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,1691,TRUE
ZDB-GENE-000209-3,A0A8M6Z2U1,,ZDB-DBLINK-230601-13,A0A8M6Z2U1,1679,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,1679,TRUE
ZDB-GENE-000209-3,A0A8M6Z2U5,,ZDB-DBLINK-230601-14,A0A8M6Z2U5,1649,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,1649,TRUE
ZDB-GENE-000209-3,A0A8M6Z4B7,,ZDB-DBLINK-230601-9,A0A8M6Z4B7,1677,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,1677,TRUE
ZDB-GENE-000209-3,A0A8M6Z4C2,,ZDB-DBLINK-230601-10,A0A8M6Z4C2,1647,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,1647,TRUE
ZDB-GENE-000209-3,A0A8M6Z9L1,,ZDB-DBLINK-230601-12,A0A8M6Z9L1,1650,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,1650,TRUE
ZDB-GENE-000209-3,A0A8M6Z9Z2,,ZDB-DBLINK-230601-15,A0A8M6Z9Z2,1676,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,1676,TRUE
ZDB-GENE-000209-3,A0A8M6Z9Z4,,ZDB-DBLINK-230601-16,A0A8M6Z9Z4,1705,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,1705,TRUE
ZDB-GENE-000209-3,A0A8M9Q051,,ZDB-DBLINK-230601-6,A0A8M9Q051,1555,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,1555,TRUE
ZDB-GENE-000209-3,A0A8M9QL91,,ZDB-DBLINK-230601-7,A0A8M9QL91,1659,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,1659,TRUE
ZDB-GENE-000511-3,Q9I9N1,2022-08-30 Swiss-Prot,ZDB-DBLINK-220830-121955,Q9I9N1,105,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,105,TRUE
ZDB-GENE-000511-4,Q9I9N0,2022-08-30 Swiss-Prot,ZDB-DBLINK-220830-151890,Q9I9N0,109,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,109,TRUE
ZDB-GENE-000511-5,B2GNQ4,2022-08-30 Swiss-Prot,ZDB-DBLINK-220830-139655,B2GNQ4,293,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,293,TRUE
ZDB-GENE-000511-5,Q9I9N5,2022-08-30 Swiss-Prot,ZDB-DBLINK-220830-96390,Q9I9N5,293,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,293,TRUE
ZDB-GENE-001106-16,Q801W9,2022-08-30 Swiss-Prot,ZDB-DBLINK-220830-24452,Q801W9,230,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,230,TRUE
ZDB-GENE-001212-7,Q6P271,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-119,Q6P271,1023,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,1023,TRUE
ZDB-GENE-010202-1,E9QB50,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-263,E9QB50,,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,428,FALSE
ZDB-GENE-011205-11,A0A0A0VA51,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-15,A0A0A0VA51,98,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,98,TRUE
ZDB-GENE-011205-13,A0A0A0VG13,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-16,A0A0A0VG13,,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,172,FALSE
ZDB-GENE-011205-14,A0A0A0VG02,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-11,A0A0A0VG02,,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,516,FALSE
ZDB-GENE-011205-15,A0A0A0VG08,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-12,A0A0A0VG08,230,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,230,TRUE
ZDB-GENE-011205-17,A0A0A0VDB5,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-17,A0A0A0VDB5,380,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,380,TRUE
ZDB-GENE-011205-18,A0A0A0VDB1,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-14,A0A0A0VDB1,227,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,227,TRUE
ZDB-GENE-011205-19,A0A0A0V9A8,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-13,A0A0A0V9A8,54,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,54,TRUE
ZDB-GENE-011205-8,A0A0A0V9A1,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-10,A0A0A0V9A1,348,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,348,TRUE
ZDB-GENE-020125-2,E7F1V8,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-397,E7F1V8,917,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,917,TRUE
ZDB-GENE-020125-2,Q71E64,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-395,Q71E64,917,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,917,TRUE
ZDB-GENE-021031-4,A3KNH4,,ZDB-DBLINK-171227-3,A3KNH4,730,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,730,TRUE
ZDB-GENE-030131-124,A8WGC6,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-285,A8WGC6,517,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,517,TRUE
ZDB-GENE-030131-1613,Q7ZWK8,,ZDB-DBLINK-221025-3,Q7ZWK8,586,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,586,TRUE
ZDB-GENE-030131-1623,E7FDB3,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-777,E7FDB3,,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,228,FALSE
ZDB-GENE-030131-212,A0A8M1QHN7,,ZDB-DBLINK-230208-3,A0A8M1QHN7,2010,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,2010,TRUE
ZDB-GENE-030131-2211,A5PMP6,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-506,A5PMP6,1680,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,1680,TRUE
ZDB-GENE-030131-2542,E7EZ61,,ZDB-DBLINK-170221-137,E7EZ61,,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,950,FALSE
ZDB-GENE-030131-2988,E7EXM1,,ZDB-DBLINK-170221-146,E7EXM1,,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,678,FALSE
ZDB-GENE-030131-33,C0HJJ0,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-272,C0HJJ0,,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,69,FALSE
ZDB-GENE-030131-3376,F6NVK8,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-24,F6NVK8,,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,774,FALSE
ZDB-GENE-030131-4336,E7FAP1,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-19,E7FAP1,,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,630,FALSE
ZDB-GENE-030131-4368,A1L1R6,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-138,A1L1R6,1365,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,1365,TRUE
ZDB-GENE-030131-4737,Q1L882,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-620,Q1L882,,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,347,FALSE
ZDB-GENE-030131-478,Q5RKM2,,ZDB-DBLINK-220706-14,Q5RKM2,731,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,731,TRUE
ZDB-GENE-030131-5128,Q6P3J5,2022-08-30 Swiss-Prot,ZDB-DBLINK-220830-211689,Q6P3J5,858,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,858,TRUE
ZDB-GENE-030131-5231,A0A0R4IRB0,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-531,A0A0R4IRB0,,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,164,FALSE
ZDB-GENE-030131-5268,Q1LYE1,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-107,Q1LYE1,,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,612,FALSE
ZDB-GENE-030131-5306,E7F3I6,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-101,E7F3I6,,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,443,FALSE
ZDB-GENE-030131-5431,A0A9F7TY55,,ZDB-DBLINK-230629-5,A0A9F7TY55,648,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,648,TRUE
ZDB-GENE-030131-5522,E7FA17,,ZDB-DBLINK-170221-86,E7FA17,692,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,692,TRUE
ZDB-GENE-030131-5611,F1QNC0,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-21,F1QNC0,441,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,500,FALSE
ZDB-GENE-030131-5881,Q6TGW1,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-318,Q6TGW1,,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,376,FALSE
ZDB-GENE-030131-5942,A8WH84,2022-08-30 Swiss-Prot,ZDB-DBLINK-220830-74259,A8WH84,402,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,402,TRUE
ZDB-GENE-030131-7093,Q06ZW3,2022-08-30 Swiss-Prot,ZDB-DBLINK-220830-11241,Q06ZW3,551,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,551,TRUE
ZDB-GENE-030131-7384,Q6PBX6,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-278,Q6PBX6,147,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,147,TRUE
ZDB-GENE-030131-7638,Q6GMH3,Missing-UniprotId-Load from ensembl data,ZDB-DBLINK-170620-307,Q6GMH3,347,ZDB-FDBCONT-040412-47,2023-08-08 Swiss-Prot,347,TRUE
