Transcript stable ID,Transcript name,Transcript type
ENSDART00000131829,fam162a-201,protein_coding
ENSDART00000144883,fam162a-202,protein_coding
ENSDART00000156963,si:ch211-235i11.3-201,protein_coding
ENSDART00000161066,si:ch211-235i11.3-202,protein_coding
ENSDART00000137179,caly-201,protein_coding
ENSDART00000100744,TMEM177-201,protein_coding
ENSDART00000160393,TMEM177-202,protein_coding
ENSDART00000167980,OSTC-201,protein_coding
ENSDART00000067621,vps37c-201,protein_coding
ENSDART00000165084,vps37c-202,protein_coding
ENSDART00000162322,RAB9B-201,protein_coding
ENSDART00000190378,RAB9B-202,protein_coding
ENSDART00000144327,TPPP3-201,protein_coding
ENSDART00000173911,TPPP3-202,protein_coding
ENSDART00000178732,TPPP3-203,protein_coding
ENSDART00000164747,znf1029-202,protein_coding
ENSDART00000162001,znf1029-201,protein_coding
ENSDART00000103397,SLC39A9-201,protein_coding
ENSDART00000113661,KIF16B-201,protein_coding
ENSDART00000052422,MTX1-201,protein_coding
ENSDART00000047912,gpkow-201,protein_coding
ENSDART00000154987,SAMD4A-201,protein_coding
ENSDART00000108999,SAMD4A-202,protein_coding
ENSDART00000173324,zgc:158270-203,processed_transcript
ENSDART00000173122,zgc:158270-202,processed_transcript
ENSDART00000160129,zgc:158270-201,processed_transcript
ENSDART00000080347,DYNC2I2-201,protein_coding
ENSDART00000123238,DYNC2I2-202,nonsense_mediated_decay
ENSDART00000137120,GRIA3-201,protein_coding
ENSDART00000049291,GRIA3-202,protein_coding
ENSDART00000147621,GRIA3-203,retained_intron
ENSDART00000156885,EML5-201,protein_coding
ENSDART00000157087,EML5-202,retained_intron
ENSDART00000176637,EML5-203,protein_coding
ENSDART00000159554,si:dkey-27d5.7-201,protein_coding
ENSDART00000192041,si:dkey-27d5.7-203,protein_coding
ENSDART00000184520,si:dkey-27d5.7-202,protein_coding
ENSDART00000160594,si:dkeyp-87d1.6-201,processed_transcript
ENSDART00000133466,si:dkey-20d21.6-201,lincRNA
ENSDART00000150157,si:dkey-251i8.2-201,processed_transcript
ENSDART00000024330,CREB3L1-201,protein_coding
ENSDART00000173945,CREB3L1-202,protein_coding
ENSDART00000172251,CREB3L1-203,protein_coding
ENSDART00000155746,CDC42-201,protein_coding
ENSDART00000154158,CDC42-202,protein_coding
ENSDART00000180571,CDC42-203,protein_coding
ENSDART00000189685,CDC42-204,protein_coding
ENSDART00000135009,SYT2-201,processed_transcript
ENSDART00000139795,SYT2-202,protein_coding
ENSDART00000190366,SYT2-203,protein_coding
ENSDART00000136751,tspan33b-201,protein_coding
ENSDART00000146364,adamts13-201,protein_coding
ENSDART00000175207,adamts13-202,protein_coding
ENSDART00000140924,gnal-202,protein_coding
ENSDART00000066782,gnal-201,protein_coding
ENSDART00000163816,si:dkey-238o14.1-201,protein_coding
ENSDART00000163956,si:dkey-238o14.1-202,protein_coding
ENSDART00000129910,TMEM240-201,protein_coding
ENSDART00000139974,TMEM240-202,nonsense_mediated_decay
ENSDART00000030773,foxo3a-201,protein_coding
ENSDART00000171701,osmr-201,protein_coding
